,Year,Number of tests in thousands
216,05/30/20,10643.1
217,05/29/20,10316.2
218,05/28/20,10000.1
219,05/27/20,9701.3
220,05/26/20,9416.0
221,05/25/20,9160.6
222,05/24/20,8945.4
223,05/23/20,8685.3
224,05/22/20,8402.7
225,05/21/20,8126.6
226,05/20/20,7840.9
227,05/19/20,7578.0
228,05/18/20,7352.3
229,05/17/20,7147.0
230,05/16/20,6916.1
231,05/15/20,6656.3
232,05/14/20,6413.9
233,05/13/20,6188.1
234,05/12/20,5982.6
235,05/11/20,5805.4
236,05/10/20,5636.8
237,05/09/20,5448.5
238,05/08/20,5222.0
239,05/07/20,4987.5
240,05/06/20,4803.2
241,05/05/20,4633.7
242,05/04/20,4460.4
243,05/03/20,4303.2
244,05/02/20,4120.0
245,05/01/20,3945.5
246,04/30/20,3723.8
247,04/29/20,3498.3
248,04/28/20,3303.7
249,04/27/20,3139.3
250,04/26/20,3019.4
251,04/25/20,2877.7
252,04/24/20,2721.5
253,04/23/20,2552.0
254,04/22/20,2401.6
255,04/21/20,2252.5
256,04/20/20,2142.6
257,04/19/20,2053.3
258,04/18/20,1949.8
259,04/17/20,1831.9
260,04/16/20,1718.0
261,04/15/20,1613.4
262,04/14/20,1518.0
263,04/13/20,1426.0
264,04/12/20,1360.0
265,04/11/20,1278.7
266,04/10/20,1184.4
267,04/09/20,1092.8
268,04/08/20,1004.7
269,04/07/20,910.2
270,04/06/20,795.5
271,04/05/20,758.4
272,04/04/20,697.0
273,04/03/20,639.6
274,04/02/20,575.1
275,03/31/20,536.7
276,03/30/20**,536.7
277,03/29/20,343.5
278,03/28/20,263.9
279,03/27/20,243.4
280,03/26/20,223.5
281,03/25/20,192.8
282,03/24/20,185.9
283,03/23/20,185.9
284,03/22/20,165.8
285,03/21/20,163.5
286,03/20/20,156.0
287,03/19/20,143.5
288,03/18/20,133.1
289,03/17/20,122.9
290,03/16/20,116.1
291,03/15/20,109.9
292,03/14/20,104.9
293,03/13/20,94.8
294,03/11/20,77.0
295,03/10/20,70.6
296,03/09/20,66.2
297,03/08/20,63.2
298,03/07/20,60.0
299,03/06/20,55.7
300,03/05/20,51.4
301,03/04/20,46.6
302,03/03/20,42.8
303,02/28/20,32.9
304,02/27/20,33.1
305,02/26/20,33.1
306,02/25/20,31.0
307,02/24/20,27.1
308,02/23/20,27.4
309,02/22/20,25.1
310,02/21/20,22.6
311,02/19/20,26.9
312,02/18/20*,24.7
