,Month,Number of deaths
79,"Oct 18, 2020",36543
80,"Oct 17, 2020",36474
81,"Oct 16, 2020",36427
82,"Oct 15, 2020",36372
83,"Oct 14, 2020",36289
84,"Oct 13, 2020",36246
85,"Oct 12, 2020",36205
86,"Oct 11, 2020",36166
87,"Oct 10, 2020",36140
88,"Oct 9, 2020",36111
89,"Oct 8, 2020",36083
90,"Oct 7, 2020",36061
91,"Oct 6, 2020",36030
92,"Oct 5, 2020",36002
93,"Oct 4, 2020",35986
94,"Oct 3, 2020",35968
95,"Oct 2, 2020",35941
96,"Oct 1, 2020",35918
97,"Sep 30, 2020",35894
98,"Sep 29, 2020",35875
99,"Sep 28, 2020",35851
100,"Sep 27, 2020",35835
101,"Sep 26, 2020",35818
102,"Sep 25, 2020",35801
103,"Sep 24, 2020",35781
104,"Sep 23, 2020",35758
105,"Sep 22, 2020",35738
106,"Sep 21, 2020",35724
107,"Sep 20, 2020",35707
108,"Sep 19, 2020",35692
109,"Sep 18, 2020",35668
110,"Sep 17, 2020",35658
111,"Sep 16, 2020",35645
112,"Sep 15, 2020",35633
113,"Sep 14, 2020",35624
114,"Sep 13, 2020",35610
115,"Sep 12, 2020",35603
116,"Sep 11, 2020",35597
117,"Sep 10, 2020",35587
118,"Sep 9, 2020",35577
119,"Sep 8, 2020",35563
120,"Sep 7, 2020",35553
121,"Sep 6, 2020",35541
122,"Sep 5, 2020",35533
123,"Sep 4, 2020",35518
124,"Sep 3, 2020",35507
125,"Sep 2, 2020",35497
126,"Sep 1, 2020",35491
127,"Aug 31 , 2020",35483
128,"Aug 30 , 2020",35477
129,"Aug 29, 2020",35473
130,"Aug 28 , 2020",35472
131,"Aug 27 , 2020",35463
132,"Aug 26 , 2020",35458
133,"Aug 25 , 2020",35445
134,"Aug 24 , 2020",35441
135,"Aug 23 , 2020",35437
136,"Aug 22 , 2020",35430
137,"Aug 21 , 2020",35427
138,"Aug 20 , 2020",35418
139,"Aug 19 , 2020",35412
140,"Aug 18 , 2020",35405
141,"Aug 17, 2020",35400
142,"Aug 16, 2020",35396
143,"Aug 15, 2020",35392
144,"Aug 14, 2020",35234
145,"Aug 13, 2020",35231
146,"Aug 12, 2020",35225
147,"Aug 11, 2020",35215
148,"Aug 10, 2020",35209
149,"Aug 9, 2020",35205
150,"Aug 8, 2020",35203
151,"Aug 7, 2020",35190
152,"Aug 6, 2020",35187
153,"Aug 5, 2020",35181
154,"Aug 4, 2020",35171
155,"Aug 3, 2020",35166
156,"Aug 2 , 2020",35154
157,"Aug 1 , 2020",35146
158,"Jul 31 , 2020",35141
159,"Jul 30 , 2020",35132
160,"Jul 29 , 2020",35129
161,"Jul 28 , 2020",35123
162,"Jul 27 , 2020",35112
163,"Jul 26 , 2020",35107
164,"Jul 25 , 2020",35102
165,"Jul 24 , 2020",35097
166,"Jul 23 , 2020",35092
167,"Jul 22 , 2020",35082
168,"Jul 21 , 2020",35073
169,"Jul 20, 2020",35058
170,"Jul 19 , 2020",35045
171,"Jul 18 , 2020",35042
172,"Jul 17 , 2020",35028
173,"Jul 16 , 2020",35017
174,"Jul 15 , 2020",34997
175,"Jul 14 , 2020",34984
176,"Jul 13 , 2020",34967
177,"Jul 12 , 2020",34954
178,"Jul 11 , 2020",34945
179,"Jul 10 , 2020",34938
180,"Jul 9 , 2020",34926
181,"Jul 8, 2020",34914
182,"Jul 7, 2020",34899
183,"Jul 6, 2020",34869
184,"Jul 5, 2020",34861
185,"Jul 4, 2020",34854
186,"Jul 3, 2020",34833
187,"Jul 2, 2020",34818
188,"Jul 1, 2020",34788
189,"Jun 30, 2020",34767
190,"Jun 29, 2020",34744
191,"Jun 28, 2020",34738
192,"Jun 27, 2020",34716
193,"Jun 26, 2020",34708
194,"Jun 25, 2020",34678
195,"Jun 24, 2020",34644
196,"Jun 23, 2020",34675
197,"Jun 22, 2020",34657
198,"Jun 21, 2020",34634
199,"Jun 20, 2020",34610
200,"Jun 19, 2020",34561
201,"Jun 18, 2020",34514
202,"Jun 17, 2020",34448
203,"Jun 16, 2020",34405
204,"Jun 15, 2020",34371
205,"Jun 14, 2020",34345
206,"Jun 13, 2020",34301
207,"Jun 12, 2020",34223
208,"Jun 11, 2020",34167
209,"Jun 10, 2020",34114
210,"Jun 9, 2020",34043
211,"Jun 8, 2020",33963
212,"Jun 7, 2020",33899
213,"Jun 6, 2020",33846
214,"Jun 5, 2020",33774
215,"Jun 4, 2020",33689
216,"Jun 3, 2020",33601
217,"Jun 2, 2020",33530
218,"Jun 1, 2020",33475
219,"May 31, 2020",33415
220,"May 30, 2020",33340
221,"May 29, 2020",33229
222,"May 28, 2020",33142
223,"May 27, 2020",33072
224,"May 26, 2020",32955
225,"May 25, 2020",32877
226,"May 24, 2020",32785
227,"May 23, 2020",32735
228,"May 22, 2020",32616
229,"May 21, 2020",32486
230,"May 20, 2020",32330
231,"May 19, 2020",32169
232,"May 18, 2020",32007
233,"May 17, 2020",31908
234,"May 16, 2020",31763
235,"May 15, 2020",31610
236,"May 14, 2020",31368
237,"May 13, 2020",31106
238,"May 12, 2020",30911
239,"May 11, 2020",30739
240,"May 10, 2020",30560
241,"May 9, 2020",30395
242,"May 8, 2020",30201
243,"May 7, 2020",29958
244,"May 6, 2020",29684
245,"May 5, 2020",29315
246,"May 4, 2020",29079
247,"May 3, 2020",28884
248,"May 2, 2020",28710
249,"May 1, 2020",28236
250,"Apr 30, 2020",27967
251,"Apr 29, 2020",27682
252,"Apr 28, 2020",27359
253,"Apr 27, 2020",26977
254,"Apr 26, 2020",26644
255,"Apr 25, 2020",26384
256,"Apr 24, 2020",25969
257,"Apr 23, 2020",25549
258,"Apr 22, 2020",25085
259,"Apr 21, 2020",24648
260,"Apr 20, 2020",24114
261,"Apr 19, 2020",23660
262,"Apr 18, 2020",23227
263,"Apr 17, 2020",22745
264,"Apr 16, 2020",22170
265,"Apr 15, 2020",21645
266,"Apr 14, 2020",21067
267,"Apr 13, 2020",20465
268,"Apr 12, 2020",19899
269,"Apr 11, 2020",19468
270,"Apr 10, 2020",18849
271,"Apr 9, 2020",18279
272,"Apr 8, 2020",17669
273,"Apr 7, 2020",17127
274,"Apr 6, 2020",16523
275,"Apr 5, 2020",15887
276,"Apr 4, 2020",15362
277,"Apr 3, 2020",14681
278,"Apr 2, 2020",13915
279,"Apr 1, 2020",13155
280,"Mar 31, 2020",12428
281,"Mar 30, 2020",11591
282,"Mar 29, 2020",10779
283,"Mar 28, 2020",10023
284,"Mar 27, 2020",9150
285,"Mar 26, 2020",8165
286,"Mar 25, 2020",7503
287,"Mar 24, 2020",6820
288,"Mar 23, 2020",6077
289,"Mar 22, 2020",5476
290,"Mar 21, 2020",4825
291,"Mar 20, 2020",4035
292,"Mar 19, 2020",3405
293,"Mar 18, 2020",2978
294,"Mar 17, 2020",2503
295,"Mar 16, 2020",2158
296,"Mar 15, 2020",1809
297,"Mar 14, 2020",1441
298,"Mar 13, 2020",1266
299,"Mar 12, 2020",1016
300,"Mar 11, 2020",827
301,"Mar 10, 2020",631
302,"Mar 9, 2020",463
303,"Mar 8, 2020",366
304,"Mar 7, 2020",233
305,"Mar 6, 2020",197
306,"Mar 5, 2020",148
307,"Mar 4, 2020",107
308,"Mar 3, 2020",79
309,"Mar 2, 2020",52
310,"Mar 1, 2020",31
311,"Feb 29, 2020",29
312,"Feb 28, 2020",21
313,"Feb 27, 2020",17
314,"Feb 26, 2020",12
315,"Feb 25, 2020",11
316,"Feb 24, 2020",7
