,Year,Number of confirmed cases
102,11-Aug,326612
103,10-Aug,322980
104,7-Aug,314362
105,6-Aug,309855
106,5-Aug,305767
107,4-Aug,302814
108,3-Aug,297054
109,31-Jul,288522
110,30-Jul,285430
111,29-Jul,282641
112,28-Jul,280610
113,27-Jul,278782
114,24-Jul,271421
115,23-Jul,270166
116,22-Jul,267551
117,21-Jul,266194
118,20-Jul,264836
119,17-Jul,260255
120,16-Jul,258855
121,15-Jul,257494
122,14-Jul,256619
123,13-Jul,255953
124,10-Jul,253908
125,9-Jul,253056
126,8-Jul,252513
127,7-Jul,252130
128,6-Jul,251789
129,3-Jul,250545
130,2-Jul,250103
131,1-Jul,249659
132,30-Jun,249271
133,29-Jun,248970
134,28-Jun,248770
135,27-Jun,248469
136,26-Jun,247905
137,25 -Jun,247486
138,24 -Jun,247086
139,23-Jun,246752
140,22-Jun,246504
141,21-Jun,246272
142,20 -Jun,245938
143,19-Jun,245575
144,18-Jun,245268
145,17-Jun,244683
146,16 -Jun,244328
147,15-Jun,244109
148,14-Jun,243928
149,13-Jun,243605
150,12-Jun,243209
151,11-Jun,242707
152,10-Jun,242289
153,9-Jun,241966
154,8-Jun,241717
155,7 -Jun,241550
156,6-Jun,241310
157,5-Jun,240978
158,4-Jun,240660
159,3-Jun,240326
160,2-Jun,239932
161,1-Jun,239638
162,31-May,239429
163,30-May,239228
164,29-May,238564
165,28-May,237906
166,27-May,236769
167,26-May,236259
168,25-May,235400
169,24-May,235772
170,23-May,235290
171,22 -May,234824
172,21-May,233037
173,20-May,232555
174,19-May,232037
175,18-May,231606
176,17-May,231350
177,16-May,230698
178,15-May,230183
179,14-May,229540
180,13-May,228691
181,12-May,228030
182,11-May,227436
183,10-May,224390
184,9-May,223578
185,8-May,222857
186,7-May,221447
187,6-May,220325
188,5-May,219329
189,4-May,218011
190,3-May,217466
191,2-May,216582
192,1-May,215435
193,30-Apr,213435
194,29-Apr,212917
195,28-Apr,210773
196,27-Apr,209465
197,26-Apr,207634
198,25-Apr*,223759
199,24-Apr,219764
200,23-Apr,213024
201,22-Apr,208389
202,21-Apr,204178
203,20-Apr,200210
204,19-Apr,195944
205,18-Apr,191726
206,17-Apr,188068
207,16-Apr,182816
208,15-Apr,177633
209,14-Apr,172541
210,13-Apr,169496
211,12-Apr,166019
212,11-Apr,161852
213,10-Apr,157022
214,9-Apr,152446
215,8-Apr,146690
216,7-Apr,140510
217,6-Apr,135032
218,5-Apr,130769
219,4-Apr,124736
220,3-Apr,117710
221,2-Apr,110238
222,1-Apr,102136
223,31-Mar,94417
224,30-Mar,85195
225,29-Mar,78797
226,28-Mar,72248
227,27-Mar,64059
228,26-Mar,56188
229,25-Mar,47610
230,24-Mar,39673
231,23-Mar,33089
232,22-Mar,28572
233,21-Mar,24926
234,20-Mar,19980
235,19-Mar,17147
236,18-Mar,13716
237,17-Mar,11178
238,16-Mar,9191
239,15-Mar,7753
240,14-Mar,5753
241,13-Mar,4231
242,12-Mar,2965
243,11-Mar,2140
244,10-Mar,1634
245,9-Mar,1204
246,6-Mar,365
247,5-Mar,237
248,4-Mar,197
249,3-Mar,114
250,28-Feb,31
251,27-Feb,16
252,26-Feb,7
253,25-Feb,3
254,12-Feb,2
