,Race,Rating,Viewers (in millions)
108,Giants vs. Packers (FOX) (Wildcard Round),21.3,39.3
109,Dolphins vs. Steelers (CBS) (Wildcard Round),17.5,29.9
110,Lions vs. Seahawks (NBC) (Wildcard Round),14.8,26.9
111,"Raiders vs. Texans (ABC, ESPN) (Wildcard Round)",14.4,25.1
112,Packers vs. Cowboys (FOX) (Divisional Round),26.1,48.5
113,Steelers vs. Chiefs (NBC) (Divisional Round),19.8,37.1
114,Texans vs. Patriots (CBS) (Divisional Round),16.0,29.8
115,Seahawks vs. Falcons (FOX) (Divisional Round),16.2,28.7
116,Steelers vs. Patriots (CBS) (Conference Round),24.4,48.0
117,Packers vs. Falcons (FOX) (Conference Round),25.0,46.3
118,AFC vs. NFC (ESPN) (Pro Bowl),4.2,7.4
119,Patriots vs. Falcons (FOX) (Super Bowl),45.3,111.3
