,Month,Daily percentage change of confirmed cases
227,May 23,1.5%
228,May 22,2.4%
229,May 21,2%
230,May 20,2.4%
231,May 19,2%
232,May 18,1.9%
233,May 17,1.5%
234,May 16,1.3%
235,May 15,2.3%
236,May 14,2.4%
237,May 13,1.9%
238,May 12,3.4%
239,May 11,2.1%
240,May 10,2.2%
241,May 9,1.9%
242,May 8,2.3%
243,May 7,2.2%
244,May 6,2.2%
245,May 5,2.9%
246,May 4,2.3%
247,May 3,2.4%
248,May 2,2.1%
249,May 1,1.8%
250,Apr 30,2.4%
251,Apr 29,3.5%
252,Apr 28,2.6%
253,Apr 27,2.5%
254,Apr 26,3.1%
255,Apr 25,3.5%
256,Apr 24,3.6%
257,Apr 23,3.6%
258,Apr 22,3.2%
259,Apr 21,2.7%
260,Apr 20,3.3%
261,Apr 19,6.2%
262,Apr 18,4.3%
263,Apr 17,5.8%
264,Apr 16,4.4%
265,Apr 15,5.3%
266,Apr 14,3.9%
267,Apr 13,3.9%
268,Apr 12,5%
269,Apr 11,6.7%
270,Apr 10,6.8%
271,Apr 9,7.1%
272,Apr 8,7.4%
273,Apr 7,9.9%
274,Apr 6,7.6%
275,Apr 5,13%
276,Apr 4,7.2%
277,Apr 3,15%
278,Apr 2,15%
279,Apr 1,11%
280,Mar 31,12%
281,Mar 30,10%
282,Mar 29,14%
283,Mar 28,18%
284,Mar 27,14%
285,Mar 26,16%
286,Mar 25,17%
287,Mar 24,20%
288,Mar 23,18%
289,Mar 22,18%
290,Mar 21,26%
291,Mar 20,20%
292,Mar 19,24%
293,Mar 18,21%
294,Mar 17,35%
295,Mar 16,42%
296,Mar 15,20%
297,Mar 14,53%
298,Mar 13,33%
299,Mar 12,20%
300,Mar 11,65%
301,Mar 10,41%
302,Mar 9,29%
303,Mar 8,55%
304,Mar 7,83%
305,Mar 6,20%
306,Mar 5,400%
307,Mar 4,0%
