,Month,Number of tests
217,"Apr 23, 2020",2975
218,"Apr 22, 2020",3346
219,"Apr 21, 2020",3581
220,"Apr 20, 2020",3776
221,"Apr 19, 2020",1143
222,"Apr 18, 2020",1175
223,"Apr 17, 2020",3131
224,"Apr 16, 2020",3110
225,"Apr 15, 2020",3429
226,"Apr 14, 2020",3368
227,"Apr 13, 2020",1317
228,"Apr 12, 2020",1245
229,"Apr 11, 2020",1419
230,"Apr 10, 2020",1354
231,"Apr 09, 2020",1331
232,"Apr 08, 2020",2276
233,"Apr 07, 2020",2969
234,"Apr 06, 2020",3530
235,"Apr 05, 2020",1117
236,"Apr 04, 2020",1386
237,"Apr 03, 2020",3557
238,"Apr 02, 2020",3560
239,"Apr 01, 2020",3936
240,"Mar 31, 2020",3446
241,"Mar 30, 2020",3172
242,"Mar 29, 2020",1243
243,"Mar 28, 2020",1801
244,"Mar 27, 2020",3291
245,"Mar 26, 2020",3185
246,"Mar 25, 2020",3344
247,"Mar 24, 2020",3528
248,"Mar 23, 2020",3564
249,"Mar 22, 2020",1288
250,"Mar 21, 2020",2507
251,"Mar 20, 2020",5119
252,"Mar 19, 2020",5983
253,"Mar 18, 2020",6827
254,"Mar 17, 2020",6586
255,"Mar 16, 2020",6263
256,"Mar 15, 2020",2870
257,"Mar 14, 2020",2761
258,"Mar 13, 2020",4054
259,"Mar 12, 2020",3017
260,"Mar 11, 2020",2085
261,"Mar 10, 2020",1686
262,"Mar 9, 2020",1484
263,"Mar 8, 2020",408
264,"Mar 7, 2020",315
265,"Mar 6, 2020",365
266,"Mar 5, 2020",374
267,"Mar 4, 2020",341
268,"Mar 3, 2020",380
269,"Mar 2, 2020",391
270,"Mar 1, 2020",235
271,"Feb 29, 2020",209
272,"Feb 28, 2020",290
273,"Feb 27, 2020",249
274,"Feb 26, 2020",148
275,"Feb 25, 2020",62
276,"Feb 24, 2020",12
