,Month,EUR/GBP exchange rate
98,Aug 2012,0.79
99,Jul 2012,0.79
100,Jun 2012,0.81
101,May 2012,0.8
102,Apr 2012,0.82
103,Mar 2012,0.83
104,Feb 2012,0.84
105,Jan 2012,0.83
106,Dec 2011,0.84
107,Nov 2011,0.86
108,Oct 2011,0.87
109,Sep 2011,0.87
110,Aug 2011,0.88
111,Jul 2011,0.88
112,Jun 2011,0.89
113,May 2011,0.88
114,Apr 2011,0.88
115,Mar 2011,0.87
116,Feb 2011,0.85
117,Jan 2011,0.85
118,Dec 2010,0.85
119,Nov 2010,0.86
120,Oct 2010,0.88
121,Sep 2010,0.84
122,Aug 2010,0.82
123,Jul 2010,0.84
124,Jun 2010,0.83
125,May 2010,0.86
126,Apr 2010,0.87
127,Mar 2010,0.9
128,Feb 2010,0.88
129,Jan 2010,0.88
130,Dec 2009,0.9
131,Nov 2009,0.9
132,Oct 2009,0.92
133,Sep 2009,0.89
134,Aug 2009,0.86
135,Jul 2009,0.86
136,Jun 2009,0.86
137,May 2009,0.88
138,Apr 2009,0.9
139,Mar 2009,0.92
140,Feb 2009,0.89
141,Jan 2009,0.92
142,Dec 2008,0.9
143,Nov 2008,0.83
144,Oct 2008,0.79
145,Sep 2008,0.8
146,Aug 2008,0.79
147,Jul 2008,0.79
148,Jun 2008,0.79
149,May 2008,0.79
150,Apr 2008,0.79
151,Mar 2008,0.77
152,Feb 2008,0.75
153,Jan 2008,0.75
154,Dec 2007,0.72
155,Nov 2007,0.71
156,Oct 2007,0.7
157,Sep 2007,0.69
158,Aug 2007,0.68
159,Jul 2007,0.67
160,Jun 2007,0.68
161,May 2007,0.68
162,Apr 2007,0.68
163,Mar 2007,0.68
164,Feb 2007,0.67
165,Jan 2007,0.66
166,Dec 2006,0.67
167,Nov 2006,0.67
168,Oct 2006,0.67
169,Sep 2006,0.68
170,Aug 2006,0.68
171,Jul 2006,0.69
172,Jun 2006,0.69
173,May 2006,0.68
174,Apr 2006,0.69
175,Mar 2006,0.69
176,Feb 2006,0.68
177,Jan 2006,0.69
178,Dec 2005,0.68
179,Nov 2005,0.68
180,Oct 2005,0.68
181,Sep 2005,0.68
182,Aug 2005,0.69
183,Jul 2005,0.69
184,Jun 2005,0.67
185,May 2005,0.68
186,Apr 2005,0.68
187,Mar 2005,0.69
188,Feb 2005,0.69
189,Jan 2005,0.7
190,Dec 2004,0.7
191,Nov 2004,0.7
192,Oct 2004,0.69
193,Sep 2004,0.68
194,Aug 2004,0.67
195,Jul 2004,0.67
196,Jun 2004,0.66
197,May 2004,0.67
198,Apr 2004,0.67
199,Mar 2004,0.67
200,Feb 2004,0.68
201,Jan 2004,0.69
202,Dec 2003,0.7
203,Nov 2003,0.69
204,Oct 2003,0.7
205,Sep 2003,0.7
206,Aug 2003,0.7
207,Jul 2003,0.7
208,Jun 2003,0.7
209,May 2003,0.71
210,Apr 2003,0.69
211,Mar 2003,0.68
212,Feb 2003,0.67
213,Jan 2003,0.66
214,Dec 2002,0.64
215,Nov 2002,0.64
216,Oct 2002,0.63
217,Sep 2002,0.63
218,Aug 2002,0.64
219,Jul 2002,0.64
220,Jun 2002,0.64
221,May 2002,0.63
222,Apr 2002,0.61
223,Mar 2002,0.62
224,Feb 2002,0.61
225,Jan 2002,0.62
226,Dec 2001,0.62
227,Nov 2001,0.62
228,Oct 2001,0.62
229,Sep 2001,0.62
230,Aug 2001,0.63
231,Jul 2001,0.61
232,Jun 2001,0.61
233,May 2001,0.61
234,Apr 2001,0.62
235,Mar 2001,0.63
236,Feb 2001,0.63
237,Jan 2001,0.63
238,Dec 2000,0.61
239,Nov 2000,0.6
240,Oct 2000,0.59
241,Sep 2000,0.61
242,Aug 2000,0.61
243,Jul 2000,0.62
244,Jun 2000,0.63
245,May 2000,0.6
246,Apr 2000,0.6
247,Mar 2000,0.61
248,Feb 2000,0.61
249,Jan 2000,0.62
250,Dec 1999,0.63
251,Nov 1999,0.64
252,Oct 1999,0.65
253,Sep 1999,0.65
254,Aug 1999,0.66
255,Jul 1999,0.66
256,Jun 1999,0.65
257,May 1999,0.66
258,Apr 1999,0.67
259,Mar 1999,0.67
260,Feb 1999,0.69
261,Jan 1999,0.7
