,Year,Number of cumulative cases
155,8/3/20,4582276
156,8/2/20,4523888
157,8/1/20,4456389
158,7/31/20,4388566
159,7/30/20,4323160
160,7/29/20,4263531
161,7/28/20,4209509
162,7/27/20,4148011
163,7/26/20,4084043
164,7/25/20,4009808
165,7/24/20,3938094
166,7/23/20,3868453
167,7/22/20,3805524
168,7/21/20,3748248
169,7/20/20,3685460
170,7/19/20,3618497
171,7/18/20,3544143
172,7/17/20,3472659
173,7/16/20,3405494
174,7/15/20,3344783
175,7/14/20,3286063
176,7/13/20,3225950
177,7/12/20,3163581
178,7/11/20,3097300
179,7/10/20,3038325
180,7/9/20,2973695
181,7/8/20,2923432
182,7/7/20,2877238
183,7/6/20,2833552
184,7/5/20,2776366
185,7/4/20,2724433
186,7/3/20,2671220
187,7/2/20,2616949
188,7/1/20,2573393
189,6/30/20,2537636
190,6/29/20,2496628
191,6/28/20,2452048
192,6/27/20,2407590
193,6/26/20,2367064
194,6/25/20,2329463
195,6/24/20,2295272
196,6/23/20,2268753
197,6/22/20,2241178
198,6/21/20,2208829
199,6/20/20,2172212
200,6/19/20,2149166
201,6/18/20,2126027
202,6/17/20,2098106
203,6/16/20,2079592
204,6/15/20,2057838
205,6/14/20,2032524
206,6/13/20,2010391
207,6/12/20,1988646
208,6/11/20,1968331
209,6/10/20,1951096
210,6/9/20,1933560
211,6/8/20,1915712
212,6/7/20,1886794
213,6/6/20,1857872
214,6/5/20,1837803
215,6/4/20,1823220
216,6/3/20,1798330
217,6/2/20,1783638
218,6/1/20,1757522
219,5/31/20,1734040
220,5/30/20,1716078
221,5/29/20,1694864
222,5/28/20,1675258
223,5/27/20,1658896
224,5/26/20,1634010
225,5/25/20,1618757
226,5/24/20,1592599
227,5/23/20,1568448
228,5/22/20,1547973
229,5/21/20,1525186
230,5/20/20,1501876
231,5/19/20,1477459
232,5/18/20,1464232
233,5/17/20,1432265
234,5/16/20,1409452
235,5/15/20,1382362
236,5/14/20,1361522
237,5/13/20,1340098
238,5/12/20,1322054
239,5/11/20,1298287
240,5/10/20,1271645
241,5/9/20,1245775
242,5/8/20,1215571
243,5/7/20,1193452
244,5/6/20,1171185
245,5/5/20,1154985
246,5/4/20,1125719
247,5/3/20,1093880
248,5/2/20,1067127
249,5/1/20,1035353
250,4/30/20,1003974
251,4/29/20,983457
252,4/28/20,960916
253,4/27/20,931698
254,4/26/20,899281
255,4/25/20,860772
256,4/24/20,830053
257,4/23/20,800926
258,4/22/20,776907
259,4/21/20,751273
260,4/20/20,723605
261,4/19/20,695353
262,4/18/20,665330
263,4/17/20,632781
264,4/16/20,604070
265,4/15/20,578268
266,4/14/20,553822
267,4/13/20,524514
268,4/12/20,492881
269,4/11/20,461275
270,4/10/20,425889
271,4/9/20,395030
272,4/8/20,363321
273,4/7/20,333811
274,4/6/20,307318
275,4/5/20,273808
276,4/4/20,241703
277,4/3/20,213600
278,4/2/20,187302
279,4/1/20,163199
280,3/31/20,140640
281,3/30/20,122653
282,3/29/20,103321
283,3/28/20,85228
284,3/27/20,68334
285,3/26/20,68334
286,3/25/20,51914
287,3/24/20,51914
288,3/23/20,31573
289,3/22/20,15219
290,3/21/20,15219
291,3/20/20,15219
292,3/19/20,10442
293,3/18/20,7091
294,3/17/20,3540
295,3/16/20,1718
296,3/15/20,1718
297,3/14/20,1682
298,3/13/20,1268
299,3/12/20,991
300,3/11/20,700
301,3/10/20,700
302,3/9/20,476
303,3/8/20,217
304,3/7/20,217
305,3/6/20,217
306,3/5/20,133
307,3/4/20,133
308,3/3/20,112
309,3/2/20,68
310,3/1/20,66
311,2/29/20,66
312,2/28/20,66
313,2/27/20,63
314,2/26/20,63
315,2/25/20,57
316,2/24/20,57
317,2/23/20,39
318,2/22/20,39
319,2/21/20,38
320,2/20/20,19
321,2/19/20,19
322,2/18/20,19
323,2/17/20,19
324,2/16/20,19
325,2/15/20,19
326,2/14/20,19
327,2/13/20,19
328,2/12/20,17
329,2/11/20,17
330,2/10/20,16
331,2/9/20,16
332,2/8/20,16
333,2/7/20,16
334,2/6/20,16
335,2/5/20,15
336,2/4/20,15
337,2/3/20,15
338,2/2/20,12
339,2/1/20,12
340,1/31/20,11
341,1/30/20,10
342,1/29/20,9
343,1/28/20,9
344,1/27/20,9
345,1/26/20,9
346,1/25/20,6
347,1/24/20,6
348,1/23/20,5
349,1/22/20,5
350,1/21/20,5
351,1/20/20,5
