,Month,Index points
131,Aug 25,0.8
132,Aug 24,0.9
133,Aug 23,2.3
134,Aug 22,1.9
135,Aug 21,0.9
136,Aug 20,0.9
137,Aug 19,0.9
138,Aug 18,0.9
139,Aug 17,1.0
140,Aug 16,2.4
141,Aug 15,1.9
142,Aug 14,0.9
143,Aug 13,1.0
144,Aug 12,0.9
145,Aug 11,0.9
146,Aug 10,1.0
147,Aug 9,2.4
148,Aug 8,1.9
149,Aug 7,0.9
150,Aug 6,0.9
151,Aug 5,0.9
152,Aug 4,1.0
153,Aug 3,1.0
154,Aug 2,2.4
155,Aug 1,2.0
156,Jul 31,1.1
157,Jul 30,0.9
158,Jul 29,0.9
159,Jul 28,0.9
160,Jul 27,1.0
161,Jul 26,2.3
162,Jul 25,1.9
163,Jul 24,0.9
164,Jul 23,0.9
165,Jul 22,0.9
166,Jul 21,0.9
167,Jul 20,1.0
168,Jul 19,2.3
169,Jul 18,1.8
170,Jul 17,0.9
171,Jul 16,0.9
172,Jul 15,0.9
173,Jul 14,0.9
174,Jul 13,1.0
175,Jul 12,2.3
176,Jul 11,1.9
177,Jul 10,0.9
178,Jul 9,0.9
179,Jul 8,0.8
180,Jul 7,0.8
181,Jul 6,0.9
182,Jul 5,2.4
183,Jul 4,1.8
184,Jul 3,0.8
185,Jul 2,0.8
186,Jul 1,1.8
187,Jun 30,0.8
188,Jun 29,0.9
189,Jun 28,2.5
190,Jun 27,2.0
191,Jun 26,0.9
192,Jun 25,0.9
193,Jun 24,2.0
194,Jun 23,0.9
195,Jun 22,1.0
196,Jun 21,2.5
197,Jun 20,2.1
198,Jun 19,1.0
199,Jun 18,1.0
200,Jun 17,1.0
201,Jun 16,1.0
202,Jun 15,1.0
203,Jun 14,2.5
204,Jun 13,2.2
205,Jun 12,2.1
206,Jun 11,1.0
207,Jun 10,1.1
208,Jun 9,1.1
209,Jun 8,1.2
210,Jun 7,2.6
211,Jun 6,2.2
212,Jun 5,1.2
213,Jun 4,1.3
214,Jun 3,1.3
215,Jun 2,1.3
216,Jun 1,1.3
217,May 31,2.8
218,May 30,2.2
219,May 29,1.3
220,May 28,1.4
221,May 27,1.4
222,May 26,1.5
223,May 25,1.6
224,May 24,2.8
225,May 23,2.5
226,May 22,1.6
227,May 21,1.7
228,May 20,1.7
229,May 19,1.7
230,May 18,1.7
231,May 17,2.9
232,May 16,2.6
233,May 15,1.7
234,May 14,1.8
235,May 13,1.8
236,May 12,1.8
237,May 11,2.8
238,May 10,3.1
239,May 9,2.9
240,May 8,2.0
241,May 7,2.0
242,May 6,2.0
243,May 5,2.8
244,May 4,2.8
245,May 3,3.2
246,May 2,3.0
247,May 1,3.0
248,Apr 30,2.1
249,Apr 29,2.2
250,Apr 28,2.2
251,Apr 27,2.3
252,Apr 26,3.4
253,Apr 25,3.1
254,Apr 24,2.4
255,Apr 23,2.5
256,Apr 22,2.5
257,Apr 21,2.5
258,Apr 20,2.6
259,Apr 19,3.6
260,Apr 18,3.3
261,Apr 17,2.6
262,Apr 16,2.6
263,Apr 15,2.6
264,Apr 14,2.6
265,Apr 13,2.6
266,Apr 12,3.7
267,Apr 11,3.4
268,Apr 10,2.7
269,Apr 9,2.8
270,Apr 8,2.9
271,Apr 7,2.9
272,Apr 6,3.0
273,Apr 5,4.0
274,Apr 4,3.8
275,Apr 3,3.4
276,Apr 2,3.5
277,Apr 1,3.4
278,Mar 31,3.0
279,Mar 30,2.8
280,Mar 29,3.4
281,Mar 28,2.8
282,Mar 27,1.2
283,Mar 26,1.2
284,Mar 25,1.1
285,Mar 24,1.2
286,Mar 23,1.2
287,Mar 22,2.9
288,Mar 21,2.3
289,Mar 20,1.0
290,Mar 19,1.0
291,Mar 18,0.9
292,Mar 17,0.7
293,Mar 16,0.7
