,Date (dd-mm-yyyy),Emerging Markets Bond Index (EMBI+)
152,26/03/2020,343
153,25/03/2020,370
154,24/03/2020,427
155,23/03/2020,476
156,20/03/2020,453
157,19/03/2020,465
158,18/03/2020,441
159,17/03/2020,374
160,16/03/2020,395
161,13/03/2020,335
162,12/3/2020,367
163,11/3/2020,302
164,10/3/2020,284
165,9/3/2020,312
166,6/3/2020,262
167,5/3/2020,239
168,4/3/2020,223
169,3/3/2020,240
170,2/3/2020,247
171,28/02/2020,252
172,27/02/2020,233
173,26/02/2020,218
174,25/02/2020,214
175,24/02/2020,208
176,21/02/2020,202
177,20/02/2020,193
178,19/02/2020,189
179,18/02/2020,198
180,17/02/2020,196
181,14/02/2020,196
182,13/02/2020,203
183,12/2/2020,203
184,11/2/2020,209
185,10/2/2020,216
186,7/2/2020,217
187,6/2/2020,213
188,5/2/2020,214
189,4/2/2020,219
190,3/2/2020,226
191,31/01/2020,225
192,30/01/2020,224
193,29/01/2020,225
194,28/01/2020,227
195,27/01/2020,232
196,24/01/2020,225
197,23/01/2020,220
198,22/01/2020,216
199,21/01/2020,214
200,20/01/2020,209
201,17/01/2020,209
202,16/01/2020,211
203,15/01/2020,217
204,14/01/2020,215
205,13/01/2020,213
206,10/1/2020,213
207,9/1/2020,215
208,8/1/2020,215
209,7/1/2020,220
210,6/1/2020,222
211,3/1/2020,225
212,2/1/2020,218
213,31/12/2019,214
214,30/12/2019,215
215,27/12/2019,215
216,26/12/2019,214
217,24/12/2019,215
218,23/12/2019,212
219,20/12/2019,214
220,19/12/2019,213
221,18/12/2019,208
222,17/12/2019,211
223,16/12/2019,212
224,13/12/2019,218
225,12/12/2019,215
226,11/12/2019,230
227,10/12/2019,228
228,9/12/2019,231
229,6/12/2019,231
230,5/12/2019,238
231,4/12/2019,240
232,3/12/2019,250
233,2/12/2019,240
234,29/11/2019,239
235,28/11/2019,244
236,27/11/2019,244
237,26/11/2019,246
238,25/11/2019,242
239,22/11/2019,241
240,21/11/2019,245
241,20/11/2019,249
242,19/11/2019,246
243,18/11/2019,240
244,15/11/2019,238
245,14/11/2019,238
246,13/11/2019,235
247,12/11/2019,232
248,11/11/2019,229
249,8/11/2019,229
250,7/11/2019,230
251,6/11/2019,235
252,5/11/2019,231
253,4/11/2019,229
254,1/11/2019,231
255,31/10/2019,240
256,30/10/2019,237
257,29/10/2019,228
258,28/10/2019,227
259,25/10/2019,231
260,24/10/2019,235
261,23/10/2019,237
262,22/10/2019,237
263,21/10/2019,235
264,18/10/2019,238
265,17/10/2019,238
266,16/10/2019,239
267,15/10/2019,237
268,14/10/2019,240
269,11/10/2019,240
270,10/10/2019,247
271,9/10/2019,255
272,8/10/2019,262
273,7/10/2019,259
274,4/10/2019,264
275,3/10/2019,264
276,2/10/2019,259
277,1/10/2019,252
278,30/09/2019,247
279,27/09/2019,246
280,26/09/2019,243
281,25/09/2019,240
282,24/09/2019,243
283,23/09/2019,234
284,20/09/2019,232
285,19/09/2019,227
286,18/09/2019,225
287,17/09/2019,227
288,16/09/2019,224
289,13/09/2019,219
290,12/9/2019,222
291,11/9/2019,228
292,10/9/2019,229
293,9/9/2019,234
294,6/9/2019,240
295,5/9/2019,238
296,4/9/2019,247
297,3/9/2019,249
298,2/9/2019,248
299,30/08/2019,248
300,29/08/2019,247
301,28/08/2019,252
302,27/08/2019,250
303,26/08/2019,245
304,23/08/2019,246
305,22/08/2019,240
306,21/08/2019,244
307,20/08/2019,247
308,19/08/2019,243
309,16/08/2019,248
310,15/08/2019,251
311,14/08/2019,244
312,13/08/2019,236
313,12/8/2019,239
314,9/8/2019,226
315,8/8/2019,229
316,7/8/2019,232
317,6/8/2019,233
318,5/8/2019,235
319,2/8/2019,222
320,1/8/2019,221
321,31/07/2019,212
322,30/07/2019,209
323,29/07/2019,207
324,26/07/2019,207
325,25/07/2019,208
326,24/07/2019,213
327,23/07/2019,213
328,22/07/2019,216
329,19/07/2019,220
330,18/07/2019,222
331,17/07/2019,221
332,16/07/2019,215
333,15/07/2019,217
334,12/7/2019,217
335,11/7/2019,218
336,10/7/2019,224
337,9/7/2019,228
338,8/7/2019,232
339,5/7/2019,233
340,4/7/2019,238
341,3/7/2019,238
342,2/7/2019,238
343,1/7/2019,234
344,28/06/2019,239
345,27/06/2019,242
346,26/06/2019,240
347,25/06/2019,243
348,24/06/2019,239
349,21/06/2019,236
350,20/06/2019,237
351,19/06/2019,246
352,18/06/2019,247
353,17/06/2019,252
354,14/06/2019,250
355,13/06/2019,248
356,12/6/2019,247
357,11/6/2019,248
358,10/6/2019,250
359,7/6/2019,254
360,6/6/2019,255
361,5/6/2019,256
362,4/6/2019,261
363,3/6/2019,276
364,31/05/2019,274
365,30/05/2019,270
366,29/05/2019,269
367,28/05/2019,267
368,27/05/2019,265
369,24/05/2019,265
370,23/05/2019,266
371,22/05/2019,258
372,21/05/2019,257
373,20/05/2019,260
374,17/05/2019,263
375,16/05/2019,261
376,15/05/2019,260
377,14/05/2019,256
378,13/05/2019,260
379,10/5/2019,252
380,9/5/2019,253
381,8/5/2019,250
382,7/5/2019,255
383,6/5/2019,250
384,3/5/2019,248
385,2/5/2019,250
386,1/5/2019,250
387,30/04/2019,252
388,29/04/2019,248
389,26/04/2019,252
390,25/04/2019,252
391,24/04/2019,251
392,23/04/2019,247
393,22/04/2019,250
394,19/04/2019,253
395,18/04/2019,253
396,17/04/2019,249
397,16/04/2019,248
398,15/04/2019,254
399,12/4/2019,252
400,11/4/2019,253
401,10/4/2019,253
402,9/4/2019,251
403,8/4/2019,250
404,5/4/2019,250
405,4/4/2019,250
406,3/4/2019,249
407,2/4/2019,253
408,1/4/2019,248
409,29/03/2019,253
410,28/03/2019,258
411,27/03/2019,262
412,26/03/2019,255
413,25/03/2019,255
414,22/03/2019,255
415,21/03/2019,239
416,20/03/2019,240
417,19/03/2019,240
418,18/03/2019,242
419,15/03/2019,246
420,14/03/2019,245
421,13/03/2019,249
422,12/3/2019,245
423,11/3/2019,243
424,8/3/2019,251
425,7/3/2019,249
426,6/3/2019,245
427,5/3/2019,242
428,4/3/2019,240
429,1/3/2019,236
430,28/02/2019,235
431,27/02/2019,236
432,26/02/2019,239
433,25/02/2019,240
434,22/02/2019,241
435,21/02/2019,242
436,20/02/2019,241
437,19/02/2019,241
438,18/02/2019,241
439,15/02/2019,241
440,14/02/2019,240
441,13/02/2019,242
442,12/2/2019,244
443,11/2/2019,250
444,8/2/2019,249
445,7/2/2019,245
446,6/2/2019,239
447,5/2/2019,232
448,4/2/2019,234
449,1/2/2019,237
450,31/01/2019,238
451,30/01/2019,240
452,29/01/2019,244
453,28/01/2019,240
454,25/01/2019,239
455,24/01/2019,246
456,23/01/2019,247
457,22/01/2019,252
458,21/01/2019,245
459,18/01/2019,245
460,17/01/2019,255
461,16/01/2019,255
462,15/01/2019,255
463,14/01/2019,258
464,11/1/2019,258
465,10/1/2019,254
466,9/1/2019,250
467,8/1/2019,254
468,7/1/2019,256
469,4/1/2019,264
470,3/1/2019,278
471,2/1/2019,275
472,31/12/2018,276
473,28/12/2018,272
474,27/12/2018,274
475,26/12/2018,273
476,24/12/2018,276
477,21/12/2018,273
478,20/12/2018,268
479,19/12/2018,270
480,18/12/2018,265
481,17/12/2018,260
482,14/12/2018,261
483,13/12/2018,258
484,12/12/2018,261
485,11/12/2018,270
486,10/12/2018,276
487,7/12/2018,274
488,6/12/2018,277
489,5/12/2018,274
490,4/12/2018,274
491,3/12/2018,267
492,30/11/2018,270
493,29/11/2018,272
494,28/11/2018,272
495,27/11/2018,280
496,26/11/2018,276
497,23/11/2018,274
498,22/11/2018,271
499,21/11/2018,271
500,20/11/2018,273
501,19/11/2018,267
502,16/11/2018,263
503,15/11/2018,261
504,14/11/2018,263
505,13/11/2018,262
506,12/11/2018,254
507,9/11/2018,254
508,8/11/2018,251
509,7/11/2018,247
510,6/11/2018,249
511,5/11/2018,247
512,2/11/2018,248
513,1/11/2018,254
514,31/10/2018,260
515,30/10/2018,263
516,29/10/2018,267
517,26/10/2018,266
518,25/10/2018,264
519,24/10/2018,269
520,23/10/2018,260
521,22/10/2018,260
522,19/10/2018,262
523,18/10/2018,264
524,17/10/2018,255
525,16/10/2018,256
526,15/10/2018,261
527,12/10/2018,266
528,11/10/2018,272
529,10/10/2018,268
530,9/10/2018,260
531,8/10/2018,272
532,5/10/2018,272
533,4/10/2018,278
534,3/10/2018,273
535,2/10/2018,285
536,1/10/2018,296
537,28/09/2018,293
538,27/09/2018,291
539,26/09/2018,294
540,25/09/2018,295
541,24/09/2018,293
542,21/09/2018,287
543,20/09/2018,309
544,19/09/2018,328
545,18/09/2018,335
546,17/09/2018,337
547,14/09/2018,334
548,13/09/2018,334
549,12/9/2018,332
550,11/9/2018,336
551,10/9/2018,329
552,7/9/2018,323
553,6/9/2018,332
554,5/9/2018,338
555,4/9/2018,349
556,3/9/2018,345
557,31/08/2018,345
558,30/08/2018,343
559,29/08/2018,335
560,28/08/2018,330
561,27/08/2018,329
562,24/08/2018,332
563,23/08/2018,332
564,22/08/2018,323
565,21/08/2018,311
566,20/08/2018,308
567,17/08/2018,305
568,16/08/2018,302
569,15/08/2018,306
570,14/08/2018,300
571,13/08/2018,306
572,10/8/2018,301
573,9/8/2018,285
574,8/8/2018,277
575,7/8/2018,275
576,6/8/2018,272
577,3/8/2018,270
578,2/8/2018,273
579,1/8/2018,271
580,31/07/2018,267
581,30/07/2018,266
582,27/07/2018,264
583,26/07/2018,267
584,25/07/2018,271
585,24/07/2018,276
586,23/07/2018,277
587,20/07/2018,280
588,19/07/2018,297
589,18/07/2018,292
590,17/07/2018,295
591,16/07/2018,295
592,13/07/2018,298
593,12/7/2018,299
594,11/7/2018,301
595,10/7/2018,296
596,9/7/2018,303
597,6/7/2018,312
598,5/7/2018,319
599,4/7/2018,327
600,3/7/2018,327
601,2/7/2018,331
602,29/06/2018,332
603,28/06/2018,332
604,27/06/2018,332
605,26/06/2018,320
606,25/06/2018,323
607,22/06/2018,318
608,21/06/2018,325
609,20/06/2018,333
610,19/06/2018,345
611,18/06/2018,343
612,15/06/2018,333
613,14/06/2018,334
614,13/06/2018,330
615,12/6/2018,332
616,11/6/2018,330
617,8/6/2018,325
618,7/6/2018,330
619,6/6/2018,311
620,5/6/2018,304
621,4/6/2018,300
622,1/6/2018,309
623,31/05/2018,307
624,30/05/2018,295
625,29/05/2018,297
626,28/05/2018,271
627,25/05/2018,271
628,24/05/2018,268
629,23/05/2018,265
630,22/05/2018,265
631,21/05/2018,270
632,18/05/2018,274
633,17/05/2018,261
634,16/05/2018,257
635,15/05/2018,260
636,14/05/2018,255
637,11/5/2018,254
638,10/5/2018,252
639,9/5/2018,264
640,8/5/2018,269
641,7/5/2018,262
642,4/5/2018,261
643,3/5/2018,263
644,2/5/2018,256
645,1/5/2018,250
646,30/04/2018,250
647,27/04/2018,249
648,26/04/2018,244
649,25/04/2018,243
650,24/04/2018,242
651,23/04/2018,243
652,20/04/2018,243
653,19/04/2018,245
654,18/04/2018,244
655,17/04/2018,247
656,16/04/2018,248
657,13/04/2018,245
658,12/4/2018,244
659,11/4/2018,246
660,10/4/2018,246
661,9/4/2018,247
662,6/4/2018,247
663,5/4/2018,239
664,4/4/2018,244
665,3/4/2018,243
666,2/4/2018,251
667,29/03/2018,248
668,28/03/2018,250
669,27/03/2018,251
670,26/03/2018,248
671,23/03/2018,252
672,22/03/2018,250
673,21/03/2018,246
674,20/03/2018,246
675,19/03/2018,249
676,16/03/2018,244
677,15/03/2018,247
678,14/03/2018,245
679,13/03/2018,243
680,12/3/2018,235
681,9/3/2018,233
682,8/3/2018,242
683,7/3/2018,239
684,6/3/2018,235
685,5/3/2018,237
686,2/3/2018,240
687,1/3/2018,243
688,28/02/2018,236
689,27/02/2018,229
690,26/02/2018,231
691,23/02/2018,236
692,22/02/2018,238
693,21/02/2018,233
694,20/02/2018,235
695,16/02/2018,228
696,15/02/2018,233
697,14/02/2018,249
698,13/02/2018,255
699,12/2/2018,245
700,9/2/2018,256
701,8/2/2018,241
702,7/2/2018,226
703,6/2/2018,235
704,5/2/2018,243
705,2/2/2018,229
706,1/2/2018,227
707,31/01/2018,227
708,30/01/2018,224
709,29/01/2018,224
710,26/01/2018,222
711,25/01/2018,225
712,24/01/2018,226
713,23/01/2018,233
714,22/01/2018,231
715,19/01/2018,231
716,18/01/2018,231
717,17/01/2018,228
718,16/01/2018,226
719,15/01/2018,225
720,12/1/2018,225
721,11/1/2018,223
722,10/1/2018,222
723,9/1/2018,218
724,8/1/2018,222
725,5/1/2018,221
726,4/1/2018,225
727,3/1/2018,228
728,2/1/2018,234
729,29/12/2017,240
730,28/12/2017,239
731,27/12/2017,240
732,26/12/2017,237
733,22/12/2017,235
734,21/12/2017,233
735,20/12/2017,231
736,19/12/2017,234
737,18/12/2017,238
738,15/12/2017,244
739,14/12/2017,245
740,13/12/2017,243
741,12/12/2017,239
742,11/12/2017,239
743,8/12/2017,240
744,7/12/2017,242
745,6/12/2017,238
746,5/12/2017,236
747,4/12/2017,242
748,1/12/2017,244
749,30/11/2017,241
750,29/11/2017,240
751,28/11/2017,239
752,27/11/2017,242
753,24/11/2017,243
754,23/11/2017,246
755,22/11/2017,246
756,21/11/2017,247
757,20/11/2017,248
758,17/11/2017,246
759,16/11/2017,251
760,15/11/2017,260
761,14/11/2017,256
762,13/11/2017,251
763,10/11/2017,253
764,9/11/2017,255
765,8/11/2017,253
766,7/11/2017,253
767,6/11/2017,247
768,3/11/2017,249
769,2/11/2017,245
770,1/11/2017,244
771,31/10/2017,243
772,30/10/2017,239
773,27/10/2017,238
774,26/10/2017,242
775,25/10/2017,234
776,24/10/2017,234
777,23/10/2017,233
778,20/10/2017,233
779,19/10/2017,236
780,18/10/2017,236
781,17/10/2017,240
782,16/10/2017,242
783,13/10/2017,244
784,12/10/2017,245
785,11/10/2017,247
786,10/10/2017,248
787,9/10/2017,244
788,6/10/2017,244
789,5/10/2017,241
790,4/10/2017,245
791,3/10/2017,245
792,2/10/2017,246
793,29/09/2017,247
794,28/09/2017,253
795,27/09/2017,256
796,26/09/2017,256
797,25/09/2017,257
798,22/09/2017,253
799,21/09/2017,255
800,20/09/2017,254
801,19/09/2017,252
802,18/09/2017,252
803,15/09/2017,255
804,14/09/2017,256
805,13/09/2017,257
806,12/9/2017,260
807,11/9/2017,259
808,8/9/2017,264
809,7/9/2017,265
810,6/9/2017,267
811,5/9/2017,268
812,4/9/2017,265
813,1/9/2017,265
814,31/08/2017,272
815,30/08/2017,272
816,29/08/2017,274
817,28/08/2017,273
818,25/08/2017,270
819,24/08/2017,269
820,23/08/2017,274
821,22/08/2017,276
822,21/08/2017,279
823,18/08/2017,277
824,17/08/2017,279
825,16/08/2017,271
826,15/08/2017,269
827,14/08/2017,276
828,11/8/2017,281
829,10/8/2017,281
830,9/8/2017,269
831,8/8/2017,262
832,7/8/2017,263
833,4/8/2017,262
834,3/8/2017,264
835,2/8/2017,268
836,1/8/2017,267
837,31/07/2017,268
838,28/07/2017,271
839,27/07/2017,268
840,26/07/2017,269
841,25/07/2017,272
842,24/07/2017,270
843,21/07/2017,264
844,20/07/2017,266
845,19/07/2017,271
846,18/07/2017,273
847,17/07/2017,273
848,14/07/2017,274
849,13/07/2017,277
850,12/7/2017,277
851,11/7/2017,282
852,10/7/2017,286
853,7/7/2017,293
854,6/7/2017,297
855,5/7/2017,291
856,3/7/2017,286
857,30/06/2017,289
858,29/06/2017,294
859,28/06/2017,290
860,27/06/2017,298
861,26/06/2017,290
862,23/06/2017,294
863,22/06/2017,298
864,21/06/2017,302
865,20/06/2017,299
866,19/06/2017,289
867,16/06/2017,286
868,15/06/2017,286
869,14/06/2017,281
870,13/06/2017,282
871,12/6/2017,286
872,9/6/2017,285
873,8/6/2017,285
874,7/6/2017,288
875,6/6/2017,285
876,5/6/2017,283
877,2/6/2017,283
878,1/6/2017,284
879,31/05/2017,284
880,30/05/2017,284
881,29/05/2017,286
882,26/05/2017,283
883,25/05/2017,286
884,24/05/2017,281
885,23/05/2017,280
886,22/05/2017,288
887,19/05/2017,282
888,18/05/2017,300
889,17/05/2017,258
890,16/05/2017,250
891,15/05/2017,251
892,12/5/2017,255
893,11/5/2017,255
894,10/5/2017,257
895,9/5/2017,264
896,8/5/2017,262
897,5/5/2017,262
898,4/5/2017,264
899,3/5/2017,256
900,2/5/2017,258
901,1/5/2017,260
902,28/04/2017,263
903,27/04/2017,264
904,26/04/2017,268
905,25/04/2017,263
906,24/04/2017,263
907,21/04/2017,272
908,20/04/2017,275
909,19/04/2017,273
910,18/04/2017,275
911,17/04/2017,270
912,13/04/2017,271
913,12/4/2017,271
914,11/4/2017,272
915,10/4/2017,267
916,7/4/2017,271
917,6/4/2017,269
918,5/4/2017,263
919,4/4/2017,265
920,3/4/2017,270
921,31/03/2017,270
922,30/03/2017,274
923,29/03/2017,275
924,28/03/2017,278
925,27/03/2017,279
926,24/03/2017,278
927,23/03/2017,280
928,22/03/2017,280
929,21/03/2017,277
930,20/03/2017,269
931,17/03/2017,272
932,16/03/2017,274
933,15/03/2017,282
934,14/03/2017,291
935,13/03/2017,286
936,10/3/2017,280
937,9/3/2017,290
938,8/3/2017,287
939,7/3/2017,274
940,6/3/2017,272
941,3/3/2017,273
942,2/3/2017,280
943,1/3/2017,275
944,28/02/2017,286
945,27/02/2017,277
946,24/02/2017,277
947,23/02/2017,272
948,22/02/2017,277
949,21/02/2017,279
950,20/02/2017,282
951,17/02/2017,282
952,16/02/2017,280
953,15/02/2017,271
954,14/02/2017,266
955,13/02/2017,268
956,10/2/2017,272
957,9/2/2017,280
958,8/2/2017,284
959,7/2/2017,287
960,6/2/2017,277
961,3/2/2017,276
962,2/2/2017,281
963,1/2/2017,285
964,31/01/2017,289
965,30/01/2017,291
966,27/01/2017,284
967,26/01/2017,296
968,25/01/2017,296
969,24/01/2017,293
970,23/01/2017,295
971,20/01/2017,294
972,19/01/2017,296
973,18/01/2017,291
974,17/01/2017,282
975,16/01/2017,288
976,13/01/2017,288
977,12/1/2017,298
978,11/1/2017,305
979,10/1/2017,305
980,9/1/2017,302
981,6/1/2017,301
982,5/1/2017,302
983,4/1/2017,311
984,3/1/2017,325
985,2/1/2017,328
