,Month,"Number of workers (in 1,000s)"
212,Feb 03,7181
213,Jan 03,7149
214,Dec 02,7159
215,Nov 02,7180
216,Oct 02,7211
217,Sep 02,7156
218,Aug 02,7157
219,Jul 02,7112
220,Jun 02,7130
221,May 02,7060
222,Apr 02,7038
223,Mar 02,7010
224,Feb 02,7019
225,Jan 02,7027
226,Dec 01,7021
227,Nov 01,6998
228,Oct 01,6956
229,Sep 01,6943
230,Aug 01,6934
231,Jul 01,6982
232,Jun 01,6983
233,May 01,6979
234,Apr 01,6971
235,Mar 01,7004
236,Feb 01,7006
237,Jan 01,7022
238,Dec 00,6984
239,Nov 00,6994
240,Oct 00,6986
241,Sep 00,7026
242,Aug 00,7007
243,Jul 00,6979
244,Jun 00,6945
245,May 00,6921
246,Apr 00,6919
247,Mar 00,6912
248,Feb 00,6896
249,Jan 00,6844
250,Dec 99,6865
251,Nov 99,6824
252,Oct 99,6831
253,Sep 99,6821
254,Aug 99,6828
255,Jul 99,6817
256,Jun 99,6810
257,May 99,6809
258,Apr 99,6803
259,Mar 99,6804
260,Feb 99,6801
261,Jan 99,6832
262,Dec 98,6787
263,Nov 98,6785
264,Oct 98,6737
265,Sep 98,6693
266,Aug 98,6694
267,Jul 98,6700
268,Jun 98,6725
269,May 98,6717
270,Apr 98,6698
271,Mar 98,6677
272,Feb 98,6660
273,Jan 98,6643
274,Dec 97,6651
275,Nov 97,6688
276,Oct 97,6719
277,Sep 97,6710
278,Aug 97,6679
279,Jul 97,6677
280,Jun 97,6686
281,May 97,6667
282,Apr 97,6648
283,Mar 97,6629
284,Feb 97,6635
285,Jan 97,6624
286,Dec 96,6614
287,Nov 96,6580
288,Oct 96,6574
289,Sep 96,6553
290,Aug 96,6571
291,Jul 96,6548
292,Jun 96,6515
293,May 96,6522
294,Apr 96,6529
295,Mar 96,6554
296,Feb 96,6512
297,Jan 96,6513
298,Dec 95,6490
299,Nov 95,6433
300,Oct 95,6392
301,Sep 95,6366
302,Aug 95,6370
303,Jul 95,6337
304,Jun 95,6325
305,May 95,6286
306,Apr 95,6268
307,Mar 95,6255
308,Feb 95,6268
309,Jan 95,6232
310,Dec 94,6244
311,Nov 94,6247
312,Oct 94,6270
313,Sep 94,6274
314,Aug 94,6260
315,Jul 94,6244
316,Jun 94,6232
317,May 94,6236
318,Apr 94,6225
319,Mar 94,6207
320,Feb 94,6167
321,Jan 94,6186
322,Dec 93,6163
323,Nov 93,6175
324,Oct 93,6144
325,Sep 93,6127
326,Aug 93,6103
327,Jul 93,6077
328,Jun 93,6070
329,May 93,6073
330,Apr 93,6053
331,Mar 93,6044
332,Feb 93,6012
333,Jan 93,5995
334,Dec 92,6008
335,Nov 92,6018
336,Oct 92,6017
337,Sep 92,6017
338,Aug 92,6005
339,Jul 92,6013
340,Jun 92,6023
341,May 92,6004
