,Month,Index points
166,Jul 13,2.1
167,Jul 12,3.2
168,Jul 11,2.6
169,Jul 10,2.1
170,Jul 9,2.1
171,Jul 8,2.0
172,Jul 7,2.0
173,Jul 6,1.9
174,Jul 5,3.0
175,Jul 4,2.4
176,Jul 3,2.0
177,Jul 2,2.0
178,Jul 1,2.0
179,Jun 30,1.9
180,Jun 29,1.9
181,Jun 28,3.1
182,Jun 27,2.5
183,Jun 26,2.0
184,Jun 25,2.1
185,Jun 24,2.1
186,Jun 23,2.0
187,Jun 22,2.0
188,Jun 21,3.0
189,Jun 20,2.5
190,Jun 19,2.1
191,Jun 18,2.0
192,Jun 17,2.1
193,Jun 16,2.0
194,Jun 15,2.0
195,Jun 14,3.2
196,Jun 13,2.5
197,Jun 12,2.1
198,Jun 11,2.1
199,Jun 10,2.1
200,Jun 9,2.1
201,Jun 8,2.1
202,Jun 7,3.2
203,Jun 6,2.6
204,Jun 5,2.1
205,Jun 4,2.1
206,Jun 3,2.1
207,Jun 2,2.0
208,Jun 1,2.0
209,May 31,3.1
210,May 30,2.6
211,May 29,2.5
212,May 28,2.5
213,May 27,2.0
214,May 26,1.9
215,May 25,2.1
216,May 24,3.1
217,May 23,2.2
218,May 22,2.1
219,May 21,2.1
220,May 20,2.0
221,May 19,2.0
222,May 18,2.0
223,May 17,3.2
224,May 16,2.6
225,May 15,2.2
226,May 14,2.3
227,May 13,2.3
228,May 12,2.3
229,May 11,2.2
230,May 10,3.6
231,May 9,3.0
232,May 8,2.4
233,May 7,2.5
234,May 6,2.6
235,May 5,2.5
236,May 4,2.4
237,May 3,3.5
238,May 2,3.2
239,May 1,3.2
240,Apr 30,2.8
241,Apr 29,2.9
242,Apr 28,2.9
243,Apr 27,2.8
244,Apr 26,3.8
245,Apr 25,3.6
246,Apr 24,3.7
247,Apr 23,3.2
248,Apr 22,3.2
249,Apr 21,3.2
250,Apr 20,3.0
251,Apr 19,3.9
252,Apr 18,3.4
253,Apr 17,3.1
254,Apr 16,3.3
255,Apr 15,3.2
256,Apr 14,3.3
257,Apr 13,3.3
258,Apr 12,4.1
259,Apr 11,3.8
260,Apr 10,3.6
261,Apr 9,3.6
262,Apr 8,3.6
263,Apr 7,3.7
264,Apr 6,3.8
265,Apr 5,4.2
266,Apr 4,4.2
267,Apr 3,3.8
268,Apr 2,3.8
269,Apr 1,3.7
270,Mar 31,3.7
271,Mar 30,3.7
272,Mar 29,4.4
273,Mar 28,4.0
274,Mar 27,3.8
275,Mar 26,3.7
276,Mar 25,3.7
277,Mar 24,2.8
278,Mar 23,2.7
279,Mar 22,3.7
280,Mar 21,3.2
281,Mar 20,2.8
282,Mar 19,2.9
283,Mar 18,2.9
284,Mar 17,2.7
285,Mar 16,2.2
286,Mar 15,3.1
287,Mar 14,2.6
288,Mar 13,1.7
289,Mar 12,1.1
290,Mar 11,1.1
291,Mar 10,1.1
292,Mar 9,1.1
