,Month,Number of deaths
111,Aug 25,284
112,Aug 24,289
113,Aug 23,322
114,Aug 22,360
115,Aug 21,349
116,Aug 20,352
117,Aug 19,462
118,Aug 18,269
119,Aug 17,260
120,Aug 16,476
121,Aug 15,326
122,Aug 14,400
123,Aug 13,371
124,Aug 12,287
125,Aug 11,378
126,Aug 10,320
127,Aug 9,307
128,Aug 8,354
129,Aug 7,300
130,Aug 6,417
131,Aug 5,409
132,Aug 4,267
133,Aug 3,299
134,Aug 2,252
135,Aug 1,366
136,Jul 31,369
137,Jul 30,408
138,Jul 29,343
139,Jul 28,274
140,Jul 27,205
141,Jul 26,300
142,Jul 25,379
143,Jul 24,352
144,Jul 23,400
145,Jul 22,374
146,Jul 21,277
147,Jul 20,127
148,Jul 19,252
149,Jul 18,527
150,Jul 17,405
151,Jul 16,465
152,Jul 15,402
153,Jul 14,293
154,Jul 13,266
155,Jul 12,368
156,Jul 11,422
157,Jul 10,409
158,Jul 9,484
159,Jul 8,506
160,Jul 7,334
161,Jul 6,301
162,Jul 5,357
163,Jul 4,435
164,Jul 3,449
165,Jul 2,521
166,Jul 1,451
167,Jun 30,337
168,Jun 29,289
169,Jun 28,365
170,Jun 27,505
171,Jun 26,429
172,Jun 25,429
173,Jun 24,537
174,Jun 23,360
175,Jun 22,282
176,Jun 21,309
177,Jun 20,469
178,Jun 19,1845
179,Jun 18,652
180,Jun 17,666
181,Jun 16,362
182,Jun 15,318
183,Jun 14,463
184,Jun 13,570
185,Jun 12,483
186,Jun 11,747
187,Jun 10,719
188,Jun 9,470
189,Jun 8,376
190,Jun 7,603
191,Jun 6,800
192,Jun 5,607
193,Jun 4,831
194,Jun 3,818
195,Jun 2,529
196,Jun 1,435
197,May 31,725
198,May 30,927
199,May 29,958
200,May 28,1102
201,May 27,842
202,May 26,863
203,May 24,873
204,May 23,953
205,May 22,1593
206,May 21,1150
207,May 20,1350
208,May 19,855
209,May 18,664
210,May 17,1154
211,May 16,1376
212,May 15,1656
213,May 14,1579
214,May 13,1922
215,May 12,1298
216,May 11,965
217,May 10,1194
218,May 9,1994
219,May 8,1808
220,May 7,2178
221,May 6,2254
222,May 5,1597
223,May 4,1250
224,May 3,1930
225,May 2,2164
226,May 1,2401
227,Apr 30,2734
228,Apr 29,3053
229,Apr 28,2458
230,Apr 27,1553
231,Apr 26,2944
232,Apr 25,3228
233,Apr 24,3088
234,Apr 23,3424
235,Apr 22,4021
236,Apr 21,2898
237,Apr 20,2489
238,Apr 19,3705
239,Apr 18,3896
240,Apr 17,4186
241,Apr 16,4901
242,Apr 15,4442
243,Apr 14,3244
244,Apr 13,3189
245,Apr 12,3534
246,Apr 11,4315
247,Apr 10,4904
248,Apr 9,4069
249,Apr 8,5160
250,Apr 7,3553
251,Apr 6,3070
252,Apr 5,4263
253,Apr 4,5331
254,Apr 3,3701
255,Apr 2,3570
256,Apr 1,3417
257,Mar 31,3021
258,Mar 30,2603
259,Mar 29,2781
260,Mar 28,2798
261,Mar 27,2278
262,Mar 26,2149
263,Mar 25,1892
264,Mar 24,1531
265,Mar 23,1339
266,Mar 22,1437
267,Mar 21,1071
268,Mar 20,872
269,Mar 19,739
270,Mar 18,619
271,Mar 17,439
272,Mar 16,599
273,Mar 15,243
274,Mar 14,316
275,Mar 13,249
276,Mar 12,235
277,Mar 11,184
278,Mar 10,136
279,Mar 9,145
280,Mar 8,38
281,Mar 7,55
282,Mar 6,47
283,Mar 5,28
284,Mar 4,29
285,Mar 3,18
286,Mar 2,7
287,Mar 1,8
288,Feb 29,4
289,Feb 28,5
290,Feb 27,2
291,Feb 26,5
292,Feb 25,4
293,Feb 24,-
294,Feb 23,2
295,Feb 22,-
296,Feb 21,-
297,Feb 20,-
298,Feb 19,-
299,Feb 18,-
300,Feb 17,-
301,Feb 16,-
302,Feb 15,1
