,Month,Number of users
338,"Feb 02, 2020",45560812
339,"Feb 01, 2020",45515614
340,"Jan 30, 2020",45449711
341,"Jan 29, 2020",45424562
342,"Jan 28, 2020",45400163
343,"Jan 27, 2020",45382348
344,"Jan 26, 2020",45342388
345,"Jan 25, 2020",45330479
346,"Jan 24, 2020",45304737
347,"Jan 23, 2020",45277170
348,"Jan 21, 2020",45245218
349,"Jan 06, 2020",44818309
350,"Dec 22, 2019",44511642
351,"Dec 16, 2019",44366315
352,"Dec 15, 2019",44334112
353,"Dec 14, 2019",44284401
354,"Dec 13, 2019",44275601
355,"Dec 12, 2019",44215604
356,"Dec 11, 2019",44191771
357,"Dec 10, 2019",44156366
358,"Dec 09, 2019",44114786
359,"Dec 08, 2019",44090494
360,"Dec 07, 2019",44063902
361,"Dec 06, 2019",44046973
362,"Dec 05, 2019",44015479
363,"Dec 04, 2019",43969171
364,"Dec 03, 2019",43952690
365,"Dec 02, 2019",43916129
366,"Dec 01, 2019",43894096
367,"Nov 30, 2019",43868014
368,"Nov 29, 2019",43832183
369,"Nov 28, 2019",43814072
370,"Nov 27, 2019",43775853
371,"Nov 26, 2019",43757758
372,"Nov 25, 2019",43719529
373,"Nov 24, 2019",43691200
374,"Nov 23, 2019",43673397
375,"Nov 22, 2019",43629133
376,"Nov 21, 2019",43590972
377,"Nov 20, 2019",43540281
378,"Nov 19, 2019",43496329
379,"Nov 18, 2019",43469103
380,"Nov 17, 2019",43432543
381,"Nov 16, 2019",43405928
382,"Nov 15, 2019",43362660
383,"Nov 14, 2019",43340606
384,"Nov 13, 2019",43329451
385,"Nov 12, 2019",43290714
386,"Nov 11, 2019",43276453
387,"Nov 10, 2019",43255998
388,"Nov 09, 2019",43234112
389,"Nov 08, 2019",43223051
390,"Nov 07, 2019",43192066
391,"Nov 06, 2019",43171028
392,"Nov 05, 2019",43135749
393,"Nov 04, 2019",43113602
394,"Nov 03, 2019",43096329
395,"Nov 02, 2019",43079151
396,"Nov 01, 2019",43068083
397,"Oct 31, 2019",43041665
398,"Oct 30, 2019",43001793
399,"Oct 29, 2019",42988925
400,"Oct 28, 2019",42960046
401,"Oct 27, 2019",42930326
402,"Oct 26, 2019",42919695
403,"Oct 25, 2019",42883807
404,"Oct 24, 2019",42867855
405,"Oct 23, 2019",42840461
406,"Oct 22, 2019",42811391
407,"Oct 21, 2019",42782968
408,"Oct 20, 2019",42753917
409,"Oct 19, 2019",42744436
410,"Oct 18, 2019",42723564
411,"Oct 17, 2019",42696924
412,"Oct 16, 2019",42682592
413,"Oct 15, 2019",42657221
414,"Oct 14, 2019",42646165
415,"Oct 13, 2019",42620103
416,"Oct 12, 2019",42587356
417,"Oct 11, 2019",42573061
418,"Oct 10, 2019",42532981
419,"Oct 09, 2019",42517937
420,"Oct 08, 2019",42490195
421,"Oct 07, 2019",42459598
422,"Oct 06, 2019",42444892
423,"Oct 05, 2019",42426179
424,"Oct 04, 2019",42410916
425,"Oct 03, 2019",42383274
426,"Oct 02, 2019",42331656
427,"Oct 01, 2019",42324310
428,"Sep 30, 2019",42290501
429,"Sep 29, 2019",42277810
430,"Sep 28, 2019",42258154
431,"Sep 27, 2019",42232966
432,"Sep 26, 2019",42220428
433,"Sep 25, 2019",42192222
434,"Sep 24, 2019",42175142
435,"Sep 23, 2019",42152608
436,"Sep 22, 2019",42129293
437,"Sep 21, 2019",42115357
438,"Sep 20, 2019",42094530
439,"Sep 19, 2019",42083769
440,"Sep 18, 2019",42051065
441,"Sep 17, 2019",42022852
442,"Sep 16, 2019",42003731
443,"Sep 15, 2019",41975759
444,"Sep 14, 2019",41964046
445,"Sep 13, 2019",41941175
446,"Sep 12, 2019",41908663
447,"Sep 11, 2019",41889438
448,"Sep 10, 2019",41836598
449,"Sep 09, 2019",41824085
450,"Sep 08, 2019",41780635
451,"Sep 07, 2019",41761011
452,"Sep 06, 2019",41747915
453,"Sep 05, 2019",41716385
454,"Sep 04, 2019",41703335
455,"Sep 03, 2019",41668600
456,"Sep 02, 2019",41646706
457,"Sep 01, 2019",41634225
458,"Aug 31, 2019",41607742
459,"Aug 30, 2019",41592076
460,"Aug 29, 2019",41560675
461,"Aug 28, 2019",41537123
462,"Aug 27, 2019",41527053
463,"Aug 26, 2019",41494075
464,"Aug 25, 2019",41475558
465,"Aug 24, 2019",41446648
466,"Aug 23, 2019",41417686
467,"Aug 22, 2019",41398204
468,"Aug 21, 2019",41364598
469,"Aug 20, 2019",41350046
470,"Aug 19, 2019",41318338
471,"Aug 18, 2019",41293513
472,"Aug 17, 2019",41283032
473,"Aug 16, 2019",41259967
474,"Aug 15, 2019",41247827
475,"Aug 14, 2019",41223963
476,"Aug 13, 2019",41196100
477,"Aug 12, 2019",41183316
478,"Aug 11, 2019",41163965
479,"Aug 10, 2019",41154148
480,"Aug 09, 2019",41124397
481,"Aug 08, 2019",41102794
482,"Aug 07, 2019",41082395
483,"Aug 06, 2019",41046814
484,"Aug 05, 2019",41037416
485,"Aug 04, 2019",41004944
486,"Aug 03, 2019",40976607
487,"Aug 02, 2019",40962543
488,"Aug 01, 2019",40932463
489,"Jul 31, 2019",40912756
490,"Jul 30, 2019",40882285
491,"Jul 29, 2019",40845935
492,"Jul 28, 2019",40837155
493,"Jul 27, 2019",40798884
494,"Jul 26, 2019",40782340
495,"Jul 25, 2019",40757378
496,"Jul 24, 2019",40731162
497,"Jul 23, 2019",40701838
498,"Jul 22, 2019",40662060
499,"Jul 21, 2019",40649378
500,"Jul 20, 2019",40616475
501,"Jul 19, 2019",40565937
502,"Jul 18, 2019",40548548
503,"Jul 17, 2019",40510036
504,"Jul 16, 2019",40495727
505,"Jul 15, 2019",40468090
506,"Jul 14, 2019",40437295
507,"Jul 13, 2019",40416566
508,"Jul 12, 2019",40391193
509,"Jul 11, 2019",40376174
510,"Jul 10, 2019",40331604
511,"Jul 09, 2019",40291530
512,"Jul 08, 2019",40274329
513,"Jul 07, 2019",40248974
514,"Jul 06, 2019",40239382
515,"Jul 05, 2019",40211632
516,"Jul 04, 2019",40167671
517,"Jul 03, 2019",40147457
518,"Jul 02, 2019",40118376
519,"Jul 01, 2019",40102759
520,"Jun 30, 2019",40074020
521,"Jun 29, 2019",40043461
522,"Jun 28, 2019",40028293
523,"Jun 27, 2019",39976932
524,"Jun 26, 2019",39950040
525,"Jun 25, 2019",39905434
526,"Jun 24, 2019",39846905
527,"Jun 23, 2019",39828832
528,"Jun 22, 2019",39763959
529,"Jun 21, 2019",39736780
530,"Jun 20, 2019",39684115
531,"Jun 19, 2019",39612973
532,"Jun 18, 2019",39595836
533,"Jun 17, 2019",39542281
534,"Jun 16, 2019",39515478
535,"Jun 15, 2019",39484147
536,"Jun 14, 2019",39417837
537,"Jun 13, 2019",39393001
538,"Jun 12, 2019",39346519
539,"Jun 11, 2019",39320919
540,"Jun 10, 2019",39258189
541,"Jun 09, 2019",39228975
542,"Jun 08, 2019",39212746
543,"Jun 07, 2019",39167819
544,"Jun 06, 2019",39133717
545,"Jun 05, 2019",39088420
546,"Jun 04, 2019",39031297
547,"Jun 03, 2019",39002339
548,"Jun 02, 2019",38949291
549,"Jun 01, 2019",38919827
550,"May 31, 2019",38863173
551,"May 30, 2019",38799864
552,"May 29, 2019",38732673
553,"May 28, 2019",38653016
554,"May 27, 2019",38614230
555,"May 26, 2019",38546220
556,"May 25, 2019",38479143
557,"May 24, 2019",38435288
558,"May 23, 2019",38371156
559,"May 22, 2019",38331595
560,"May 21, 2019",38220876
561,"May 20, 2019",38139223
562,"May 19, 2019",38100124
563,"May 18, 2019",38021565
564,"May 17, 2019",37984542
565,"May 16, 2019",37897095
566,"May 15, 2019",37796874
567,"May 14, 2019",37737816
568,"May 13, 2019",37651694
569,"May 12, 2019",37606748
570,"May 11, 2019",37525865
571,"May 10, 2019",37453552
572,"May 09, 2019",37407949
573,"May 08, 2019",37290470
574,"May 07, 2019",37220274
575,"May 06, 2019",37102193
576,"May 05, 2019",36995377
577,"May 04, 2019",36928545
578,"May 03, 2019",36831277
579,"May 02, 2019",36772309
580,"May 01, 2019",36684160
581,"Apr 30, 2019",36566166
582,"Apr 29, 2019",36492141
583,"Apr 28, 2019",36382749
584,"Apr 27, 2019",36353202
585,"Apr 26, 2019",36206706
586,"Apr 25, 2019",36102750
587,"Apr 24, 2019",36036958
588,"Apr 23, 2019",35922952
589,"Apr 22, 2019",35874712
590,"Apr 21, 2019",35797760
591,"Apr 20, 2019",35741771
592,"Apr 19, 2019",35702989
593,"Apr 18, 2019",35615315
594,"Apr 17, 2019",35567392
595,"Apr 16, 2019",35517163
596,"Apr 15, 2019",35463346
597,"Apr 14, 2019",35442101
598,"Apr 13, 2019",35385785
599,"Apr 12, 2019",35360462
600,"Apr 11, 2019",35273143
601,"Apr 10, 2019",35179532
602,"Apr 09, 2019",35132330
603,"Apr 08, 2019",35018635
604,"Apr 07, 2019",34993614
605,"Apr 06, 2019",34947189
606,"Apr 05, 2019",34897352
607,"Apr 04, 2019",34880081
608,"Apr 03, 2019",34795309
609,"Apr 02, 2019",34742292
610,"Apr 01, 2019",34677285
611,"Mar 31, 2019",34648863
612,"Mar 30, 2019",34596866
613,"Mar 29, 2019",34555934
614,"Mar 28, 2019",34538449
615,"Mar 27, 2019",34501495
616,"Mar 26, 2019",34487434
617,"Mar 25, 2019",34446117
618,"Mar 24, 2019",34422472
619,"Mar 23, 2019",34414490
620,"Mar 22, 2019",34381875
621,"Mar 21, 2019",34369702
622,"Mar 20, 2019",34332751
623,"Mar 19, 2019",34302755
624,"Mar 18, 2019",34289076
625,"Mar 17, 2019",34228418
626,"Mar 16, 2019",34220643
627,"Mar 15, 2019",34193691
628,"Mar 14, 2019",34160884
629,"Mar 13, 2019",34147408
630,"Mar 12, 2019",34109774
631,"Mar 11, 2019",34093874
632,"Mar 10, 2019",34070536
633,"Mar 09, 2019",34039077
634,"Mar 08, 2019",34030077
635,"Mar 07, 2019",33983677
636,"Mar 06, 2019",33965310
637,"Mar 05, 2019",33935919
638,"Mar 04, 2019",33901620
639,"Mar 03, 2019",33895276
640,"Mar 02, 2019",33855840
641,"Mar 01, 2019",33819413
642,"Feb 28, 2019",33763329
643,"Feb 27, 2019",33685182
644,"Feb 26, 2019",33651665
645,"Feb 25, 2019",33598839
646,"Feb 24, 2019",33588036
647,"Feb 23, 2019",33544880
648,"Feb 22, 2019",33481781
649,"Feb 21, 2019",33436941
650,"Feb 20, 2019",33401216
651,"Feb 19, 2019",33382083
652,"Feb 18, 2019",33334229
653,"Feb 17, 2019",33302383
654,"Feb 16, 2019",33283619
655,"Feb 15, 2019",33253739
656,"Feb 14, 2019",33243904
657,"Feb 13, 2019",33202481
658,"Feb 12, 2019",33181316
659,"Feb 11, 2019",33157954
660,"Feb 10, 2019",33126439
661,"Feb 09, 2019",33113419
662,"Feb 08, 2019",33076705
663,"Feb 07, 2019",33032699
664,"Feb 06, 2019",33012933
665,"Feb 05, 2019",32982308
666,"Feb 04, 2019",32976665
667,"Feb 03, 2019",32938852
668,"Feb 02, 2019",32883937
669,"Feb 01, 2019",32865601
670,"Jan 31, 2019",32822187
671,"Jan 30, 2019",32808338
672,"Jan 29, 2019",32759063
673,"Jan 28, 2019",32721256
674,"Jan 27, 2019",32704263
675,"Jan 26, 2019",32664805
676,"Jan 25, 2019",32657809
677,"Jan 24, 2019",32619063
678,"Jan 23, 2019",32588796
679,"Jan 22, 2019",32573283
680,"Jan 21, 2019",32551555
681,"Jan 20, 2019",32527239
682,"Jan 19, 2019",32497585
683,"Jan 18, 2019",32469793
684,"Jan 17, 2019",32460799
685,"Jan 16, 2019",32378271
686,"Jan 15, 2019",32361063
687,"Jan 14, 2019",32325020
688,"Jan 13, 2019",32305283
689,"Jan 12, 2019",32274243
690,"Jan 11, 2019",32256440
691,"Jan 10, 2019",32237325
692,"Jan 09, 2019",32205068
693,"Jan 08, 2019",32178353
694,"Jan 07, 2019",32151304
695,"Jan 06, 2019",32131361
696,"Jan 05, 2019",32124379
697,"Jan 04, 2019",32050012
698,"Jan 03, 2019",31955907
699,"Jan 02, 2019",31931109
700,"Jan 01, 2019",31915864
701,"Dec 31, 2018",31906385
702,"Dec 30, 2018",31869983
703,"Dec 29, 2018",31842640
704,"Dec 28, 2018",31834894
705,"Dec 27, 2018",31810101
706,"Dec 26, 2018",31780906
707,"Dec 25, 2018",31753828
708,"Dec 24, 2018",31724753
709,"Dec 23, 2018",31710311
710,"Dec 22, 2018",31674618
711,"Dec 21, 2018",31658987
712,"Dec 20, 2018",31635631
713,"Dec 19, 2018",31611211
714,"Dec 18, 2018",31590097
715,"Dec 17, 2018",31553828
716,"Dec 16, 2018",31543382
717,"Dec 15, 2018",31506165
718,"Dec 14, 2018",31479846
719,"Dec 13, 2018",31470488
720,"Dec 12, 2018",31422703
721,"Dec 11, 2018",31405807
722,"Dec 10, 2018",31381899
723,"Dec 09, 2018",31363228
724,"Dec 08, 2018",31336330
725,"Dec 07, 2018",31302897
726,"Dec 06, 2018",31295678
727,"Dec 05, 2018",31262139
728,"Dec 04, 2018",31220187
729,"Dec 03, 2018",31206534
730,"Dec 02, 2018",31170693
731,"Dec 01, 2018",31156447
732,"Nov 30, 2018",31133195
733,"Nov 29, 2018",31094364
734,"Nov 28, 2018",31069280
735,"Nov 27, 2018",31019559
736,"Nov 26, 2018",30995269
737,"Nov 25, 2018",30936912
738,"Nov 24, 2018",30893557
739,"Nov 23, 2018",30875886
740,"Nov 22, 2018",30821283
741,"Nov 21, 2018",30793823
742,"Nov 20, 2018",30696672
743,"Nov 19, 2018",30638824
744,"Nov 18, 2018",30622107
745,"Nov 17, 2018",30571025
746,"Nov 16, 2018",30530642
747,"Nov 15, 2018",30456155
748,"Nov 14, 2018",30382233
749,"Nov 13, 2018",30361989
750,"Nov 12, 2018",30287594
751,"Nov 11, 2018",30252409
752,"Nov 10, 2018",30186893
753,"Nov 09, 2018",30123468
754,"Nov 08, 2018",30077554
755,"Nov 07, 2018",29973383
756,"Nov 06, 2018",29934993
757,"Nov 05, 2018",29897874
758,"Nov 04, 2018",29874133
759,"Nov 03, 2018",29858742
760,"Nov 02, 2018",29812097
761,"Nov 01, 2018",29790877
762,"Oct 31, 2018",29755726
763,"Oct 30, 2018",29714480
764,"Oct 29, 2018",29697548
765,"Oct 28, 2018",29669649
766,"Oct 27, 2018",29626751
767,"Oct 26, 2018",29603039
768,"Oct 25, 2018",29563282
769,"Oct 24, 2018",29550182
770,"Oct 23, 2018",29510311
771,"Oct 22, 2018",29474194
772,"Oct 21, 2018",29448174
773,"Oct 20, 2018",29413866
774,"Oct 19, 2018",29403288
775,"Oct 18, 2018",29353694
776,"Oct 17, 2018",29323774
777,"Oct 16, 2018",29302071
778,"Oct 15, 2018",29263528
779,"Oct 14, 2018",29250500
780,"Oct 13, 2018",29223051
781,"Oct 12, 2018",29189434
782,"Oct 11, 2018",29174757
783,"Oct 10, 2018",29135801
784,"Oct 09, 2018",29127362
785,"Oct 08, 2018",29098348
786,"Oct 07, 2018",29054029
787,"Oct 06, 2018",29035110
788,"Oct 05, 2018",28999266
789,"Oct 04, 2018",28985810
790,"Oct 03, 2018",28953426
791,"Oct 02, 2018",28923372
792,"Oct 01, 2018",28904902
793,"Sep 30, 2018",28869795
794,"Sep 29, 2018",28850285
795,"Sep 28, 2018",28821750
796,"Sep 27, 2018",28787814
797,"Sep 26, 2018",28757286
798,"Sep 25, 2018",28724040
799,"Sep 24, 2018",28709882
800,"Sep 23, 2018",28688022
801,"Sep 22, 2018",28651311
802,"Sep 21, 2018",28636779
803,"Sep 20, 2018",28606677
804,"Sep 19, 2018",28587322
805,"Sep 18, 2018",28547101
806,"Sep 17, 2018",28510991
807,"Sep 16, 2018",28493640
808,"Sep 15, 2018",28465338
809,"Sep 14, 2018",28445015
810,"Sep 13, 2018",28423952
811,"Sep 12, 2018",28389175
812,"Sep 11, 2018",28369956
813,"Sep 10, 2018",28347198
814,"Sep 09, 2018",28335693
815,"Sep 08, 2018",28300934
816,"Sep 07, 2018",28269613
817,"Sep 06, 2018",28254834
818,"Sep 05, 2018",28227517
819,"Sep 04, 2018",28204944
820,"Sep 03, 2018",28173304
821,"Sep 02, 2018",28138959
822,"Sep 01, 2018",28125272
823,"Aug 31, 2018",28093491
824,"Aug 30, 2018",28069963
825,"Aug 29, 2018",28042893
826,"Aug 28, 2018",28009857
827,"Aug 27, 2018",27992612
828,"Aug 26, 2018",27969117
