,Month,Number of confirmed cases
189,June 26,31345
190,June 25,31293
191,June 24,31249
192,June 23,31217
193,June 22,31217
194,June 21,31217
195,June 20,31217
196,June 19,31134
197,June 18,31100
198,June 17,31063
199,June 16,31048
200,June 15,31034
201,June 14,31011
202,June 13,30980
203,June 12,30961
204,June 11,30928
205,June 10,30905
206,June 9,30889
207,June 8,30882
208,June 7,30873
209,June 6,30853
210,June 5,30830
211,June 4,30810
212,Juen 3,30791
213,June 2,30788
214,June 1,30779
215,May 31,30762
216,May 30,30745
217,May 29,30713
218,May 28,30693
219,May 27,30678
220,May 26,30663
221,May 25,30653
222,May 24,30642
223,May 23,30624
224,May 22,30611
225,May 21,30575
226,May 20,30535
227,May 19,30514
228,May 18,30504
229,May 17,30489
230,May 16,30431
231,May 15,30380
232,May 14,30330
233,May 13,30297
234,May 12,30261
235,May 11,30222
236,May 10,30168
237,May 9,30168
238,May 8,30043
239,May 7,29977
240,May 6,29926
241,May 5,29898
242,May 4,29822
243,May 3,29734
244,May 2,29622
245,May 1,29503
246,Apr 30,29324
247,Apr 29,29181
248,Apr 28,29081
249,Apr 27,28978
250,Apr 26,28978
251,Apr 25,28595
252,Apr 24,28414
253,Apr 23,28186
254,Apr 22,27981
255,Apr 21,27862
256,Apr 20,27658
257,Apr 19,27322
258,Apr 18,26997
259,Apr 17,26651
260,Apr 16,26336
261,Apr 15,25753
262,Apr 14,25449
263,Apr 13,25220
264,Apr 12,24820
265,Apr 11,24228
266,Apr 10,23495
267,Apr 9,22710
268,Apr 8,22164
269,Apr 7,21574
270,Apr 6,21065
271,Apr 5,20489
272,Apr 4,19706
273,Apr 3,18844
274,Apr 2,17070
275,Apr 1,16108
276,Mar 31,15412
277,Mar 30,14274
278,Mar 29,13152
279,Mar 28,12104
280,Mar 27,10714
281,Mar 26,9714
282,Mar 25,8789
283,Mar 24,8015
284,Mar 23,6971
285,Mar 22,6077
286,Mar 21,4840
287,Mar 20,3863
288,Mar 19,3010
289,Mar 18,3000
290,Mar 17,2600
291,Mar 16,2200
292,Mar 15,1359
293,Mar 14,1125
294,Mar 13,858
295,Mar 12,815
296,Mar 11,491
297,Mar 10,332
298,Mar 9,332
299,Mar 8,264
300,Mar 7,227
301,Mar 6,86
302,Mar 5,56
303,Mar 4,37
304,Mar 3,30
305,Mar 2,24
306,Mar 1,18
307,Feb 29,10
308,Feb 28,6
309,Feb 27,4
310,Feb 26,1
