,Month,Number of downloads
88,"Aug 4, 2020",2393
89,"Aug 3, 2020",2642
90,"Aug 2, 2020",2589
91,"Aug 1, 2020",2540
92,"Jul 31, 2020",2513
93,"Jul 30, 2020",2609
94,"Jul 29, 2020",2769
95,"Jul 28, 2020",2356
96,"Jul 27, 2020",2993
97,"Jul 26, 2020",2926
98,"Jul 25, 2020",2838
99,"Jul 24, 2020",2480
100,"Jul 23, 2020",2362
101,"Jul 22, 2020",2392
102,"Jul 21, 2020",2290
103,"Jul 20, 2020",2607
104,"Jul 19, 2020",2703
105,"Jul 18, 2020",2709
106,"Jul 17, 2020",2738
107,"Jul 16, 2020",2600
108,"Jul 15, 2020",2628
109,"Jul 14, 2020",2513
110,"Jul 13, 2020",2463
111,"Jul 12, 2020",2480
112,"Jul 11, 2020",2516
113,"Jul 10, 2020",2303
114,"Jul 9, 2020",2426
115,"Jul 8, 2020",2503
116,"Jul 7, 2020",2509
117,"Jul 6, 2020",2824
118,"Jul 5, 2020",2885
119,"Jul 4, 2020",2504
120,"Jul 3, 2020",2196
121,"Jul 2, 2020",2049
122,"Jul 1, 2020",1915
123,"Jun 30, 2020",1985
124,"Jun 29, 2020",1866
125,"Jun 28, 2020",1795
126,"Jun 27, 2020",1764
127,"Jun 26, 2020",1561
128,"Jun 25, 2020",1671
129,"Jun 24, 2020",1717
130,"Jun 23, 2020",2140
131,"Jun 22, 2020",2357
132,"Jun 21, 2020",2313
133,"Jun 20, 2020",2450
134,"Jun 19, 2020",2195
135,"Jun 18, 2020",2555
136,"Jun 17, 2020",2609
137,"Jun 16, 2020",2798
138,"Jun 15, 2020",2703
139,"Jun 14, 2020",2561
140,"Jun 13, 2020",2441
141,"Jun 12, 2020",2409
142,"Jun 11, 2020",2173
143,"Jun 10, 2020",2212
144,"Jun 9, 2020",2395
145,"Jun 8, 2020",2409
146,"Jun 7, 2020",2948
147,"Jun 6, 2020",2902
148,"Jun 5, 2020",2662
149,"Jun 4, 2020",2817
150,"Jun 3, 2020",2667
151,"Jun 2, 2020",2745
152,"Jun 1, 2020",2883
153,"May 31, 2020",2845
154,"May 30, 2020",2658
155,"May 29, 2020",2318
156,"May 28, 2020",2366
157,"May 27, 2020",2720
158,"May 26, 2020",2906
159,"May 25, 2020",3421
160,"May 24, 2020",3461
161,"May 23, 2020",3046
162,"May 22, 2020",3024
163,"May 21, 2020",3017
164,"May 20, 2020",3206
165,"May 19, 2020",3365
166,"May 18, 2020",3438
167,"May 17, 2020",3438
168,"May 16, 2020",2752
169,"May 15, 2020",2688
170,"May 14, 2020",2667
171,"May 13, 2020",2832
172,"May 12, 2020",3137
173,"May 11, 2020",3297
174,"May 10, 2020",3400
175,"May 9, 2020",3262
176,"May 8, 2020",3266
177,"May 7, 2020",4112
178,"May 6, 2020",4933
179,"May 5, 2020",5220
180,"May 4, 2020",5255
181,"May 3, 2020",4770
182,"May 2, 2020",4285
183,"May 1, 2020",3883
184,"Apr 30, 2020",3881
185,"Apr 29, 2020",4065
186,"Apr 28, 2020",3630
187,"Apr 27, 2020",3373
188,"Apr 26, 2020",3375
189,"Apr 25, 2020",2963
190,"Apr 24, 2020",2738
191,"Apr 23, 2020",2866
192,"Apr 22, 2020",2990
193,"Apr 21, 2020",3181
194,"Apr 20, 2020",3373
195,"Apr 19, 2020",3386
196,"Apr 18, 2020",2879
197,"Apr 17, 2020",2817
198,"Apr 16, 2020",3029
199,"Apr 15, 2020",3378
200,"Apr 14, 2020",4181
201,"Apr 13, 2020",3647
202,"Apr 12, 2020",3201
203,"Apr 11, 2020",2781
204,"Apr 10, 2020",2335
205,"Apr 9, 2020",2438
206,"Apr 8, 2020",2492
207,"Apr 7, 2020",2879
208,"Apr 6, 2020",3314
209,"Apr 5, 2020",3573
210,"Apr 4, 2020",3659
211,"Apr 3, 2020",3691
212,"Apr 2, 2020",4229
213,"Apr 1, 2020",4622
214,"Mar 31, 2020",5194
215,"Mar 30, 2020",5603
216,"Mar 29, 2020",5932
217,"Mar 28, 2020",5066
218,"Mar 27, 2020",5324
219,"Mar 26, 2020",6157
220,"Mar 25, 2020",8216
221,"Mar 24, 2020",10203
222,"Mar 23, 2020",10090
223,"Mar 22, 2020",10040
224,"Mar 21, 2020",7874
225,"Mar 20, 2020",6045
226,"Mar 19, 2020",5508
227,"Mar 18, 2020",5323
228,"Mar 17, 2020",5690
229,"Mar 16, 2020",5188
230,"Mar 15, 2020",4152
231,"Mar 14, 2020",2984
232,"Mar 13, 2020",2378
233,"Mar 12, 2020",2831
234,"Mar 11, 2020",3263
235,"Mar 10, 2020",3407
236,"Mar 9, 2020",3640
237,"Mar 8, 2020",3595
238,"Mar 7, 2020",3328
239,"Mar 6, 2020",3171
240,"Mar 5, 2020",3602
241,"Mar 4, 2020",4086
242,"Mar 3, 2020",4604
243,"Mar 2, 2020",5164
244,"Mar 1, 2020",4824
245,"Feb 29, 2020",4973
246,"Feb 28, 2020",5029
247,"Feb 27, 2020",5155
248,"Feb 26, 2020",5475
249,"Feb 25, 2020",5433
250,"Feb 24, 2020",5122
251,"Feb 23, 2020",4192
252,"Feb 22, 2020",3289
253,"Feb 21, 2020",3071
254,"Feb 20, 2020",2938
255,"Feb 19, 2020",3145
256,"Feb 18, 2020",3692
257,"Feb 17, 2020",3779
258,"Feb 16, 2020",3593
259,"Feb 15, 2020",3353
260,"Feb 14, 2020",3181
261,"Feb 13, 2020",3453
262,"Feb 12, 2020",3753
263,"Feb 11, 2020",4064
264,"Feb 10, 2020",4621
265,"Feb 9, 2020",4135
266,"Feb 8, 2020",3794
267,"Feb 7, 2020",3534
268,"Feb 6, 2020",3685
269,"Feb 5, 2020",3651
270,"Feb 4, 2020",3477
271,"Feb 3, 2020",3760
272,"Feb 2, 2020",3775
273,"Feb 1, 2020",3312
274,"Jan 31, 2020",3067
275,"Jan 30, 2020",3205
276,"Jan 29, 2020",4014
277,"Jan 28, 2020",5397
278,"Jan 27, 2020",6156
279,"Jan 26, 2020",6056
280,"Jan 25, 2020",4745
281,"Jan 24, 2020",3728
282,"Jan 23, 2020",4659
283,"Jan 22, 2020",5258
284,"Jan 21, 2020",5519
285,"Jan 20, 2020",5833
286,"Jan 19, 2020",4983
287,"Jan 18, 2020",3818
288,"Jan 17, 2020",3461
289,"Jan 16, 2020",3517
290,"Jan 15, 2020",4000
291,"Jan 14, 2020",4596
292,"Jan 13, 2020",5324
293,"Jan 12, 2020",4725
294,"Jan 11, 2020",4392
295,"Jan 10, 2020",4276
296,"Jan 9, 2020",4676
297,"Jan 8, 2020",4975
298,"Jan 7, 2020",6174
299,"Jan 6, 2020",6882
300,"Jan 5, 2020",6865
301,"Jan 4, 2020",7047
302,"Jan 3, 2020",7246
303,"Jan 2, 2020",7523
304,"Jan 1, 2020",7370
305,"Dec 31, 2019",7233
306,"Dec 30, 2019",10576
307,"Dec 29, 2019",10952
308,"Dec 28, 2019",11607
309,"Dec 27, 2019",12674
310,"Dec 26, 2019",11283
311,"Dec 25, 2019",9767
312,"Dec 24, 2019",8912
313,"Dec 23, 2019",9537
314,"Dec 22, 2019",8700
315,"Dec 21, 2019",7352
316,"Dec 20, 2019",6308
317,"Dec 19, 2019",5661
318,"Dec 18, 2019",5535
319,"Dec 17, 2019",6011
320,"Dec 16, 2019",6097
321,"Dec 15, 2019",5831
322,"Dec 14, 2019",5419
323,"Dec 13, 2019",4887
324,"Dec 12, 2019",5069
325,"Dec 11, 2019",5844
326,"Dec 10, 2019",6872
327,"Dec 9, 2019",7134
328,"Dec 8, 2019",6671
329,"Dec 7, 2019",6192
330,"Dec 6, 2019",4819
331,"Dec 5, 2019",4638
332,"Dec 4, 2019",5461
333,"Dec 3, 2019",5946
334,"Dec 2, 2019",6092
335,"Dec 1, 2019",6037
336,"Nov 30, 2019",4687
337,"Nov 29, 2019",4751
338,"Nov 28, 2019",5521
339,"Nov 27, 2019",6427
340,"Nov 26, 2019",8349
341,"Nov 25, 2019",8320
342,"Nov 24, 2019",7756
343,"Nov 23, 2019",7414
344,"Nov 22, 2019",8262
345,"Nov 21, 2019",10049
346,"Nov 20, 2019",12835
347,"Nov 19, 2019",13103
348,"Nov 18, 2019",13286
349,"Nov 17, 2019",12773
350,"Nov 16, 2019",10794
351,"Nov 15, 2019",11507
352,"Nov 14, 2019",11838
353,"Nov 13, 2019",14043
354,"Nov 12, 2019",9155
355,"Nov 11, 2019",7327
356,"Nov 10, 2019",6758
357,"Nov 9, 2019",4763
358,"Nov 8, 2019",4387
359,"Nov 7, 2019",4529
360,"Nov 6, 2019",4670
361,"Nov 5, 2019",4751
362,"Nov 4, 2019",4874
363,"Nov 3, 2019",4670
364,"Nov 2, 2019",3896
365,"Nov 1, 2019",2869
366,"Oct 31, 2019",2857
367,"Oct 30, 2019",3369
368,"Oct 29, 2019",3606
369,"Oct 28, 2019",4078
370,"Oct 27, 2019",4455
371,"Oct 26, 2019",4477
372,"Oct 25, 2019",4789
373,"Oct 24, 2019",5065
374,"Oct 23, 2019",5237
375,"Oct 22, 2019",6299
376,"Oct 21, 2019",6576
377,"Oct 20, 2019",6587
378,"Oct 19, 2019",5627
379,"Oct 18, 2019",4996
380,"Oct 17, 2019",5475
381,"Oct 16, 2019",6258
382,"Oct 15, 2019",6826
383,"Oct 14, 2019",7322
384,"Oct 13, 2019",6984
385,"Oct 12, 2019",6506
386,"Oct 11, 2019",6595
387,"Oct 10, 2019",7236
388,"Oct 9, 2019",8396
389,"Oct 8, 2019",8522
390,"Oct 7, 2019",9850
391,"Oct 6, 2019",10617
392,"Oct 5, 2019",9203
393,"Oct 4, 2019",8818
394,"Oct 3, 2019",9304
395,"Oct 2, 2019",10515
396,"Oct 1, 2019",10572
397,"Sep 30, 2019",12406
398,"Sep 29, 2019",12819
399,"Sep 28, 2019",13353
400,"Sep 27, 2019",13341
401,"Sep 26, 2019",13582
402,"Sep 25, 2019",16264
403,"Sep 24, 2019",21453
404,"Sep 23, 2019",22519
405,"Sep 22, 2019",22539
406,"Sep 21, 2019",22555
407,"Sep 20, 2019",22534
408,"Sep 19, 2019",22500
409,"Sep 18, 2019",22510
410,"Sep 17, 2019",22510
411,"Sep 16, 2019",22519
412,"Sep 15, 2019",22539
413,"Sep 14, 2019",22555
414,"Sep 13, 2019",22534
415,"Sep 12, 2019",10239
416,"Sep 11, 2019",10239
417,"Sep 10, 2019",10235
