,Year,Number of new cases
182,7/7/20,211417
183,7/6/20,164498
184,7/5/20,183242
185,7/4/20,194008
186,7/3/20,201623
187,7/2/20,208923
188,7/1/20,217467
189,6/30/20,173973
190,6/29/20,154477
191,6/28/20,163462
192,6/27/20,177637
193,6/26/20,191300
194,6/25/20,178581
195,6/24/20,171061
196,6/23/20,165882
197,6/22/20,138342
198,6/21/20,128039
199,6/20/20,156638
200,6/19/20,179789
201,6/18/20,140334
202,6/17/20,143162
203,6/16/20,141921
204,6/15/20,119444
205,6/14/20,132476
206,6/13/20,135167
207,6/12/20,128648
208,6/11/20,137876
209,6/10/20,134895
210,6/9/20,124778
211,6/8/20,102590
212,6/7/20,111972
213,6/6/20,134124
214,6/5/20,131356
215,6/4/20,130728
216,6/3/20,114295
217,6/2/20,121418
218,6/1/20,95685
219,5/31/20,106622
220,5/30/20,136956
221,5/29/20,121091
222,5/28/20,118905
223,5/27/20,102792
224,5/26/20,93630
225,5/25/20,86839
226,5/24/20,94168
227,5/23/20,105081
228,5/22/20,106536
229,5/21/20,106600
230,5/20/20,101731
231,5/19/20,96781
232,5/18/20,89041
233,5/17/20,77842
234,5/16/20,94725
235,5/15/20,95750
236,5/14/20,96388
237,5/13/20,84888
238,5/12/20,84118
239,5/11/20,76931
240,5/10/20,75292
241,5/9/20,84790
242,5/8/20,90335
243,5/7/20,88778
244,5/6/20,89880
245,5/5/20,80348
246,5/4/20,77604
247,5/3/20,76545
248,5/2/20,79291
249,5/1/20,88266
250,4/30/20,83529
251,4/29/20,77036
252,4/28/20,75306
253,4/27/20,70039
254,4/26/20,71705
255,4/25/20,82267
256,4/24/20,84088
257,4/23/20,84354
258,4/22/20,81021
259,4/21/20,75613
260,4/20/20,75949
261,4/19/20,76693
262,4/18/20,77353
263,4/17/20,87712
264,4/16/20,95578
265,4/15/20,77098
266,4/14/20,83935
267,4/13/20,70756
268,4/12/20,119732
269,4/11/20,74341
270,4/10/20,85514
271,4/9/20,87021
272,4/8/20,83378
273,4/7/20,69827
274,4/6/20,73139
275,4/5/20,72588
276,4/4/20,58415
277,4/3/20,83424
278,4/2/20,83061
279,4/1/20,82862
280,3/31/20,76849
281,3/30/20,65278
282,3/29/20,59252
283,3/28/20,67246
284,3/27/20,65061
285,3/26/20,62830
286,3/25/20,51018
287,3/24/20,41160
288,3/23/20,42851
289,3/22/20,34831
290,3/21/20,32002
291,3/20/20,30777
292,3/19/20,27049
293,3/18/20,19559
294,3/17/20,15944
295,3/16/20,14810
296,3/15/20,11270
297,3/14/20,11073
298,3/13/20,14387
299,3/12/20,5790
300,3/11/20,7661
301,3/10/20,4822
302,3/9/20,4172
303,3/8/20,3949
304,3/7/20,4095
305,3/6/20,3913
306,3/5/20,2811
307,3/4/20,2308
308,3/3/20,2594
309,3/2/20,1983
310,3/1/20,2381
311,2/29/20,1890
312,2/28/20,1387
313,2/27/20,1360
314,2/26/20,977
315,2/25/20,853
316,2/24/20,564
317,2/23/20,380
318,2/22/20,1761
319,2/21/20,629
320,2/20/20,560
321,2/19/20,500
322,2/18/20,1882
323,2/17/20,2035
324,2/16/20,2184
325,2/15/20,2142
326,2/14/20,6527
327,2/13/20,15153
328,2/12/20,418
329,2/11/20,2042
330,2/10/20,2609
331,2/9/20,3030
332,2/8/20,2734
333,2/7/20,3593
334,2/6/20,3160
335,2/5/20,3745
336,2/4/20,4011
337,2/3/20,3100
338,2/2/20,4749
339,2/1/20,2111
340,1/31/20,1692
341,1/30/20,2068
342,1/29/20,589
343,1/28/20,2651
344,1/27/20,809
345,1/26/20,684
346,1/25/20,493
347,1/24/20,287
348,1/23/20,99
