,Date,Year-over-year change in seated restaurant diners
132,7/5,-60.92%
133,7/6,-68.99%
134,7/7,-70.88%
135,7/8,-67.34%
136,7/9,-64.96%
137,7/10,-51.07%
138,7/11,-44.65%
139,7/12,-40.37%
140,7/13,-64.46%
141,7/14,-65.86%
142,7/15,-57.37%
143,7/16,-53.68%
144,7/17,-36.58%
145,7/18,-29.89%
146,7/19,-31.96%
147,7/20,-47.11%
148,7/21,-49.86%
149,7/22,-42.58%
150,7/23,-40.53%
151,7/24,-28.75%
152,7/25,-26.77%
153,7/26,-24.19%
154,7/27,-43.56%
155,7/28,-41.99%
156,7/29,-35.94%
157,7/30,-29.15%
158,7/31,-19.21%
159,8/1,-13.87%
160,8/2,-13.46%
161,8/3,9.99%
162,8/4,5.04%
163,8/5,20.49%
164,8/6,-30.65%
165,8/7,-20.05%
166,8/8,-14.76%
167,8/9,-19.85%
168,8/10,47.79%
169,8/11,34.31%
170,8/12,43.69%
171,8/13,-30.35%
172,8/14,-20.38%
173,8/15,-10.08%
174,8/16,-13.95%
175,8/17,70.24%
176,8/18,57.63%
177,8/19,58.12%
178,8/20,-11.87%
179,8/21,-8.61%
180,8/22,11.72%
181,8/23,-5.84%
182,8/24,69.96%
183,8/25,105.92%
184,8/26,102.88%
185,8/27,-9.39%
186,8/28,-3.19%
187,8/29,9.44%
188,8/30,32.07%
189,8/31,216.34%
190,9/1,2.05%
191,9/2,2.11%
192,9/3,-14.16%
193,9/4,-2.65%
194,9/5,10.04%
195,9/6,7.52%
196,9/7,-62.84%
197,9/8,-4.57%
198,9/9,4.19%
199,9/10,-7.98%
200,9/11,-0.34%
201,9/12,10.01%
202,9/13,8.86%
203,9/14,10.47%
204,9/15,0.41%
205,9/16,3.25%
206,9/17,-8.14%
207,9/18,-1.2%
208,9/19,10.82%
209,9/20,11.94%
210,9/21,6.01%
211,9/22,0.46%
212,9/23,-4.74%
213,9/24,-18.3%
214,9/25,-9.34%
215,9/26,1.15%
216,9/27,1.65%
217,9/28,-2.09%
218,9/29,-7.84%
219,9/30,-9.34%
220,10/1,-16.72%
221,10/2,-15.3%
222,10/3,-4.03%
223,10/4,-4.76%
224,10/5,-18.31%
225,10/6,-21.6%
226,10/7,-12.09%
227,10/8,-14.8%
228,10/9,-4.04%
229,10/10,5.5%
230,10/11,4.72%
231,10/12,-20.04%
232,10/13,-24.4%
233,10/14,-18.12%
234,10/15,-15.21%
235,10/16,-5.73%
236,10/17,-10.85%
237,10/18,-8.87%
238,10/19,-25.72%
239,10/20,-26.97%
240,10/21,-26.54%
241,10/22,-20.59%
242,10/23,-14.96%
243,10/24,-8.03%
244,10/25,-1.96%
245,10/26,-5.87%
246,10/27,-10.82%
247,10/28,-1.65%
248,10/29,-3.32%
249,10/30,0.02%
250,10/31,-4.88%
251,11/1,11.23%
252,11/2,21.81%
253,11/3,47.08%
254,11/4,70.51%
255,11/5,-90.29%
256,11/6,-88.87%
257,11/7,-84.48%
258,11/8,-88.07%
259,11/9,-90.03%
260,11/10,-91.26%
261,11/11,-89.33%
262,11/12,-90.15%
263,11/13,-88.28%
264,11/14,-84.51%
265,11/15,-86.54%
266,11/16,-89.87%
267,11/17,-92.65%
268,11/18,-91.65%
269,11/19,-91.2%
270,11/20,-89.27%
271,11/21,-88.43%
272,11/22,-91.82%
273,11/23,-93.95%
274,11/24,-94.95%
275,11/25,-94.44%
276,11/26,-98.25%
277,11/27,-92.36%
278,11/28,-90.38%
279,11/29,-92.33%
280,11/30,-94.36%
281,12/1,-96.05%
282,12/2,-59.83%
283,12/3,-52.33%
284,12/4,-38.1%
285,12/5,-22.08%
286,12/6,-26.93%
287,12/7,-52.06%
288,12/8,-53.69%
289,12/9,-50.77%
290,12/10,-47.32%
291,12/11,-36.21%
292,12/12,-15.52%
293,12/13,-24.04%
294,12/14,-42.73%
295,12/15,-27.05%
296,12/16,-58.81%
297,12/17,-51.6%
298,12/18,-37.4%
299,12/19,-35.51%
300,12/20,-44.35%
