,Year,Number of cumulative cases
277,4/3/20,1125086
278,4/2/20,1041662
279,4/1/20,958601
280,3/31/20,875739
281,3/30/20,798890
282,3/29/20,733612
283,3/28/20,674360
284,3/27/20,607114
285,3/26/20,542053
286,3/25/20,479223
287,3/24/20,428205
288,3/23/20,387045
289,3/22/20,344194
290,3/21/20,309363
291,3/20/20,277361
292,3/19/20,246584
293,3/18/20,219535
294,3/17/20,199976
295,3/16/20,184032
296,3/15/20,169222
297,3/14/20,157952
298,3/13/20,146879
299,3/12/20,132492
300,3/11/20,126702
301,3/10/20,119041
302,3/9/20,114219
303,3/8/20,110047
304,3/7/20,106098
305,3/6/20,102003
306,3/5/20,98090
307,3/4/20,95279
308,3/3/20,92971
309,3/2/20,90377
310,3/1/20,88394
311,2/29/20,86013
312,2/28/20,84123
313,2/27/20,82736
314,2/26/20,81376
315,2/25/20,80399
316,2/24/20,79546
317,2/23/20,78982
318,2/22/20,78602
319,2/21/20,76841
320,2/20/20,76212
321,2/19/20,75652
322,2/18/20,75152
323,2/17/20,73270
324,2/16/20,71235
325,2/15/20,69051
326,2/14/20,66909
327,2/13/20,60382
328,2/12/20,45229
329,2/11/20,44811
330,2/10/20,42769
331,2/9/20,40160
332,2/8/20,37130
333,2/7/20,34396
334,2/6/20,30803
335,2/5/20,27643
336,2/4/20,23898
337,2/3/20,19887
338,2/2/20,16787
339,2/1/20,12038
340,1/31/20,9927
341,1/30/20,8235
342,1/29/20,6167
343,1/28/20,5578
344,1/27/20,2927
345,1/26/20,2118
346,1/25/20,1434
347,1/24/20,941
348,1/23/20,654
349,1/22/20,555
