,Month,Number of tests
197,Sep 18,20040
198,Sep 19,18988
199,Sep 20,12224
200,Sep 21,22599
201,Sep 22,22058
202,Sep 23,23725
203,Sep 24,24232
204,Sep 25,23290
205,Sep 26,18821
206,Sep 27,13467
207,Sep 28,23119
208,Sep 29,28021
209,Sep 30,29615
210,Oct 01,28724
211,Oct 02,30515
212,Oct 03,25976
213,Oct 04,18324
214,Oct 05,24036
215,Oct 06,44056
216,Oct 07,44113
217,Oct 08,30812
218,Oct 09,28228
219,Oct 10,31180
220,Oct 11,25078
221,Oct 12,33851
222,Oct 13,43852
223,Oct 14,64518
224,Oct 15,50825
225,Oct 16,48989
226,Oct 17,37289
227,Oct 18,36039
228,Oct 19,41578
229,Oct 20,59341
230,Oct 21,50200
231,Oct 22,62121
232,Oct 23,55352
233,Oct 24,53539
234,Oct 25,50407
235,Oct 26,66062
236,Oct 27,60607
237,Oct 28,67892
238,Oct 29,78041
239,Oct 30,59795
240,Oct 31,49971
241,Nov 01,65012
242,Nov 02,65792
243,Nov 03,69080
244,Nov 04,67120
245,Nov 05,82955
246,Nov 06,66814
247,Nov 07,61055
248,Nov 08,43456
249,Nov 09,54701
250,Nov 10,53274
251,Nov 11,57249
252,Nov 12,57552
253,Nov 13,56084
254,Nov 14,46607
255,Nov 15,35105
256,Nov 16,41983
257,Nov 17,57012
258,Nov 18,58011
259,Nov 19,55048
260,Nov 20,43945
261,Nov 21,42860
262,Nov 22,27498
263,Nov 23,33717
264,Nov 24,48434
265,Nov 25,45018
266,Nov 26,46333
267,Nov 27,42113
268,Nov 28,24631
269,Nov 29,25152
270,Nov 30,38404
271,Dec 01,42140
272,Dec 02,38409
273,Dec 03,40771
274,Dec 04,35782
275,Dec 05,23870
276,Dec 06,20205
277,Dec 07,30141
278,Dec 08,41181
279,Dec 09,38470
280,Dec 10,34015
281,Dec 11,33412
282,Dec 12,22061
283,Dec 13,19913
284,Dec 14,30613
285,Dec 15,42123
286,Dec 16,37017
287,Dec 17,33962
288,Dec 18,30319
289,Dec 19,22160
290,Dec 20,19557
291,Dec 21,29881
292,Dec 22,35066
293,Dec 23,35673
294,Dec 24,21002
295,Dec 25,14577
296,Dec 26,14261
297,Dec 27,16582
298,Dec 28,33648
299,Dec 29,38058
300,Dec 30,53712
301,Dec 31,46724
302,Jan 01 '21,27604
303,Jan 02 '21,29618
304,Jan 03 '21,25436
305,Jan 04 '21,48466
306,Jan 05 '21,61758
307,Jan 06 '21,46757
