,Month,Number of healed people
107,"Sep 23, 2020",4644
108,"Sep 22, 2020",4559
109,"Sep 21, 2020",4401
110,"Sep 20, 2020",4391
111,"Sep 19, 2020",4382
112,"Sep 18, 2020",4240
113,"Sep 17, 2020",4227
114,"Sep 16, 2020",4153
115,"Sep 15, 2020",4130
116,"Sep 14, 2020",4117
117,"Sep 13, 2020",4069
118,"Sep 12, 2020",4058
119,"Sep 11, 2020",4014
120,"Sep 10, 2020",3990
121,"Sep 9, 2020",3984
122,"Sep 8, 2020",3972
123,"Sep 7, 2020",3961
124,"Sep 6, 2020",3958
125,"Sep 5, 2020",3952
126,"Sep 4, 2020",3944
127,"Sep 3, 2020",3930
128,"Sep 2, 2020",3903
129,"Sep 1, 2020",3821
130,"Aug 31, 2020",3761
131,"Aug 30, 2020",3759
132,"Aug 29, 2020",3759
133,"Aug 28, 2020",3759
134,"Aug 27, 2020",3757
135,"Aug 26, 2020",3734
136,"Aug 25, 2020",3716
137,"Aug 24, 2020",3695
138,"Aug 23, 2020",3695
139,"Aug 22, 2020",3692
140,"Aug 21, 2020",3681
141,"Aug 20, 2020",3678
142,"Aug 19, 2020",3665
143,"Aug 18, 2020",3631
144,"Aug 17, 2020",3630
145,"Aug 16, 2020",3623
146,"Aug 15, 2020",3606
147,"Aug 14, 2020",3590
148,"Aug 13, 2020",3561
149,"Aug 12, 2020",3529
150,"Aug 11, 2020",3527
151,"Aug 10, 2020",3525
152,"Aug 9, 2020",3499
153,"Aug 8, 2020",3491
154,"Aug 7, 2020",3464
155,"Aug 6, 2020",3463
156,"Aug 5, 2020",3431
157,"Aug 4, 2020",3415
158,"Aug 3, 2020",3413
159,"Aug 2, 2020",3389
160,"Aug 1, 2020",3364
161,"Jul 31, 2020",3353
162,"Jul 30, 2020",3346
163,"Jul 29, 2020",3339
164,"Jul 28, 2020",3331
165,"Jul 27, 2020",3329
166,"Jul 26, 2020",3329
167,"Jul 25, 2020",3324
168,"Jul 24, 2020",3312
169,"Jul 23, 2020",3300
170,"Jul 22, 2020",3283
171,"Jul 21, 2020",3257
172,"Jul 20, 2020",3232
173,"Jul 19, 2020",3223
174,"Jul 18, 2020",3222
175,"Jul 17, 2020",3220
176,"Jul 16, 2020",3156
177,"Jul 15, 2020",3126
178,"Jul 14, 2020",3106
179,"Jul 13, 2020",3073
180,"Jul 12, 2020",3036
181,"Jul 11, 2020",2974
182,"Jul 10, 2020",2941
183,"Jul 9, 2020",2887
184,"Jul 8, 2020",2885
185,"Jul 7, 2020",2874
186,"Jul 6, 2020",2860
187,"Jul 5, 2020",2811
188,"Jul 4, 2020",2784
189,"Jul 3, 2020",2752
190,"Jul 2, 2020",2721
191,"Jul 1, 2020",2714
192,"Jun 30, 2020",2692
193,"Jun 29, 2020",2685
194,"Jun 28, 2020",2685
195,"Jun 27, 2020",2681
196,"Jun 26, 2020",2663
197,"Jun 25, 2020",2640
198,"Jun 24, 2020",2618
199,"Jun 23, 2020",2600
200,"Jun 22, 2020",2590
201,"Jun 21, 2020",2589
202,"Jun 20, 2020",2585
203,"Jun 19, 2020",2581
204,"Jun 18, 2020",2564
205,"Jun 17, 2020",2547
206,"Jun 16, 2020",2516
207,"Jun 15, 2020",2485
208,"Jun 14, 2020",2482
209,"Jun 13, 2020",2476
210,"Jun 12, 2020",2447
211,"Jun 11, 2020",2391
212,"Jun 10, 2020",2355
213,"Jun 9, 2020",2324
214,"Jun 8, 2020",2284
215,"Jun 7, 2020",2279
216,"Jun 6, 2020",2279
217,"Jun 5, 2020",2245
218,"Jun 4, 2020",2205
219,"Jun 3, 2020",2190
220,"Jun 2, 2020",2160
221,"Jun 1, 2020",2156
222,"May 31, 2020",2147
223,"May 30, 2020",2142
224,"May 29, 2020",2024
225,"May 28, 2020",1996
226,"May 27, 2020",1856
227,"May 26, 2020",1836
228,"May 25, 2020",1711
229,"May 24, 2020",1690
230,"May 23, 2020",1655
231,"May 22, 2020",1587
232,"May 21, 2020",1509
233,"May 20, 2020",1454
234,"May 19, 2020",1412
235,"May 18, 2020",1400
236,"May 17, 2020",1396
237,"May 16, 2020",1371
238,"May 15, 2020",1287
239,"May 14, 2020",1169
240,"May 13, 2020",1102
241,"May 12, 2020",1007
242,"May 11, 2020",958
243,"May 10, 2020",933
244,"May 9, 2020",904
245,"May 8, 2020",865
246,"May 7, 2020",801
247,"May 6, 2020",759
248,"May 5, 2020",709
249,"May 4, 2020",630
250,"May 3, 2020",629
251,"May 2, 2020",625
252,"May 1, 2020",609
253,"Apr 30, 2020",581
254,"Apr 29, 2020",536
255,"Apr 28, 2020",516
256,"Apr 27, 2020",498
257,"Apr 26, 2020",485
258,"Apr 25, 2020",458
259,"Apr 24, 2020",401
260,"Apr 23, 2020",390
261,"Apr 22, 2020",295
262,"Apr 21, 2020",287
263,"Apr 20, 2020",267
264,"Apr 19, 2020",250
265,"Apr 18, 2020",231
266,"Apr 17, 2020",207
267,"Apr 16, 2020",199
268,"Apr 15, 2020",192
269,"Apr 14, 2020",122
270,"Apr 13, 2020",120
271,"Apr 12, 2020",118
272,"Apr 11, 2020",115
273,"Apr 10, 2020",112
274,"Apr 9, 2020",96
275,"Apr 8, 2020",94
276,"Apr 7, 2020",71
277,"Apr 6, 2020",67
278,"Apr 5, 2020",66
279,"Apr 4, 2020",58
280,"Apr 3, 2020",43
281,"Apr 2, 2020",42
282,"Apr 1, 2020",40
283,"Mar 31, 2020",37
284,"Mar 30, 2020",34
285,"Mar 29, 2020",34
286,"Mar 28, 2020",34
287,"Mar 27, 2020",34
288,"Mar 26, 2020",21
289,"Mar 25, 2020",21
290,"Mar 24, 2020",21
291,"Mar 23, 2020",21
292,"Mar 22, 2020",16
293,"Mar 21, 2020",7
294,"Mar 20, 2020",7
