,Month,Number of COVID-19 patients hospitalized
94,"Oct 4, 2020",3287
95,"Oct 3, 2020",3205
96,"Oct 2, 2020",3142
97,"Oct 1, 2020",3097
98,"Sep 30, 2020",3047
99,"Sep 29, 2020",3048
100,"Sep 28, 2020",2977
101,"Sep 27, 2020",2846
102,"Sep 26, 2020",2746
103,"Sep 25, 2020",2737
104,"Sep 24, 2020",2731
105,"Sep 23, 2020",2658
106,"Sep 22, 2020",2604
107,"Sep 21, 2020",2475
108,"Sep 20, 2020",2365
109,"Sep 19, 2020",2380
110,"Sep 18, 2020",2387
111,"Sep 17, 2020",2348
112,"Sep 16, 2020",2285
113,"Sep 15, 2020",2222
114,"Sep 14, 2020",2122
115,"Sep 13, 2020",2042
116,"Sep 12, 2020",1951
117,"Sep 11, 2020",1849
118,"Sep 10, 2020",1836
119,"Sep 9, 2020",1778
120,"Sep 8, 2020",1760
121,"Sep 7, 2020",1719
122,"Sep 6, 2020",1683
123,"Sep 5, 2020",1620
124,"Sep 4, 2020",1607
125,"Sep 3, 2020",1505
126,"Sep 2, 2020",1437
127,"Sep 1, 2020",1380
128,"Aug 31 , 2020",1288
129,"Aug 30 , 2020",1251
130,"Aug 29 , 2020",1168
131,"Aug 28, 2020",1178
132,"Aug 27 , 2020",1131
133,"Aug 26 , 2020",1055
134,"Aug 25 , 2020",1058
135,"Aug 24 , 2020",1045
136,"Aug 23 , 2020",971
137,"Aug 22, 2020",924
138,"Aug 21 , 2020",919
139,"Aug 20 , 2020",883
140,"Aug 19 , 2020",866
141,"Aug 18 , 2020",843
142,"Aug 17, 2020",810
143,"Aug 16, 2020",787
144,"Aug 15, 2020",764
145,"Aug 14, 2020",771
146,"Aug 13, 2020",786
147,"Aug 12, 2020",779
148,"Aug 11, 2020",801
149,"Aug 10, 2020",779
150,"Aug 9, 2020",763
151,"Aug 8, 2020",771
152,"Aug 7, 2020",779
153,"Aug 6, 2020",762
154,"Aug 5, 2020",764
155,"Aug 4, 2020",761
156,"Aug 3, 2020",734
157,"Aug 2 , 2020",708
158,"Aug 1 , 2020",705
159,"Jul 31 , 2020",716
160,"Jul 30 , 2020",748
161,"Jul 29 , 2020",731
162,"Jul 28 , 2020",749
163,"Jul 27 , 2020",740
164,"Jul 26, 2020",735
165,"Jul 25 , 2020",731
166,"Jul 24 , 2020",713
167,"Jul 23 , 2020",713
168,"Jul 22 , 2020",724
169,"Jul 21 , 2020",732
170,"Jul 20, 2020",745
171,"Jul 19 , 2020",743
172,"Jul 18 , 2020",757
173,"Jul 17 , 2020",771
174,"Jul 16 , 2020",750
175,"Jul 15 , 2020",797
176,"Jul 14 , 2020",777
177,"Jul 13 , 2020",768
178,"Jul 12 , 2020",776
179,"Jul 11 , 2020",826
180,"Jul 10 , 2020",844
181,"Jul 9 , 2020",871
182,"Jul 8, 2020",899
183,"Jul 7, 2020",940
184,"Jul 6, 2020",946
185,"Jul 5, 2020",945
186,"Jul 4, 2020",940
187,"Jul 3, 2020",956
188,"Jul 2, 2020",963
189,"Jul 1, 2020",1025
190,"Jun 30, 2020",1090
191,"Jun 29, 2020",1120
192,"Jun 28, 2020",1160
193,"Jun 27, 2020",1260
194,"Jun 26, 2020",1356
195,"Jun 25, 2020",1515
196,"Jun 24, 2020",1610
197,"Jun 23, 2020",1853
198,"Jun 22, 2020",2038
199,"Jun 21, 2020",2314
200,"Jun 20, 2020",2474
201,"Jun 19, 2020",2632
202,"Jun 18, 2020",2867
203,"Jun 17, 2020",3113
204,"Jun 16, 2020",3301
205,"Jun 15, 2020",3489
206,"Jun 14, 2020",3594
207,"Jun 13, 2020",3747
208,"Jun 12, 2020",3893
209,"Jun 11, 2020",4131
210,"Jun 10, 2020",4320
211,"Jun 9, 2020",4581
212,"Jun 8, 2020",4729
213,"Jun 7, 2020",4864
214,"Jun 6, 2020",5002
215,"Jun 5, 2020",5301
216,"Jun 4, 2020",5503
217,"Jun 3, 2020",5742
218,"Jun 2, 2020",5916
219,"Jun 1, 2020",6099
220,"May 31, 2020",6387
221,"May 30, 2020",6680
222,"May 29, 2020",7094
223,"May 28, 2020",7379
224,"May 27, 2020",7729
225,"May 26, 2020",7917
226,"May 25, 2020",8185
227,"May 24, 2020",8613
228,"May 23, 2020",8695
229,"May 22, 2020",8957
230,"May 21, 2020",9269
231,"May 20, 2020",9624
232,"May 19, 2020",9991
233,"May 18, 2020",10207
234,"May 17, 2020",10311
235,"May 16, 2020",10400
236,"May 15 , 2020",10792
237,"May 14 , 2020",11453
238,"May 13 , 2020",12172
239,"May 12 , 2020",12865
240,"May 11 , 2020",13539
241,"May 10 , 2020",13618
242,"May 9 , 2020",13834
243,"May 8 , 2020",14636
244,"May 7 , 2020",15174
245,"May 6 , 2020",15769
246,"May 5 , 2020",16270
247,"May 4 , 2020",16823
248,"May 3 , 2020",17242
249,"May 2 , 2020",17357
250,"May 1 , 2020",17569
251,"Apr 30 , 2020",18149
252,"Apr 29 , 2020",19210
253,"Apr 28 , 2020",19723
254,"Apr 27 , 2020",20353
255,"Apr 26 , 2020",21372
256,"Apr 25 , 2020",21533
257,"Apr 24 , 2020",22068
258,"Apr 23 , 2020",22871
259,"Apr 22 , 2020",23805
260,"Apr 21 , 2020",24134
261,"Apr 20 , 2020",24906
262,"Apr 19 , 2020",25033
263,"Apr 18 , 2020",25007
264,"Apr 17 , 2020",25786
265,"Apr 16 , 2020",26893
266,"Apr 15 , 2020",27643
267,"Apr 14 , 2020",28011
268,"Apr 13 , 2020",28023
269,"Apr 12 , 2020",27847
270,"Apr 11 , 2020",28144
271,"Apr 10 , 2020",28242
272,"Apr 9 , 2020",28399
273,"Apr 8 , 2020",28485
274,"Apr 7 , 2020",28718
275,"Apr 6 , 2020",28976
276,"Apr 5, 2020",28949
277,"Apr 4 , 2020",29010
278,"Apr 3 , 2020",28741
279,"Apr 2 , 2020",28540
280,"Apr 1, 2020",28403
281,"Mar 31 , 2020",28192
282,"Mar 30 , 2020",27795
283,"Mar 29 , 2020",27386
284,"Mar 28 , 2020",26676
285,"Mar 27 , 2020",26029
286,"Mar 26 , 2020",24753
287,"Mar 25 , 2020",23112
288,"Mar 24 , 2020",21937
289,"Mar 23 , 2020",20692
290,"Mar 22 , 2020",19846
291,"Mar 21 , 2020",17708
292,"Mar 20 , 2020",16020
293,"Mar 19 , 2020",15757
294,"Mar 18 , 2020",14363
295,"Mar 17 , 2020",12894
296,"Mar 16 , 2020",11025
297,"Mar 15 , 2020",9663
298,"Mar 14 , 2020",8372
299,"Mar 13 , 2020",7426
300,"Mar 12 , 2020",6650
301,"Mar 11 , 2020",5838
302,"Mar 10, 2020",5038
303,"Mar 9 , 2020",4316
304,"Mar 8 , 2020",3557
305,"Mar 7 , 2020",2651
306,"Mar 6 , 2020",2394
307,"Mar 5 , 2020",1790
308,"Mar 4 , 2020",1346
309,"Mar 3 , 2020",1034
310,"Mar 2 , 2020",742
311,"Mar 1 , 2020",639
312,"Feb 29 , 2020",401
313,"Feb 28 , 2020",345
314,"Feb 27 , 2020",248
315,"Feb 26, 2020",128
316,"Feb 25 , 2020",114
317,"Feb 24 , 2020",101
