,Month,Number of people hospitalized
177,Jul 13,1581
178,Jul 12,1640
179,Jul 11,1610
180,Jul 10,1617
181,Jul 09,1597
182,Jul 08,1687
183,Jul 07,1683
184,Jul 06,1658
185,Jul 05,1790
186,Jul 04,1765
187,Jul 03,1731
188,Jul 02,1743
189,Jul 01,1787
190,Jun 30,1923
191,Jun 29,1811
192,Jun 28,1797
193,Jun 27,1845
194,Jun 26,1869
195,Jun 25,1933
196,Jun 24,1974
197,Jun 23,1965
198,Jun 22,1936
199,Jun 21,1899
200,Jun 20,1877
201,Jun 19,1931
202,Jun 18,1886
203,Jun 17,1849
204,Jun 16,1693
205,Jun 15,1806
206,Jun 14,1736
207,Jun 13,1748
208,Jun 12,1711
209,Jun 11,1629
210,Jun 10,1700
211,Jun 09,1993
212,Jun 08,2039
213,Jun 07,1881
214,Jun 06,2007
215,Jun 05,2128
216,Jun 04,2085
217,Jun 03,2101
218,Jun 02,2150
219,Jun 01,2219
220,May 31,2181
221,May 30,2134
222,May 29,2207
223,May 28,2035
224,May 27,2248
225,May 26,2320
226,May 25,2171
227,May 24,2268
228,May 23,2242
229,May 22,2271
230,May 21,2261
231,May 20,2330
232,May 19,2414
233,May 18,2490
234,May 17,2544
235,May 16,2459
236,May 15,2407
237,May 14,2579
238,May 13,2538
239,May 12,2648
240,May 11,2571
241,May 10,2598
242,May 09,2658
243,May 08,2768
244,May 07,2758
245,May 06,2711
246,May 05,2760
247,May 04,2738
248,May 03,2653
249,May 02,2761
250,May 01,2649
251,Apr 30,2789
252,Apr 29,3012
253,Apr 28,2973
254,Apr 27,2934
255,Apr 26,2759
256,Apr 25,2749
257,Apr 24,2821
258,Apr 23,3095
259,Apr 22,3099
260,Apr 21,3505
261,Apr 20,2914
262,Apr 19,2511
263,Apr 18,2483
264,Apr 17,2725
265,Apr 16,2673
266,Apr 15,2607
267,Apr 14,2499
268,Apr 13,2471
269,Apr 12,2510
270,Apr 11,2481
271,Apr 10,2426
272,Apr 09,2409
273,Apr 08,2473
274,Apr 07,2425
275,Apr 06,2476
276,Apr 05,2444
277,Apr 04,2434
278,Apr 03,2303
279,Apr 02,2158
280,Apr 01,2317
281,Mar 30,1900
282,Mar 29,1879
283,Mar 28,1719
284,Mar 27,1696
285,Mar 26,1606
286,Mar 25,1615
287,Mar 24,1479
288,Mar 23,1138
289,Mar 22,1084
290,Mar 21,1047
291,Mar 20,898
292,Mar 19,871
293,Mar 18,923
294,Mar 17,822
295,Mar 16,734
296,Mar 15,768
297,Mar 14,526
298,Mar 13,521
299,Mar 12,384
300,Mar 11,317
301,Mar 10,220
302,Mar 09,467
303,Mar 08,168
304,Mar 07,146
305,Mar 06,128
306,Mar 05,92
307,Mar 04,65
308,Mar 03,68
