,Year,Effective rate
95,1/1/2012,0.08%
96,12/1/2011,0.07%
97,11/1/2011,0.08%
98,10/1/2011,0.07%
99,9/1/2011,0.08%
100,8/1/2011,0.1%
101,7/1/2011,0.07%
102,6/1/2011,0.09%
103,5/1/2011,0.09%
104,4/1/2011,0.1%
105,3/1/2011,0.14%
106,2/1/2011,0.16%
107,1/1/2011,0.17%
108,12/1/2010,0.18%
109,11/1/2010,0.19%
110,10/1/2010,0.19%
111,9/1/2010,0.19%
112,8/1/2010,0.19%
113,7/1/2010,0.18%
114,6/1/2010,0.18%
115,5/1/2010,0.2%
116,4/1/2010,0.2%
117,3/1/2010,0.16%
118,2/1/2010,0.13%
119,1/1/2010,0.11%
120,12/1/2009,0.12%
121,11/1/2009,0.12%
122,10/1/2009,0.12%
123,9/1/2009,0.15%
124,8/1/2009,0.16%
125,7/1/2009,0.16%
126,6/1/2009,0.21%
127,5/1/2009,0.18%
128,4/1/2009,0.15%
129,3/1/2009,0.18%
130,2/1/2009,0.22%
131,1/1/2009,0.15%
132,12/1/2008,0.16%
133,11/1/2008,0.39%
134,10/1/2008,0.97%
135,9/1/2008,1.81%
136,8/1/2008,2%
137,7/1/2008,2.01%
138,6/1/2008,2%
139,5/1/2008,1.98%
140,4/1/2008,2.28%
141,3/1/2008,2.61%
142,2/1/2008,2.98%
143,1/1/2008,3.94%
144,12/1/2007,4.24%
145,11/1/2007,4.49%
146,10/1/2007,4.76%
147,9/1/2007,4.94%
148,8/1/2007,5.02%
149,7/1/2007,5.26%
150,6/1/2007,5.25%
151,5/1/2007,5.25%
152,4/1/2007,5.25%
153,3/1/2007,5.26%
154,2/1/2007,5.26%
155,1/1/2007,5.25%
156,12/1/2006,5.24%
157,11/1/2006,5.25%
158,10/1/2006,5.25%
159,9/1/2006,5.25%
160,8/1/2006,5.25%
161,7/1/2006,5.24%
162,6/1/2006,4.99%
163,5/1/2006,4.94%
164,4/1/2006,4.79%
165,3/1/2006,4.59%
166,2/1/2006,4.49%
167,1/1/2006,4.29%
168,12/1/2005,4.16%
169,11/1/2005,4%
170,10/1/2005,3.78%
171,9/1/2005,3.62%
172,8/1/2005,3.5%
173,7/1/2005,3.26%
174,6/1/2005,3.04%
175,5/1/2005,3%
176,4/1/2005,2.79%
177,3/1/2005,2.63%
178,2/1/2005,2.5%
179,1/1/2005,2.28%
180,12/1/2004,2.16%
181,11/1/2004,1.93%
182,10/1/2004,1.76%
183,9/1/2004,1.61%
184,8/1/2004,1.43%
185,7/1/2004,1.26%
186,6/1/2004,1.03%
187,5/1/2004,1%
188,4/1/2004,1%
189,3/1/2004,1%
190,2/1/2004,1.01%
191,1/1/2004,1%
192,12/1/2003,0.98%
193,11/1/2003,1%
194,10/1/2003,1.01%
195,9/1/2003,1.01%
196,8/1/2003,1.03%
197,7/1/2003,1.01%
198,6/1/2003,1.22%
199,5/1/2003,1.26%
200,4/1/2003,1.26%
201,3/1/2003,1.25%
202,2/1/2003,1.26%
203,1/1/2003,1.24%
204,12/1/2002,1.24%
205,11/1/2002,1.34%
206,10/1/2002,1.75%
207,9/1/2002,1.75%
208,8/1/2002,1.74%
209,7/1/2002,1.73%
210,6/1/2002,1.75%
211,5/1/2002,1.75%
212,4/1/2002,1.75%
213,3/1/2002,1.73%
214,2/1/2002,1.74%
215,1/1/2002,1.73%
216,12/1/2001,1.82%
217,11/1/2001,2.09%
218,10/1/2001,2.49%
219,9/1/2001,3.07%
220,8/1/2001,3.65%
221,7/1/2001,3.77%
222,6/1/2001,3.97%
223,5/1/2001,4.21%
224,4/1/2001,4.8%
225,3/1/2001,5.31%
226,2/1/2001,5.49%
227,1/1/2001,5.98%
228,12/1/2000,6.4%
229,11/1/2000,6.51%
230,10/1/2000,6.51%
231,9/1/2000,6.52%
232,8/1/2000,6.5%
233,7/1/2000,6.54%
234,6/1/2000,6.53%
235,5/1/2000,6.27%
236,4/1/2000,6.02%
237,3/1/2000,5.85%
238,2/1/2000,5.73%
239,1/1/2000,5.45%
