,Month,Number of confirmed cases
216,Apr 25,124114
217,Apr 24,122577
218,Apr 23,120840
219,Apr 22,119151
220,Apr 21,117324
221,Apr 20,114657
222,Apr 19,112606
223,Apr 18,111821
224,Apr 17,109252
225,Apr 16,108847
226,Apr 15,106206
227,Apr 14,103573
228,Apr 13,98076
229,Apr 12,95403
230,Apr 11,93790
231,Apr 10,90676
232,Apr 9,86334
233,Apr 8,82048
234,Apr 7,78167
235,Apr 6,74389
236,Apr 5,70478
237,Apr 4,68605
238,Apr 3,64338
239,Apr 2,59105
240,Apr 1,56989
241,Mar 31,52128
242,Mar 30,44550
243,Mar 29,40174
244,Mar 28,37575
245,Mar 27,32964
246,Mar 26,29155
247,Mar 25,25233
248,Mar 24,22302
249,Mar 23,19856
250,Mar 22,16018
251,Mar 21,14459
252,Mar 20,12612
253,Mar 19,10995
254,Mar 18,9134
255,Mar 17,7730
256,Mar 16,6633
257,Mar 15,5423
258,Mar 14,4499
259,Mar 13,3661
260,Mar 12,2876
261,Mar 11,2281
262,Mar 10,1784
263,Mar 9,1412
264,Mar 8,1126
265,Mar 7,949
266,Mar 6,613
267,Mar 5,423
268,Mar 4,285
269,Mar 3,212
270,Mar 2,191
271,Mar 1,130
272,Feb 29,100
273,Feb 28,73
274,Feb 27,38
275,Feb 26,18
276,Feb 25,14
277,Feb 24,12
278,Feb 23,12
279,Feb 22,12
280,Feb 21,12
