,Month,Number of new cases
193,Jun 3,366
194,Jun 2,195
195,Jun 1,200
196,May 31,297
197,May 30,257
198,May 29,350
199,May 28,304
200,May 27,285
201,May 26,219
202,May 25,165
203,May 24,152
204,May 23,271
205,May 22,288
206,May 21,252
207,May 20,228
208,May 19,223
209,May 18,173
210,May 17,226
211,May 16,227
212,May 15,264
213,May 14,187
214,May 13,219
215,May 12,234
216,May 11,98
217,May 10,175
218,May 9,138
219,May 8,553
220,May 7,533
221,May 6,480
222,May 5,178
223,May 4,242
224,May 3,92
225,May 2,203
226,May 1,295
227,Apr 30,368
228,Apr 29,183
229,Apr 28,295
230,Apr 27,163
231,Apr 26,472
232,Apr 25,595
233,Apr 24,444
234,Apr 23,371
235,Apr 22,603
236,Apr 21,516
237,Apr 20,657
238,Apr 19,521
239,Apr 18,663
240,Apr 17,181
241,Apr 16,750
242,Apr 15,643
243,Apr 14,514
244,Apr 13,349
245,Apr 12,598
246,Apr 11,515
247,Apr 10,1516
248,Apr 9,815
249,Apr 8,699
250,Apr 7,712
251,Apr 6,452
252,Apr 5,754
253,Apr 4,638
254,Apr 3,852
255,Apr 2,783
256,Apr 1,808
257,Mar 31,1035
258,Mar 30,446
259,Mar 29,792
260,Mar 28,902
261,Mar 27,724
262,Mar 26,549
263,Mar 25,633
264,Mar 24,302
265,Mar 23,460
266,Mar 22,320
267,Mar 21,260
268,Mar 20,235
269,Mar 19,143
270,Mar 18,194
271,Mar 17,117
272,Mar 16,86
273,Mar 15,76
274,Mar 14,57
275,Mar 13,34
276,Mar 12,19
277,Mar 11,18
278,Mar 10,2
279,Mar 9,9
280,Mar 8,9
281,Mar 7,8
282,Mar 6,4
283,Mar 5,3
284,Mar 4,2
285,Mar 3,2
286,Mar 2,2
