,Year,Number of new cases
160,7/29/20,54022
161,7/28/20,61498
162,7/27/20,63968
163,7/26/20,74235
164,7/25/20,71714
165,7/24/20,69641
166,7/23/20,62929
167,7/22/20,57276
168,7/21/20,62788
169,7/20/20,66963
170,7/19/20,74354
171,7/18/20,71484
172,7/17/20,67165
173,7/16/20,60711
174,7/15/20,58720
175,7/14/20,60113
176,7/13/20,62369
177,7/12/20,66281
178,7/11/20,58975
179,7/10/20,64630
180,7/9/20,50263
181,7/8/20,46194
182,7/7/20,43686
183,7/6/20,57186
184,7/5/20,51933
185,7/4/20,53213
186,7/3/20,54271
187,7/2/20,43556
188,7/1/20,35757
189,6/30/20,41008
190,6/29/20,44580
191,6/28/20,44458
192,6/27/20,40526
193,6/26/20,37601
194,6/25/20,34191
195,6/24/20,26519
196,6/23/20,27575
197,6/22/20,32349
198,6/21/20,36617
199,6/20/20,23046
200,6/19/20,23139
201,6/18/20,27921
202,6/17/20,18514
203,6/16/20,21754
204,6/15/20,25314
205,6/14/20,22133
206,6/13/20,21745
207,6/12/20,20315
208,6/11/20,17235
209,6/10/20,17536
210,6/9/20,17848
211,6/8/20,28918
212,6/7/20,28922
213,6/6/20,20069
214,6/5/20,14583
215,6/4/20,24890
216,6/3/20,14692
217,6/2/20,26116
218,6/1/20,23482
219,5/31/20,17962
220,5/30/20,21214
221,5/29/20,19606
222,5/28/20,16362
223,5/27/20,24886
224,5/26/20,15253
225,5/25/20,26158
226,5/24/20,24151
227,5/23/20,20475
228,5/22/20,22787
229,5/21/20,23310
230,5/20/20,24417
231,5/19/20,13227
232,5/18/20,31967
233,5/17/20,22813
234,5/16/20,27090
235,5/15/20,20840
236,5/14/20,21424
237,5/13/20,18044
238,5/12/20,23767
239,5/11/20,26642
240,5/10/20,25870
241,5/9/20,30204
242,5/8/20,22119
243,5/7/20,22267
244,5/6/20,16200
245,5/5/20,29266
246,5/4/20,31839
247,5/3/20,26753
248,5/2/20,31774
249,5/1/20,31379
250,4/30/20,20517
251,4/29/20,22541
252,4/28/20,29218
253,4/27/20,32417
254,4/26/20,38509
255,4/25/20,30719
256,4/24/20,29127
257,4/23/20,24019
258,4/22/20,25634
259,4/21/20,27668
260,4/20/20,28252
261,4/19/20,30023
262,4/18/20,32549
263,4/17/20,28711
264,4/16/20,25802
265,4/15/20,24446
266,4/14/20,29308
267,4/13/20,31633
268,4/12/20,31606
269,4/11/20,35386
270,4/10/20,30859
271,4/9/20,31709
272,4/8/20,29510
273,4/7/20,26493
274,4/6/20,33510
275,4/5/20,32105
276,4/4/20,28103
277,4/3/20,26298
278,4/2/20,24103
279,4/1/20,22559
280,3/31/20,17987
281,3/30/20,19332
282,3/29/20,18093
283,3/28/20,16894
284,3/27/20,0
285,3/26/20,16420
286,3/25/20,0
287,3/24/20,20341
288,3/23/20,16354
289,3/22/20,0
290,3/21/20,0
291,3/20/20,4777
292,3/19/20,3351
293,3/18/20,3551
294,3/17/20,1822
295,3/16/20,0
296,3/15/20,36
297,3/14/20,414
298,3/13/20,277
299,3/12/20,291
300,3/11/20,0
301,3/10/20,224
302,3/9/20,259
303,3/8/20,0
304,3/7/20,0
305,3/6/20,84
306,3/5/20,0
307,3/4/20,21
308,3/3/20,44
309,3/2/20,2
310,3/1/20,0
311,2/29/20,0
312,2/28/20,3
313,2/27/20,0
314,2/26/20,6
315,2/25/20,0
316,2/24/20,18
317,2/23/20,0
318,2/22/20,1
319,2/21/20,19
320,2/20/20,0
321,2/19/20,0
322,2/18/20,0
323,2/17/20,0
324,2/16/20,0
325,2/15/20,0
326,2/14/20,0
327,2/13/20,2
328,2/12/20,0
329,2/11/20,1
330,2/10/20,0
331,2/9/20,0
332,2/8/20,0
333,2/7/20,0
334,2/6/20,1
335,2/5/20,0
336,2/4/20,0
337,2/3/20,3
338,2/2/20,0
339,2/1/20,1
340,1/31/20,1
341,1/30/20,1
342,1/29/20,0
343,1/28/20,0
344,1/27/20,0
345,1/26/20,3
346,1/25/20,0
347,1/24/20,1
348,1/23/20,0
349,1/22/20,0
350,1/21/20,0
351,1/20/20,5
