,Date,Year-over-year change in seated restaurant diners
213,9/24,2.16%
214,9/25,6.63%
215,9/26,10.26%
216,9/27,4.6%
217,9/28,9.94%
218,9/29,7.49%
219,9/30,-8.49%
220,10/1,-24.98%
221,10/2,12.55%
222,10/3,19.61%
223,10/4,14.99%
224,10/5,-5.55%
225,10/6,-2.63%
226,10/7,6.69%
227,10/8,4.32%
228,10/9,10.48%
229,10/10,14.02%
230,10/11,10.53%
231,10/12,12.18%
232,10/13,7.01%
233,10/14,-2.13%
234,10/15,1.78%
235,10/16,0.76%
236,10/17,-5.21%
237,10/18,-5.13%
238,10/19,-9.33%
239,10/20,-10.66%
240,10/21,-14.41%
241,10/22,-15%
242,10/23,-18.66%
243,10/24,-20.83%
244,10/25,-22.28%
245,10/26,-33.29%
246,10/27,-32.78%
247,10/28,-28.77%
248,10/29,-32.29%
249,10/30,-19.05%
250,10/31,-9.89%
251,11/1,12.25%
252,11/2,-96.01%
253,11/3,-96.3%
254,11/4,-96.56%
255,11/5,-95.72%
256,11/6,-95.08%
257,11/7,-94.77%
258,11/8,-97.48%
259,11/9,-98.45%
260,11/10,-97.23%
261,11/11,-96.58%
262,11/12,-96.74%
263,11/13,-96.21%
264,11/14,-95.09%
265,11/15,-97.05%
266,11/16,-98.78%
267,11/17,-97.71%
268,11/18,-98.37%
269,11/19,-97.14%
270,11/20,-96.78%
271,11/21,-96.68%
272,11/22,-98.02%
273,11/23,-99.27%
274,11/24,-98.88%
275,11/25,-98.08%
276,11/26,-97.76%
277,11/27,-95.86%
278,11/28,-96.1%
279,11/29,-97.43%
280,11/30,-98.98%
281,12/1,-97.9%
282,12/2,-97.43%
283,12/3,-95.91%
284,12/4,-92.22%
285,12/5,-93.28%
286,12/6,-95.82%
287,12/7,-98.56%
288,12/8,-98.19%
289,12/9,-97.68%
290,12/10,-96.9%
291,12/11,-92.86%
292,12/12,-94.61%
293,12/13,-97.07%
294,12/14,-98.71%
295,12/15,-98.11%
296,12/16,-98.24%
297,12/17,-96.32%
298,12/18,-92.86%
299,12/19,-94.94%
300,12/20,-97.79%
