,Year,IPC in Mexican pesos
77,6/29/2020,37769.19
78,6/26/2020,37431.95
79,6/25/2020,37734.52
80,6/24/2020,37908.38
81,6/23/2020,38217.68
82,6/22/2020,38123.56
83,6/19/2020,38404.63
84,6/18/2020,37632.89
85,6/17/2020,37897.24
86,6/16/2020,37894.05
87,6/15/2020,37416.74
88,6/12/2020,37679.24
89,6/11/2020,36827.36
90,6/10/2020,38266.19
91,6/9/2020,39185.66
92,6/8/2020,39954.01
93,6/5/2020,38948.08
94,6/4/2020,37872.89
95,6/3/2020,38290.77
96,6/2/2020,37460.44
97,6/1/2020,36980.85
98,5/29/2020,36122.73
99,5/28/2020,36508.14
100,5/27/2020,36889.96
101,5/26/2020,36206.86
102,5/25/2020,35832.77
103,5/22/2020,35784.42
104,5/21/2020,35560.76
105,5/20/2020,36026.98
106,5/19/2020,35862.04
107,5/18/2020,37112.46
108,5/15/2020,35691.39
109,5/14/2020,36094.14
110,5/13/2020,36394.59
111,5/12/2020,37462.89
112,5/11/2020,37631.89
113,5/8/2020,37623.68
114,5/7/2020,36792.41
115,5/6/2020,36986.2
116,5/5/2020,36616.06
117,5/4/2020,36370.43
118,4/30/2020,36470.11
119,4/29/2020,36870.09
120,4/28/2020,35830.81
121,4/27/2020,34968.09
122,4/24/2020,34586.82
123,4/23/2020,34240.6
124,4/22/2020,34223.85
125,4/21/2020,33892.28
126,4/20/2020,34477.06
127,4/17/2020,34743.1
128,4/16/2020,33759.75
129,4/15/2020,33855.24
130,4/14/2020,34746.39
131,4/13/2020,34613.67
132,4/8/2020,34567.78
133,4/7/2020,34526.31
134,4/6/2020,34381.56
135,4/3/2020,33075.41
136,4/2/2020,33590.62
137,4/1/2020,33691.88
138,3/31/2020,34554.53
139,3/30/2020,34199.97
140,3/27/2020,33799.49
141,3/26/2020,35706.57
142,3/25/2020,35536.7
143,3/24/2020,34371.53
144,3/23/2020,32964.22
145,3/20/2020,34269.51
146,3/19/2020,35143.63
147,3/18/2020,35532.74
148,3/17/2020,36862.84
149,3/13/2020,38085.05
150,3/12/2020,36636.7
151,3/11/2020,38678.55
152,3/10/2020,39565.44
153,3/9/2020,38730.56
154,3/6/2020,41388.78
155,3/5/2020,42344.86
156,3/4/2020,43404.76
157,3/3/2020,42472.25
158,3/2/2020,42167.24
159,2/28/2020,41324.31
160,2/27/2020,41607.42
161,2/26/2020,42737.28
162,2/25/2020,43045.68
163,2/24/2020,43818.07
164,2/21/2020,44802.54
165,2/20/2020,44774.54
166,2/19/2020,44901.5
167,2/18/2020,44974.11
168,2/17/2020,45016.96
169,2/14/2020,44999.68
170,2/13/2020,45005.12
171,2/12/2020,45338.37
172,2/11/2020,45027.41
173,2/10/2020,44290.53
174,2/7/2020,44399.33
175,2/6/2020,44493.15
176,2/5/2020,44782.86
177,2/4/2020,45047.07
178,1/31/2020,44108.31
179,1/30/2020,44862.76
180,1/29/2020,45132.6
181,1/28/2020,44717.94
182,1/27/2020,44134.39
183,1/24/2020,45141.62
184,1/23/2020,45476.43
185,1/22/2020,45604.44
186,1/21/2020,45637.32
187,1/20/2020,45902.68
188,1/17/2020,45817.76
189,1/16/2020,45303.08
190,1/15/2020,44453.33
191,1/14/2020,44773.24
192,1/13/2020,44847.47
193,1/10/2020,44660.33
194,1/9/2020,44572.17
195,1/8/2020,44470.91
196,1/7/2020,44157.81
197,1/6/2020,44495.3
198,1/3/2020,44624.85
199,1/2/2020,44437.23
