,Month,Inflation rate
181,Oct 05,2.3%
182,Sep 05,2.5%
183,Aug 05,2.4%
184,Jul 05,2.3%
185,Jun 05,2%
186,May 05,1.9%
187,Apr 05,1.9%
188,Mar 05,1.9%
189,Feb 05,1.7%
190,Jan 05,1.6%
191,Dec 04,1.7%
192,Nov 04,1.5%
193,Oct 04,1.2%
194,Sep 04,1.1%
195,Aug 04,1.3%
196,Jul 04,1.4%
197,Jun 04,1.6%
198,May 04,1.5%
199,Apr 04,1.1%
200,Mar 04,1.1%
201,Feb 04,1.3%
202,Jan 04,1.4%
203,Dec 03,1.3%
204,Nov 03,1.3%
205,Oct 03,1.4%
206,Sep 03,1.4%
207,Aug 03,1.4%
208,Jul 03,1.3%
209,Jun 03,1.1%
210,May 03,1.3%
211,Apr 03,1.4%
212,Mar 03,1.5%
213,Feb 03,1.6%
214,Jan 03,1.3%
215,Dec 02,1.7%
216,Nov 02,1.5%
217,Oct 02,1.4%
218,Sep 02,1%
219,Aug 02,1%
220,Jul 02,1.1%
221,Jun 02,0.6%
222,May 02,0.8%
223,Apr 02,1.4%
224,Mar 02,1.5%
225,Feb 02,1.5%
226,Jan 02,1.6%
227,Dec 01,1.1%
228,Nov 01,0.8%
229,Oct 01,1.2%
230,Sep 01,1.3%
231,Aug 01,1.8%
232,Jul 01,1.4%
233,Jun 01,1.7%
234,May 01,1.7%
235,Apr 01,1.2%
236,Mar 01,0.9%
237,Feb 01,0.8%
238,Jan 01,0.9%
239,Dec 00,0.8%
240,Nov 00,1.1%
241,Oct 00,1%
242,Sep 00,1%
243,Aug 00,0.6%
244,Jul 00,0.9%
245,Jun 00,0.8%
246,May 00,0.5%
247,Apr 00,0.6%
248,Mar 00,0.6%
249,Feb 00,0.9%
250,Jan 00,0.8%
251,Dec 99,1.1%
252,Nov 99,1.2%
253,Oct 99,1.1%
254,Sep 99,1.2%
255,Aug 99,1.2%
256,Jul 99,1.3%
257,Jun 99,1.3%
258,May 99,1.3%
259,Apr 99,1.5%
260,Mar 99,1.7%
261,Feb 99,1.4%
262,Jan 99,1.6%
263,Dec 98,1.6%
264,Nov 98,1.4%
265,Oct 98,1.4%
266,Sep 98,1.4%
267,Aug 98,1.3%
268,Jul 98,1.4%
269,Jun 98,1.7%
270,May 98,2%
271,Apr 98,1.8%
272,Mar 98,1.7%
273,Feb 98,1.6%
274,Jan 98,1.5%
275,Dec 97,1.7%
276,Nov 97,1.9%
277,Oct 97,1.9%
278,Sep 97,1.8%
279,Aug 97,2%
280,Jul 97,2%
281,Jun 97,1.7%
282,May 97,1.6%
283,Apr 97,1.6%
284,Mar 97,1.7%
285,Feb 97,1.9%
286,Jan 97,2.1%
287,Dec 96,2.3%
288,Nov 96,2.6%
289,Oct 96,2.5%
290,Sep 96,2.3%
291,Aug 96,2.3%
292,Jul 96,2.2%
293,Jun 96,2.3%
294,May 96,2.3%
295,Apr 96,2.5%
296,Mar 96,2.6%
297,Feb 96,2.7%
298,Jan 96,2.6%
299,Dec 95,3%
300,Nov 95,2.8%
301,Oct 95,2.9%
302,Sep 95,3%
303,Aug 95,2.6%
304,Jul 95,2.7%
305,Jun 95,2.6%
306,May 95,2.5%
307,Apr 95,2.3%
308,Mar 95,2.6%
309,Feb 95,2.4%
310,Jan 95,2.4%
311,Dec 94,2%
312,Nov 94,1.8%
313,Oct 94,1.5%
314,Sep 94,1.5%
315,Aug 94,1.9%
316,Jul 94,1.7%
317,Jun 94,2%
318,May 94,2%
319,Apr 94,2%
320,Mar 94,2.2%
321,Feb 94,2.5%
322,Jan 94,2.7%
323,Dec 93,2.4%
324,Nov 93,2.3%
325,Oct 93,2.6%
326,Sep 93,3.1%
327,Aug 93,2.9%
328,Jul 93,2.6%
329,Jun 93,2.4%
330,May 93,2.5%
331,Apr 93,2.5%
332,Mar 93,2.5%
333,Feb 93,2.4%
334,Jan 93,2.2%
335,Dec 92,2.6%
336,Nov 92,2.6%
337,Oct 92,2.9%
338,Sep 92,3%
339,Aug 92,3%
340,Jul 92,3.6%
341,Jun 92,3.8%
342,May 92,4.3%
343,Apr 92,4.7%
344,Mar 92,7.1%
345,Feb 92,6.9%
346,Jan 92,7%
347,Dec 91,7.2%
348,Nov 91,7.1%
349,Oct 91,6.8%
350,Sep 91,7.1%
351,Aug 91,7.9%
352,Jul 91,8.3%
353,Jun 91,8.4%
354,May 91,8.2%
355,Apr 91,8.4%
356,Mar 91,6.9%
357,Feb 91,7%
358,Jan 91,7.1%
359,Dec 90,7.6%
360,Nov 90,7.8%
361,Oct 90,8.1%
362,Sep 90,8.1%
363,Aug 90,7.7%
364,Jul 90,6.8%
365,Jun 90,6.9%
366,May 90,6.8%
367,Apr 90,6.4%
368,Mar 90,6%
369,Feb 90,5.9%
370,Jan 90,5.7%
371,Dec 89,5.5%
372,Nov 89,5.5%
373,Oct 89,5.5%
374,Sep 89,5.2%
375,Aug 89,5%
376,Jul 89,5.2%
377,Jun 89,5.2%
378,May 89,5.3%
379,Apr 89,5.3%
380,Mar 89,5%
381,Feb 89,5%
382,Jan 89,4.9%
