,Month,Number of daily recorded cases
269,Apr 9,4939
270,Apr 8,5633
271,Apr 7,4288
272,Apr 6,3252
273,Apr 5,4031
274,Apr 4,4933
275,Apr 3,6365
276,Apr 2,6813
277,Apr 1,6173
278,Mar 31,4923
279,Mar 30,4450
280,Mar 29,4740
281,Mar 28,6825
282,Mar 27,6933
283,Mar 26,6615
284,Mar 25,4332
285,Mar 24,3935
286,Mar 23,4183
287,Mar 22,2509
288,Mar 21,2516
289,Mar 20,4528
290,Mar 19,2993
291,Mar 18,2960
292,Mar 17,2095
293,Mar 16,1459
294,Mar 15,1214
295,Mar 14,924
296,Mar 13,930
297,Mar 12,779
298,Mar 11,401
299,Mar 10,341
300,Mar 9,184
301,Mar 8,240
302,Mar 7,130
303,Mar 6,125
304,Mar 5,283
305,Mar 4,59
306,Mar 3,38
307,Mar 2,35
308,Mar 1,51
309,Feb 29,11
310,Feb 28,25
311,Feb 27,3
312,Feb 26,2
313,Feb 25,0
314,Feb 24,0
315,Feb 23,0
316,Feb 22,0
317,Feb 21,0
318,Feb 20,0
319,Feb 19,0
320,Feb 18,0
321,Feb 17,0
322,Feb 16,0
323,Feb 15,0
324,Feb 14,0
325,Feb 13,0
326,Feb 12,2
327,Feb 11,0
328,Feb 10,0
329,Feb 9,0
330,Feb 8,1
331,Feb 7,0
332,Feb 6,1
333,Feb 5,0
334,Feb 4,2
335,Feb 3,0
336,Feb 2,3
337,Feb 1,1
338,Jan 31,2
339,Jan 30,0
340,Jan 29,3
341,Jan 28,1
