,place of contraction,Number of cases
78,"Milan Prison Complex — Milan, Mich.",84
79,"Hackensack Meridian Health Nursing and Rehab at Brick — Brick, N.J.",83
80,"The Resort at Texas City nursing home — Texas City, Texas",83
81,"Correctional Reception Center — Orient, Ohio",82
82,"Hampton Ridge Healthcare and Rehab — Toms River, N.J.",82
83,"Covenant Living at Windsor Park long-term care — Carol Stream, Ill.",81
84,"Life Care Center of Nashoba Valley — Littleton, Mass.",81
85,"Symphony of Joliet nursing home — Joliet, Ill.",81
86,"Joe-Anne Burgin Nursing Home — Cuthbert, Ga.",80
87,"Grace Living Center nursing home — Norman, Okla.",77
88,"Cherry Creek Nursing Center — Aurora, Colo.",76
89,"Dr. Lane Murray Unit prison — Gatesville, Texas",76
90,"Veranda Rehabilitation and Healthcare — Harlingen, Texas",76
91,"New Lisbon Developmental Center — New Lisbon, N.J.",75
92,"Oak Hill Center nursing home — Pawtucket, R.I.",75
93,"Southeast Nursing and Rehabilitation Center — San Antonio, Texas",75
94,"Edna Mahan Correctional Facility for Women — Clinton, N.J.",74
95,"Milford Center nursing home — Milford, Del.",74
96,"Altercare Alliance nursing home — Alliance, Ohio",73
97,"Augusta Health and Rehabilitation Center — Augusta, Maine",73
98,"Country Villa South Convalescent — Los Angeles, Calif.",73
99,"Stringfellow Unit prison — Rosharon, Texas",73
100,"Walter Reuther Psychiatric Hospital — Westland, Mich.",73
101,"Healthcare at Foster Creek assisted living facility — Portland, Ore.",71
102,"Horizon Health and Rehabilitation Center — Las Vegas, Nev.",71
103,"Garden Crest Rehabilitation Center — Los Angeles, Calif.",70
104,"Hospital Galveston — Galveston, Texas",70
105,"Multi-Service Center South homeless shelter — San Francisco, Calif.",70
106,"Abbott Terrace Health Center — Waterbury, Conn.",69
107,"CareOne at Evesham senior care facility — Marlton, N.J.",69
108,"Hunterdon Developmental Center — Clinton, N.J.",69
109,"Sunrise View Assisted Living — Everett, Wash.",69
110,"Telford Unit prison — New Boston, Texas",69
111,"Birchwood Terrace rehabilitation center — Burlington, Vt.",68
112,"East Jersey State Prison — Rahway, N.J.",68
113,"Golden Hill Rehab Pavilion — Milford, Conn.",67
114,"Haynesville Correctional Center — Haynesville, Va.",67
115,"Nassau jail — East Meadow, N.Y.",67
116,"Preakness Healthcare Center — Wayne, N.J.",67
117,"Summerset assisted living facility — Atlanta, Ga.",67
118,"Wayne Nursing & Rehabilitation Center — Wayne, W.Va.",66
119,"Bucks County jail — Doylestown, Pa.",65
120,"Dawson Health and Rehabilitation — Dawson, Ga.",65
121,"Juniper Village memory care — Aurora, Colo.",65
122,"Koester Pavilion nursing home and rehab — Troy, Ohio",65
123,"Louisiana State Penitentiary — Angola, La.",64
124,"Wedgwood Gardens Care Center — Freehold, N.J.",64
125,"Brighton Care Center — Pasadena, Calif.",63
126,"Burlington Health and Rehabilitation — Burlington, Vt.",63
127,"Deerfield Correctional Center — Capron, Va.",63
128,"Valley House Rehabilitation Center — Santa Clara, Calif.",63
129,"Central Gardens Covalescent — San Franciso, Calif.",62
130,"Adviniacare long-term care — Wilmington, Mass.",61
131,"Bergen County Healthcare Center — Rockleigh, N.J.",61
132,"Frontier Health and Rehabilitation — St. Charles, Mo.",60
133,"Early Memorial Nursing Facility — Blakely, Ga.",59
134,"Golden Crest Nursing Centre — North Providence, R.I.",59
135,"Crossview Care Center nursing home — Pineview, Ga.",58
136,"Encompass Health Rehabilitation Hospital of Toms River — Toms River, N.J.",58
137,"Grimes Center senior care facility — New Haven, Conn.",58
138,"Massachusetts Correctional Institution-Shirley — Shirley, Mass.",58
139,"Virginia Correctional Center for Women — Goochland, Va.",58
140,"Cedar Crest Nursing & Rehab — Sunnyvale, Calif.",57
141,"Rome Health and Rehabilitation Center — Rome, Ga.",57
142,"The Laurels of Chatham skilled nursing facility and rehabilitation center — Pittsboro, N.C.",57
143,"West Park Neurology and Rehabilitation Center — Cleveland, Ohio",57
144,"Autry State Prison — Pelham, Ga.",56
145,"Life Care Center of Raynham nursing home — Raynham, Mass.",56
146,"Mennonite Home personal care and skilled nursing — Lancaster, Pa.",56
147,"Powder Springs Transitional Care and Rehab — Powder Springs, Ga.",56
148,"Yazoo Prison Complex — Yazoo City, Miss.",56
149,"Blackwater River Correctional Facility — Milton, Fla.",55
150,"Cobble Hill Health Center assisted living — Brooklyn, N.Y.",55
151,"Pelham Parkway nursing home — Pelham, Ga.",55
152,"State Correctional Institution at Phoenix — Collegeville, Pa.",55
153,"Stollwood Convalescent Hospital — Woodland, Calif.",55
154,"Butner Prison Complex — Butner, N.C.",54
155,"Chateau Nursing and Rehabilitation Center — Willowbrook, Ill.",54
156,"Hollywood Premier Healthcare Center nursing home — Los Angeles, Calif.",54
157,"Memorial Care Center nursing home — Belleville, Ill.",54
158,"Louisburg Healthcare & Rehabilitation Center — Louisburg, N.C.",53
159,"Southern State Correctional Facility — Maurice River Township, N.J.",53
160,Travel in Egypt,53
161,"Centennial Healthcare Center nursing home — Greeley, Colo.",52
162,"Leisure Chateau Care and Rehabilitation Center — Lakewood, N.J.",52
163,"Regency Canyon Lakes rehabilitation and nursing — Kennewick, Wash.",52
164,"Sumter Correctional Institution — Bushnell, Fla.",52
165,"Victoria Manor long-term care — Cape May, N.J.",52
166,"Eldercare Health and Rehabilitation long-term care facility — Ripley, W.Va.",51
167,"Gardena Convalescent Center — Gardena, Calif.",51
168,"Reche Canyon Rehabilitation & Health Care Center — Colton, Calif.",51
169,"Sierra Rehabilitation and Care Community — Lakewood, Colo.",51
170,"Signature HealthCARE — Cookeville, Tenn.",51
171,"Suwannee Health and Rehabilitation — Live Oak, Fla.",51
172,"Fishkill Correctional Facility — Fishkill, N.Y.",50
173,"Pendleton Correctional Facility — Pendleton, Ind.",50
174,"Premier Estates assisted living — Toledo, Iowa",50
175,"PruittHealth - Carolina Point nursing home — Durham, N.C.",50
