,Year,Number of deaths
226,10/19/20,7
227,10/20/20,5
228,10/21/20,5
229,10/22/20,3
230,10/23/20,4
231,10/24/20,1
232,10/25/20,9
233,10/26/20,4
234,10/27/20,8
235,10/28/20,4
236,10/29/20,4
237,10/30/20,10
238,10/31/20,4
239,11/1/20,12
240,11/2/20,11
241,11/3/20,12
242,11/4/20,8
243,11/5/20,9
244,11/6/20,10
245,11/7/20,13
246,11/8/20,7
247,11/9/20,4
248,11/10/20,7
249,11/11/20,9
250,11/12/20,16
251,11/13/20,5
252,11/14/20,9
253,11/15/20,14
254,11/16/20,9
255,11/17/20,10
256,11/18/20,10
257,11/19/20,9
258,11/20/20,7
259,11/21/20,11
260,11/22/20,10
261,11/23/20,13
262,11/24/20,16
263,11/25/20,13
264,11/26/20,7
265,11/27/20,15
266,11/28/20,13
267,11/29/20,15
268,11/30/20,18
269,12/1/20,20
270,12/2/20,27
271,12/3/20,18
272,12/4/20,24
273,12/5/20,23
274,12/6/20,20
275,12/7/20,18
276,12/8/20,22
277,12/9/20,27
278,12/10/20,25
279,12/11/20,30
280,12/12/20,34
281,12/13/20,25
282,12/14/20,30
283,12/15/20,32
284,12/16/20,37
285,12/17/20,34
286,12/18/20,39
287,12/19/20,30
288,12/20/20,29
289,12/21/20,41
290,12/22/20,49
291,12/23/20,38
292,12/24/20,39
293,12/25/20,36
294,12/26/20,33
295,12/27/20,38
296,12/28/20,36
297,12/29/20,35
298,12/30/20,22
299,12/31/20,28
300,1/1/21,19
