,Month,Index score (1987=100)
162,May 07,206.2
163,Apr 07,205.4
164,Mar 07,204.4
165,Feb 07,203.1
166,Jan 07,201.6
167,Dec 06,202.7
168,Nov 06,201.1
169,Oct 06,200.4
170,Sep 06,200.1
171,Aug 06,199.2
172,Jul 06,198.5
173,Jun 06,198.5
174,May 06,197.7
175,Apr 06,196.5
176,Mar 06,195.0
177,Feb 06,194.2
178,Jan 06,193.4
179,Dec 05,194.1
180,Nov 05,193.6
181,Oct 05,193.3
182,Sep 05,193.1
183,Aug 05,192.6
184,Jul 05,192.2
185,Jun 05,192.2
186,May 05,192.0
187,Apr 05,191.6
188,Mar 05,190.5
189,Feb 05,189.6
190,Jan 05,188.9
191,Dec 04,189.9
192,Nov 04,189.0
193,Oct 04,188.6
194,Sep 04,188.1
195,Aug 04,187.4
196,Jul 04,186.8
197,Jun 04,186.8
198,May 04,186.5
199,Apr 04,185.7
200,Mar 04,184.6
201,Feb 04,183.8
202,Jan 04,183.1
203,Dec 03,183.5
204,Nov 03,182.7
205,Oct 03,182.6
206,Sep 03,182.5
207,Aug 03,181.6
208,Jul 03,181.3
209,Jun 03,181.3
210,May 03,181.5
211,Apr 03,181.2
212,Mar 03,179.9
213,Feb 03,179.3
214,Jan 03,178.4
215,Dec 02,178.5
216,Nov 02,178.2
217,Oct 02,177.9
218,Sep 02,177.6
219,Aug 02,176.4
220,Jul 02,175.9
221,Jun 02,176.2
222,May 02,176.2
223,Apr 02,175.7
224,Mar 02,174.5
225,Feb 02,173.8
226,Jan 02,173.3
227,Dec 01,173.4
228,Nov 01,173.6
229,Oct 01,174.3
230,Sep 01,174.6
231,Aug 01,174.0
232,Jul 01,173.3
233,Jun 01,174.4
234,May 01,174.2
235,Apr 01,173.1
236,Mar 01,172.2
237,Feb 01,172.0
238,Jan 01,171.1
239,Dec 00,172.2
240,Nov 00,172.1
241,Oct 00,171.6
242,Sep 00,171.7
243,Aug 00,170.5
244,Jul 00,170.5
245,Jun 00,171.1
246,May 00,170.7
247,Apr 00,170.1
248,Mar 00,168.4
249,Feb 00,167.5
250,Jan 00,166.6
251,Dec 99,167.3
252,Nov 99,166.7
253,Oct 99,166.5
254,Sep 99,166.2
255,Aug 99,165.5
256,Jul 99,165.1
257,Jun 99,165.6
258,May 99,165.6
259,Apr 99,165.2
260,Mar 99,164.1
261,Feb 99,163.7
262,Jan 99,163.4
263,Dec 98,164.4
264,Nov 98,164.4
265,Oct 98,164.5
266,Sep 98,164.4
267,Aug 98,163.7
268,Jul 98,163.0
269,Jun 98,163.4
270,May 98,163.5
271,Apr 98,162.6
272,Mar 98,160.8
273,Feb 98,160.3
274,Jan 98,159.5
275,Dec 97,160.0
276,Nov 97,159.6
277,Oct 97,159.5
278,Sep 97,159.3
279,Aug 97,158.5
280,Jul 97,157.5
281,Jun 97,157.5
282,May 97,156.9
283,Apr 97,156.3
284,Mar 97,155.4
285,Feb 97,155.0
286,Jan 97,154.4
287,Dec 96,154.4
288,Nov 96,153.9
289,Oct 96,153.8
290,Sep 96,153.8
291,Aug 96,153.1
292,Jul 96,152.4
293,Jun 96,153.0
294,May 96,152.9
295,Apr 96,152.6
296,Mar 96,151.5
297,Feb 96,150.9
298,Jan 96,150.2
299,Dec 95,150.7
300,Nov 95,149.8
301,Oct 95,149.8
302,Sep 95,150.6
303,Aug 95,149.9
304,Jul 95,149.1
305,Jun 95,149.8
306,May 95,149.6
307,Apr 95,149.0
308,Mar 95,147.5
309,Feb 95,146.9
310,Jan 95,146.0
311,Dec 94,146.0
312,Nov 94,145.3
313,Oct 94,145.2
314,Sep 94,145.0
315,Aug 94,144.7
316,Jul 94,144.0
317,Jun 94,144.7
318,May 94,144.7
319,Apr 94,144.2
320,Mar 94,142.5
321,Feb 94,142.1
322,Jan 94,141.3
323,Dec 93,141.9
324,Nov 93,141.6
325,Oct 93,141.8
326,Sep 93,141.9
327,Aug 93,141.3
328,Jul 93,140.7
329,Jun 93,141.0
330,May 93,141.1
331,Apr 93,140.6
332,Mar 93,139.3
333,Feb 93,138.8
334,Jan 93,137.9
335,Dec 92,139.2
336,Nov 92,139.7
337,Oct 92,139.9
338,Sep 92,139.4
339,Aug 92,138.9
340,Jul 92,138.8
341,Jun 92,139.3
342,May 92,139.3
343,Apr 92,138.8
344,Mar 92,136.7
345,Feb 92,136.3
346,Jan 92,135.6
347,Dec 91,135.7
348,Nov 91,135.6
349,Oct 91,135.1
350,Sep 91,134.6
351,Aug 91,134.1
352,Jul 91,133.8
353,Jun 91,134.1
354,May 91,133.5
355,Apr 91,133.1
356,Mar 91,131.4
357,Feb 91,130.9
358,Jan 91,130.2
359,Dec 90,129.9
360,Nov 90,130.0
361,Oct 90,130.3
362,Sep 90,129.3
363,Aug 90,128.1
364,Jul 90,126.8
365,Jun 90,126.7
366,May 90,126.2
367,Apr 90,125.1
368,Mar 90,121.4
369,Feb 90,120.2
370,Jan 90,119.5
371,Dec 89,118.8
372,Nov 89,118.5
373,Oct 89,117.5
374,Sep 89,116.6
375,Aug 89,115.8
376,Jul 89,115.5
377,Jun 89,115.4
378,May 89,115.0
379,Apr 89,114.3
380,Mar 89,112.3
381,Feb 89,111.8
382,Jan 89,111.0
383,Dec 88,110.3
384,Nov 88,110.0
385,Oct 88,109.5
386,Sep 88,108.4
387,Aug 88,107.9
388,Jul 88,106.7
389,Jun 88,106.6
390,May 88,106.2
391,Apr 88,105.8
392,Mar 88,104.1
393,Feb 88,103.7
394,Jan 88,103.3
395,Dec 87,103.3
396,Nov 87,103.4
397,Oct 87,102.9
398,Sep 87,102.4
399,Aug 87,102.1
400,Jul 87,101.8
401,Jun 87,101.9
402,May 87,101.9
403,Apr 87,101.8
404,Mar 87,100.6
405,Feb 87,100.4
406,Jan 87,100.0
