,Month,Number of patients
153,"Jul 15, 2020",19
154,"Jul 14, 2020",17
155,"Jul 13, 2020",18
156,"Jul 12, 2020",18
157,"Jul 11, 2020",15
158,"Jul 10, 2020",17
159,"Jul 09, 2020",18
160,"Jul 08, 2020",18
161,"Jul 07, 2020",17
162,"Jul 06, 2020",23
163,"Jul 05, 2020",24
164,"Jul 04, 2020",26
165,"Jul 03, 2020",27
166,"Jul 02, 2020",29
167,"Jul 01, 2020",29
168,"Jun 30, 2020",32
169,"Jun 29, 2020",35
170,"Jun 28, 2020",30
171,"Jun 27, 2020",29
172,"Jun 26, 2020",31
173,"Jun 25, 2020",36
174,"Jun 24, 2020",33
175,"Jun 23, 2020",32
176,"Jun 22, 2020",37
177,"Jun 21, 2020",38
178,"Jun 20, 2020",39
179,"Jun 19, 2020",37
180,"Jun 18, 2020",38
181,"Jun 17, 2020",39
182,"Jun 16, 2020",60
183,"Jun 15, 2020",58
184,"Jun 14, 2020",55
185,"Jun 13, 2020",54
186,"Jun 12, 2020",63
187,"Jun 11, 2020",63
188,"Jun 10, 2020",71
189,"Jun 09, 2020",73
190,"Jun 08, 2020",79
191,"Jun 07, 2020",75
192,"Jun 06, 2020",81
193,"Jun 05, 2020",85
194,"Jun 04, 2020",97
195,"Jun 03, 2020",100
196,"Jun 02, 2020",99
197,"Jun 01, 2020",103
198,"May 31, 2020",98
199,"May 30, 2020",100
200,"May 29, 2020",106
201,"May 28, 2020",110
202,"May 27, 2020",107
203,"May 26, 2020",112
204,"May 25, 2020",116
205,"May 24, 2020",115
206,"May 23, 2020",118
207,"May 22, 2020",119
208,"May 21, 2020",122
209,"May 20, 2020",127
210,"May 19, 2020",141
211,"May 18, 2020",144
212,"May 17, 2020",133
213,"May 16, 2020",140
214,"May 15, 2020",137
215,"May 14, 2020",147
216,"May 13, 2020",164
217,"May 12, 2020",177
218,"May 11, 2020",198
219,"May 10, 2020",196
220,"May 09, 2020",194
221,"May 08, 2020",205
222,"May 07, 2020",199
223,"May 06, 2020",209
224,"May 05, 2020",228
225,"May 04, 2020",252
226,"May 03, 2020",243
227,"May 02, 2020",232
228,"May 01, 2020",249
229,"Apr 30, 2020",255
230,"Apr 29, 2020",267
231,"Apr 28, 2020",284
232,"Apr 27, 2020",310
233,"Apr 26, 2020",285
234,"Apr 25, 2020",290
235,"Apr 24, 2020",320
236,"Apr 23, 2020",319
237,"Apr 22, 2020",324
238,"Apr 21, 2020",335
239,"Apr 20, 2020",336
240,"Apr 19, 2020",319
241,"Apr 18, 2020",317
242,"Apr 17, 2020",350
243,"Apr 16, 2020",353
244,"Apr 15, 2020",362
245,"Apr 14, 2020",380
246,"Apr 13, 2020",388
247,"Apr 12, 2020",396
248,"Apr 11, 2020",408
249,"Apr 10, 2020",401
250,"Apr 09, 2020",433
251,"Apr 08, 2020",453
252,"Apr 07, 2020",472
253,"Apr 06, 2020",497
254,"Apr 05, 2020",498
255,"Apr 04, 2020",503
256,"Apr 03, 2020",516
257,"Apr 02, 2020",531
258,"Apr 01, 2020",535
259,"Mar 31, 2020",529
260,"Mar 30, 2020",533
261,"Mar 29, 2020",499
262,"Mar 28, 2020",459
263,"Mar 27, 2020",430
264,"Mar 26, 2020",386
265,"Mar 25, 2020",350
266,"Mar 24, 2020",301
267,"Mar 23, 2020",254
268,"Mar 22, 2020",232
269,"Mar 21, 2020",206
270,"Mar 20, 2020",186
271,"Mar 19, 2020",153
272,"Mar 18, 2020",129
273,"Mar 17, 2020",82
274,"Mar 16, 2020",62
275,"Mar 15, 2020",28
276,"Mar 14, 2020",23
277,"Mar 13, 2020",23
278,"Mar 12, 2020",19
