,Month,Weekly hours of work in millions
291,Jul 96,862.3
292,Jun 96,862.8
293,May 96,860.1
294,Apr 96,858.6
295,Mar 96,859.9
296,Feb 96,859.9
297,Jan 96,861.8
298,Dec 95,859.7
299,Nov 95,854.7
300,Oct 95,854.1
301,Sep 95,854.9
302,Aug 95,855.5
303,Jul 95,855.1
304,Jun 95,854.2
305,May 95,855.9
306,Apr 95,854.4
307,Mar 95,852.4
308,Feb 95,853.5
309,Jan 95,854.5
310,Dec 94,853.0
311,Nov 94,847.1
312,Oct 94,846.4
313,Sep 94,846.3
314,Aug 94,843.9
315,Jul 94,841.1
316,Jun 94,839.2
317,May 94,840.4
318,Apr 94,842.1
319,Mar 94,837.1
320,Feb 94,836.8
321,Jan 94,829.3
322,Dec 93,831.6
323,Nov 93,826.4
324,Oct 93,832.6
325,Sep 93,832.4
326,Aug 93,833.5
327,Jul 93,834.1
328,Jun 93,832.6
329,May 93,830.4
330,Apr 93,829.6
331,Mar 93,832.3
332,Feb 93,832.9
333,Jan 93,834.1
334,Dec 92,832.8
335,Nov 92,837.2
336,Oct 92,837.7
337,Sep 92,840.4
338,Aug 92,841.4
339,Jul 92,843.5
340,Jun 92,847.6
341,May 92,847.2
342,Apr 92,846.9
343,Mar 92,847.2
344,Feb 92,848.8
345,Jan 92,850.1
346,Dec 91,851.9
347,Nov 91,854.2
348,Oct 91,856.9
349,Sep 91,859.5
350,Aug 91,862.6
351,Jul 91,866.1
352,Jun 91,869.8
353,May 91,873.8
354,Apr 91,877.6
355,Mar 91,881.4
356,Feb 91,885.2
357,Jan 91,889.0
358,Dec 90,892.4
359,Nov 90,895.8
360,Oct 90,898.8
361,Sep 90,901.8
362,Aug 90,904.1
363,Jul 90,905.8
364,Jun 90,906.6
365,May 90,907.3
366,Apr 90,907.7
367,Mar 90,908.1
368,Feb 90,908.6
369,Jan 90,908.7
370,Dec 89,908.8
371,Nov 89,908.1
372,Oct 89,907.3
373,Sep 89,906.6
374,Aug 89,905.8
375,Jul 89,904.9
376,Jun 89,904.1
377,May 89,903.2
378,Apr 89,901.4
379,Mar 89,898.9
380,Feb 89,895.9
381,Jan 89,893.0
382,Dec 88,890.2
383,Nov 88,887.9
384,Oct 88,885.7
385,Sep 88,883.1
386,Aug 88,880.8
387,Jul 88,878.3
388,Jun 88,876.2
389,May 88,874.0
390,Apr 88,871.9
391,Mar 88,869.4
392,Feb 88,866.9
393,Jan 88,863.9
394,Dec 87,860.8
395,Nov 87,857.9
396,Oct 87,855.0
397,Sep 87,852.3
398,Aug 87,849.5
399,Jul 87,846.3
400,Jun 87,843.3
401,May 87,840.5
402,Apr 87,838.1
403,Mar 87,836.4
404,Feb 87,835.0
405,Jan 87,833.8
406,Dec 86,832.9
407,Nov 86,832.1
408,Oct 86,831.1
409,Sep 86,829.9
410,Aug 86,828.8
411,Jul 86,828.1
412,Jun 86,827.4
413,May 86,827.1
414,Apr 86,827.1
415,Mar 86,827.2
416,Feb 86,827.4
417,Jan 86,827.3
418,Dec 85,827.7
419,Nov 85,827.9
420,Oct 85,827.6
421,Sep 85,827.6
422,Aug 85,827.5
423,Jul 85,827.0
424,Jun 85,826.6
425,May 85,826.3
426,Apr 85,825.9
427,Mar 85,825.0
428,Feb 85,824.0
429,Jan 85,823.1
430,Dec 84,821.9
431,Nov 84,820.5
432,Oct 84,819.1
433,Sep 84,817.7
434,Aug 84,816.2
435,Jul 84,814.8
436,Jun 84,813.4
437,May 84,811.7
438,Apr 84,810.0
439,Mar 84,808.2
440,Feb 84,806.5
441,Jan 84,804.8
442,Dec 83,802.8
443,Nov 83,801.0
444,Oct 83,798.6
445,Sep 83,796.1
446,Aug 83,793.8
447,Jul 83,792.0
448,Jun 83,790.8
449,May 83,790.5
450,Apr 83,791.1
451,Mar 83,791.7
452,Feb 83,792.9
453,Jan 83,794.5
454,Dec 82,796.3
455,Nov 82,798.2
456,Oct 82,800.2
457,Sep 82,802.2
458,Aug 82,804.2
459,Jul 82,805.7
460,Jun 82,807.0
461,May 82,808.5
462,Apr 82,809.4
463,Mar 82,810.2
464,Feb 82,810.6
465,Jan 82,811.5
466,Dec 81,812.7
467,Nov 81,814.4
468,Oct 81,816.2
469,Sep 81,817.8
470,Aug 81,819.5
471,Jul 81,821.5
472,Jun 81,823.7
473,May 81,826.5
474,Apr 81,829.6
475,Mar 81,832.8
476,Feb 81,836.4
477,Jan 81,840.3
478,Dec 80,844.6
479,Nov 80,848.7
480,Oct 80,853.2
481,Sep 80,857.4
482,Aug 80,861.6
483,Jul 80,865.3
484,Jun 80,868.2
485,May 80,870.7
486,Apr 80,873.1
487,Mar 80,875.1
488,Feb 80,877.1
489,Jan 80,878.7
490,Dec 79,879.8
491,Nov 79,880.3
492,Oct 79,880.5
493,Sep 79,880.6
494,Aug 79,880.5
495,Jul 79,880.1
496,Jun 79,879.6
497,May 79,879.2
498,Apr 79,878.8
499,Mar 79,878.6
500,Feb 79,878.3
501,Jan 79,877.6
502,Dec 78,876.6
503,Nov 78,874.9
504,Oct 78,873.4
505,Sep 78,872.0
506,Aug 78,871.2
507,Jul 78,870.6
508,Jun 78,870.2
509,May 78,869.8
510,Apr 78,869.5
511,Mar 78,869.0
512,Feb 78,868.4
513,Jan 78,868.1
514,Dec 77,867.8
515,Nov 77,867.7
516,Oct 77,867.6
517,Sep 77,867.3
518,Aug 77,867.2
519,Jul 77,866.7
520,Jun 77,866.7
521,May 77,866.2
522,Apr 77,866.0
523,Mar 77,865.6
524,Feb 77,864.9
525,Jan 77,864.3
526,Dec 76,863.4
527,Nov 76,862.4
528,Oct 76,861.6
529,Sep 76,861.0
530,Aug 76,860.6
531,Jul 76,860.3
532,Jun 76,860.1
533,May 76,860.2
534,Apr 76,860.2
535,Mar 76,860.8
536,Feb 76,861.5
537,Jan 76,862.7
538,Dec 75,863.6
539,Nov 75,864.7
540,Oct 75,865.9
541,Sep 75,867.4
542,Aug 75,868.9
543,Jul 75,870.1
544,Jun 75,871.4
545,May 75,873.1
546,Apr 75,874.8
547,Mar 75,876.9
548,Feb 75,879.0
549,Jan 75,881.4
550,Dec 74,883.5
551,Nov 74,885.3
552,Oct 74,887.1
553,Sep 74,888.1
554,Aug 74,888.7
555,Jul 74,889.0
556,Jun 74,889.6
557,May 74,890.0
558,Apr 74,890.9
559,Mar 74,891.6
560,Feb 74,892.8
561,Jan 74,893.6
562,Dec 73,893.9
563,Nov 73,894.1
564,Oct 73,894.0
565,Sep 73,893.7
566,Aug 73,893.4
567,Jul 73,893.8
568,Jun 73,894.2
569,May 73,894.1
570,Apr 73,893.1
571,Mar 73,890.6
572,Feb 73,887.7
573,Jan 73,884.4
574,Dec 72,881.9
575,Nov 72,879.8
576,Oct 72,878.3
577,Sep 72,876.7
578,Aug 72,875.0
579,Jul 72,873.7
580,Jun 72,873.1
581,May 72,872.0
582,Apr 72,870.7
583,Mar 72,868.7
584,Feb 72,866.1
585,Jan 72,863.5
586,Dec 71,861.7
587,Nov 71,860.8
588,Oct 71,860.8
589,Sep 71,861.3
590,Aug 71,862.3
591,Jul 71,862.6
592,Jun 71,862.8
593,May 71,862.5
594,Apr 71,862.7
595,Mar 71,864.3
