,Year,2019-valued British pounds
306,1713,206.85
307,1712,208.0
308,1711,191.63
309,1710,171.72
310,1709,180.1
311,1708,225.49
312,1707,241.94
313,1706,240.76
314,1705,237.54
315,1704,224.26
316,1703,243.47
317,1702,234.7
318,1701,229.13
319,1700,206.99
320,1699,187.89
321,1698,173.68
322,1697,184.85
323,1696,190.22
324,1695,209.01
325,1694,196.24
326,1693,193.96
327,1692,216.51
328,1691,250.93
329,1690,244.64
330,1689,256.14
331,1688,251.92
332,1687,241.21
333,1686,237.08
334,1685,208.25
335,1684,218.09
336,1683,220.78
337,1682,218.33
338,1681,215.04
339,1680,223.33
340,1679,207.34
341,1678,211.16
342,1677,223.31
343,1676,236.54
344,1675,203.42
345,1674,192.48
346,1673,219.58
347,1672,232.62
348,1671,223.19
349,1670,224.34
350,1669,219.59
351,1668,240.63
352,1667,241.97
353,1666,236.43
354,1665,220.6
355,1664,207.65
356,1663,206.76
357,1662,184.51
358,1661,188.74
359,1660,202.58
360,1659,190.78
361,1658,204.06
362,1657,222.02
363,1656,234.03
364,1655,270.61
365,1654,261.89
366,1653,228.24
367,1652,210.43
368,1651,189.33
369,1650,183.03
370,1649,176.85
371,1648,172.93
372,1647,189.71
373,1646,222.67
374,1645,233.43
375,1644,237.67
376,1643,233.19
377,1642,238.4
378,1641,226.03
379,1640,246.37
380,1639,231.19
381,1638,209.0
382,1637,217.2
383,1636,219.73
384,1635,225.36
385,1634,226.52
386,1633,229.86
387,1632,225.65
388,1631,206.75
389,1630,223.1
390,1629,261.01
391,1628,272.18
392,1627,269.21
393,1626,247.05
394,1625,246.99
395,1624,256.42
396,1623,246.84
397,1622,240.25
398,1621,273.66
399,1620,290.13
400,1619,272.24
401,1618,251.53
402,1617,251.17
403,1616,256.12
404,1615,260.23
405,1614,252.58
406,1613,248.94
407,1612,262.9
408,1611,276.42
409,1610,284.69
410,1609,251.66
411,1608,255.86
412,1607,296.93
413,1606,303.3
414,1605,305.97
415,1604,326.74
416,1603,332.86
417,1602,315.8
418,1601,305.14
419,1600,307.35
420,1599,318.53
421,1598,259.85
422,1597,235.44
423,1596,270.44
424,1595,286.59
425,1594,320.21
426,1593,369.25
427,1592,387.33
428,1591,347.41
429,1590,343.19
430,1589,386.99
431,1588,403.2
432,1587,336.22
433,1586,335.89
434,1585,398.49
435,1584,424.19
436,1583,423.12
437,1582,402.54
438,1581,399.58
439,1580,459.67
440,1579,430.66
441,1578,431.31
442,1577,399.53
443,1576,433.43
444,1575,441.3
445,1574,383.83
446,1573,447.67
447,1572,470.64
448,1571,518.61
449,1570,499.0
450,1569,489.27
451,1568,531.01
452,1567,534.02
453,1566,495.67
454,1565,512.7
455,1564,436.73
456,1563,453.4
457,1562,470.99
458,1561,470.0
459,1560,515.27
460,1559,536.93
461,1558,576.8
462,1557,396.91
463,1556,424.56
464,1555,516.53
465,1554,617.27
466,1553,607.83
467,1552,549.15
468,1551,487.15
469,1550,538.3
470,1549,683.93
471,1548,855.36
472,1547,842.84
473,1546,624.13
474,1545,673.94
475,1544,765.62
476,1543,817.96
477,1542,884.59
478,1541,856.44
479,1540,931.89
480,1539,977.76
481,1538,935.53
482,1537,821.51
483,1536,831.98
484,1535,864.54
485,1534,977.98
486,1533,862.4
487,1532,847.76
488,1531,862.23
489,1530,876.62
490,1529,877.36
491,1528,707.61
492,1527,992.55
493,1526,1120.38
494,1525,1098.92
495,1524,1000.31
496,1523,964.15
497,1522,959.63
498,1521,858.29
499,1520,916.09
500,1519,1038.36
501,1518,1040.66
502,1517,1162.03
503,1516,1012.35
504,1515,1090.58
505,1514,1091.29
506,1513,944.87
507,1512,1114.9
508,1511,1266.54
509,1510,1302.89
510,1509,1353.08
511,1508,1136.05
512,1507,1130.47
513,1506,1174.79
514,1505,1138.08
515,1504,1051.87
516,1503,1073.32
517,1502,999.85
518,1501,1038.75
519,1500,1226.05
520,1499,1154.17
521,1498,1178.63
522,1497,1101.61
523,1496,1334.39
524,1495,1223.66
525,1494,1192.93
526,1493,1191.84
527,1492,1101.47
528,1491,1068.86
529,1490,1133.84
530,1489,1119.36
531,1488,1141.99
532,1487,1112.2
533,1486,1160.4
534,1485,1153.51
535,1484,1013.69
536,1483,902.76
537,1482,1011.62
538,1481,1150.21
539,1480,1162.02
540,1479,1078.8
541,1478,1087.28
542,1477,1173.25
543,1476,1185.41
544,1475,1251.04
545,1474,1256.89
546,1473,1253.43
547,1472,1134.55
548,1471,1096.63
549,1470,1101.42
550,1469,1130.54
551,1468,1112.92
552,1467,1163.41
553,1466,1222.94
554,1465,1249.85
555,1464,1382.26
556,1463,1286.7
557,1462,1024.35
558,1461,1029.78
559,1460,1157.55
560,1459,1144.27
561,1458,1128.31
562,1457,1199.61
563,1456,1216.9
564,1455,1287.61
565,1454,1216.22
566,1453,1166.91
567,1452,1136.51
568,1451,1155.42
569,1450,1199.69
570,1449,1172.15
571,1448,1217.54
572,1447,1120.68
573,1446,1160.26
574,1445,1335.79
575,1444,1271.51
576,1443,1255.53
577,1442,1276.13
578,1441,1325.26
579,1440,1002.12
580,1439,834.29
581,1438,876.73
582,1437,1147.37
583,1436,1122.09
584,1435,1198.76
585,1434,1142.16
586,1433,1034.79
587,1432,1255.66
588,1431,1113.37
589,1430,993.5
590,1429,986.77
591,1428,1232.78
592,1427,1252.44
593,1426,1197.82
594,1425,1150.44
595,1424,1240.76
596,1423,1251.61
597,1422,1158.91
598,1421,1102.43
599,1420,1190.46
600,1419,1054.17
601,1418,1110.62
602,1417,965.5
603,1416,1051.83
604,1415,1182.28
605,1414,1196.52
606,1413,1161.23
607,1412,1167.51
608,1411,1080.17
609,1410,930.81
610,1409,1011.55
611,1408,1094.61
612,1407,1198.35
613,1406,1286.74
614,1405,1201.21
615,1404,1180.28
616,1403,1044.64
617,1402,922.01
618,1401,1037.16
619,1400,1109.25
620,1399,1139.22
621,1398,1085.9
622,1397,1062.36
623,1396,1247.97
624,1395,1256.93
625,1394,1295.73
626,1393,1336.17
627,1392,1157.05
628,1391,938.43
629,1390,1100.24
630,1389,1403.72
631,1388,1309.55
632,1387,1215.21
633,1386,1133.04
634,1385,1200.33
635,1384,1152.96
636,1383,1162.26
637,1382,1149.87
638,1381,1058.99
639,1380,1074.01
640,1379,1290.02
641,1378,1231.8
642,1377,1156.09
643,1376,903.89
644,1375,889.71
645,1374,1052.14
646,1373,922.18
647,1372,1011.52
648,1371,920.96
649,1370,681.05
650,1369,950.15
651,1368,948.85
652,1367,1037.79
653,1366,1059.19
654,1365,970.28
655,1364,883.39
656,1363,944.1
657,1362,1092.77
658,1361,1045.15
659,1360,1038.74
660,1359,1047.53
661,1358,990.42
662,1357,1001.02
663,1356,1035.1
664,1355,1086.7
665,1354,1133.51
666,1353,1073.88
667,1352,848.07
668,1351,965.51
669,1350,1150.1
670,1349,1375.46
671,1348,1094.41
672,1347,1092.11
673,1346,1338.64
674,1345,1407.87
675,1344,1243.92
676,1343,1390.92
677,1342,1358.91
678,1341,1422.63
679,1340,1212.72
680,1339,1579.81
681,1338,1446.55
682,1337,1306.67
683,1336,1223.62
684,1335,1279.78
685,1334,1269.39
686,1333,1196.76
687,1332,988.14
688,1331,1007.23
689,1330,1083.68
690,1329,1089.72
691,1328,1205.78
692,1327,1318.49
693,1326,1142.89
694,1325,969.51
695,1324,1044.55
696,1323,892.26
697,1322,768.19
698,1321,1035.93
699,1320,1108.95
700,1319,1247.5
701,1318,936.74
702,1317,696.72
703,1316,708.3
704,1315,1002.85
705,1314,1072.2
706,1313,1164.07
707,1312,1135.35
708,1311,927.8
709,1310,935.98
710,1309,986.63
711,1308,1142.01
712,1307,1269.99
713,1306,1213.21
714,1305,1229.33
715,1304,1372.39
716,1303,1315.35
717,1302,1243.86
718,1301,1187.35
719,1300,1119.42
720,1299,1147.38
721,1298,1146.39
722,1297,1238.76
723,1296,1067.29
724,1295,1012.89
725,1294,1057.3
726,1293,1232.04
727,1292,1237.5
728,1291,1157.09
729,1290,1355.22
730,1289,1577.04
731,1288,1705.0
732,1287,1395.71
733,1286,1256.07
734,1285,1357.76
735,1284,1139.89
736,1283,1147.91
737,1282,1105.47
738,1281,1277.22
739,1280,1192.69
740,1279,1350.08
741,1278,1246.84
742,1277,1078.81
743,1276,1221.9
744,1275,1089.75
745,1274,1065.82
746,1273,1210.64
747,1272,1004.61
748,1271,1055.46
749,1270,1330.79
750,1269,1303.0
751,1268,1554.19
752,1267,1327.81
753,1266,1425.39
754,1265,1434.16
755,1264,1486.53
756,1263,1512.98
757,1262,1360.28
758,1261,1378.6
759,1260,1461.37
760,1259,1303.2
761,1258,1244.26
762,1257,1223.5
763,1256,1418.21
764,1255,1805.83
765,1254,1855.79
766,1253,1417.82
767,1252,1629.77
768,1251,1675.72
769,1250,1564.38
770,1249,1712.3
771,1248,1266.08
772,1247,1250.07
773,1246,1654.61
774,1245,1905.25
775,1244,1851.14
776,1243,1798.56
777,1242,1747.48
778,1241,1697.84
779,1240,1649.62
780,1239,1602.77
781,1238,1557.24
782,1237,1513.01
783,1236,1667.87
784,1235,1620.4
785,1234,1634.11
786,1233,1647.94
787,1232,1549.58
788,1231,1521.49
789,1230,1493.91
790,1229,1466.83
791,1228,1440.23
792,1227,1414.12
793,1226,1414.31
794,1225,1279.04
795,1224,1914.17
796,1223,2111.84
797,1222,1783.17
798,1221,1505.66
799,1220,1685.7
800,1219,1472.1
801,1218,1426.01
802,1217,1663.0
803,1216,1925.4
804,1215,2047.53
805,1214,2177.4
806,1213,2104.04
807,1212,2033.14
808,1211,1782.57
809,1210,2000.43
810,1209,2051.99
