,Month,Number of people quarantined
204,May 22,77768
205,May 21,77461
206,May 20,76957
207,May 19,76645
208,May 18,80947
209,May 17,84542
210,May 16,90386
211,May 15,95068
212,May 14,96708
213,May 13,96062
214,May 12,96211
215,May 11,97002
216,May 10,100784
217,May 9,102996
218,May 8,104024
219,May 7,103913
220,May 6,101395
221,May 5,100765
222,May 4,96699
223,May 3,96612
224,May 2,95625
225,May 1,92458
226,Apr 30,88265
227,Apr 29,85837
228,Apr 28,82643
229,Apr 27,78878
230,Apr 26,79656
231,Apr 25,87003
232,Apr 24,97905
233,Apr 23,103129
234,Apr 22,98020
235,Apr 21,105602
236,Apr 20,111079
237,Apr 19,124311
238,Apr 18,118361
239,Apr 17,138004
240,Apr 16,142220
241,Apr 15,145875
242,Apr 14,144875
243,Apr 13,151548
244,Apr 12,162974
245,Apr 11,166974
246,Apr 10,158663
247,Apr 09,152898
248,Apr 08,153390
249,Apr 07,148130
250,Apr 06,143256
251,Apr 05,131888
252,Apr 04,160587
253,Apr 03,174997
254,Apr 02,183095
255,Mar 31,171994
256,Mar 24,167040
257,Mar 23,150746
258,Mar 22,128980
259,Mar 21,128920
260,Mar 20,109235
261,Mar 19,76764
262,Mar 18,57185
263,Mar 17,37510
264,Mar 16,10050
265,Mar 15,7535
266,Mar 14,4413
267,Mar 13,3151
268,Mar 12,2736
269,Mar 11,1193
270,Mar 10,1055
271,Mar 09,1014
272,Mar 08,932
273,Mar 07,1548
274,Mar 06,1299
275,Mar 05,490
276,Mar 04,349
