,Year,Cumulative number of cases
297,3/13/2020,176
298,3/12/2020,138
299,3/11/2020,103
300,3/9/2020,77
301,3/8/2020,62
302,3/7/2020,57
303,3/6/2020,51
304,3/5/2020,45
305,3/3/2020,33
306,3/1/2020,24
307,2/29/2020,15
308,2/27/2020,13
309,2/26/2020,12
310,2/25/2020,11
311,2/24/2020,10
312,2/21/2020,9
313,2/16/2020,8
314,2/8/2020,7
315,1/31/2020,4
