,Month,"Number of unemployed people (in 1,000s)"
354,Apr 91,2378
355,Mar 91,2306
356,Feb 91,2244
357,Jan 91,2196
358,Dec 90,2158
359,Nov 90,2115
360,Oct 90,2079
361,Sep 90,2049
362,Aug 90,2024
363,Jul 90,2009
364,Jun 90,2002
365,May 90,2004
366,Apr 90,2004
367,Mar 90,2004
368,Feb 90,2006
369,Jan 90,2012
370,Dec 89,2021
371,Nov 89,2027
372,Oct 89,2034
373,Sep 89,2045
374,Aug 89,2057
375,Jul 89,2071
376,Jun 89,2083
377,May 89,2106
378,Apr 89,2140
379,Mar 89,2179
380,Feb 89,2213
381,Jan 89,2253
382,Dec 88,2293
383,Nov 88,2333
384,Oct 88,2361
385,Sep 88,2385
386,Aug 88,2416
387,Jul 88,2452
388,Jun 88,2490
389,May 88,2526
390,Apr 88,2569
391,Mar 88,2613
392,Feb 88,2657
393,Jan 88,2697
394,Dec 87,2741
395,Nov 87,2788
396,Oct 87,2838
397,Sep 87,2885
398,Aug 87,2929
399,Jul 87,2973
400,Jun 87,3021
401,May 87,3061
402,Apr 87,3090
403,Mar 87,3113
404,Feb 87,3134
405,Jan 87,3150
406,Dec 86,3156
407,Nov 86,3165
408,Oct 86,3171
409,Sep 86,3177
410,Aug 86,3175
411,Jul 86,3168
412,Jun 86,3159
413,May 86,3154
414,Apr 86,3151
415,Mar 86,3150
416,Feb 86,3143
417,Jan 86,3138
418,Dec 85,3135
419,Nov 85,3133
420,Oct 85,3135
421,Sep 85,3137
422,Aug 85,3139
423,Jul 85,3145
424,Jun 85,3152
425,May 85,3156
426,Apr 85,3169
427,Mar 85,3180
428,Feb 85,3195
429,Jan 85,3206
430,Dec 84,3217
431,Nov 84,3229
432,Oct 84,3233
433,Sep 84,3238
434,Aug 84,3242
435,Jul 84,3256
436,Jun 84,3265
437,May 84,3278
438,Apr 84,3263
439,Mar 84,3243
440,Feb 84,3215
441,Jan 84,3189
442,Dec 83,3167
443,Nov 83,3146
444,Oct 83,3125
445,Sep 83,3109
446,Aug 83,3093
447,Jul 83,3074
448,Jun 83,3049
449,May 83,3023
450,Apr 83,3008
451,Mar 83,2998
452,Feb 83,2988
453,Jan 83,2976
454,Dec 82,2960
455,Nov 82,2938
456,Oct 82,2917
457,Sep 82,2897
458,Aug 82,2877
459,Jul 82,2857
460,Jun 82,2841
461,May 82,2824
462,Apr 82,2813
463,Mar 82,2803
464,Feb 82,2792
465,Jan 82,2780
466,Dec 81,2761
467,Nov 81,2740
468,Oct 81,2713
469,Sep 81,2684
470,Aug 81,2654
471,Jul 81,2624
472,Jun 81,2588
473,May 81,2544
474,Apr 81,2476
475,Mar 81,2403
476,Feb 81,2330
477,Jan 81,2255
478,Dec 80,2169
479,Nov 80,2077
480,Oct 80,1989
481,Sep 80,1905
482,Aug 80,1828
483,Jul 80,1756
484,Jun 80,1700
485,May 80,1648
486,Apr 80,1603
487,Mar 80,1558
488,Feb 80,1521
489,Jan 80,1490
490,Dec 79,1471
491,Nov 79,1453
492,Oct 79,1441
493,Sep 79,1430
494,Aug 79,1422
495,Jul 79,1415
496,Jun 79,1405
497,May 79,1405
498,Apr 79,1414
499,Mar 79,1420
500,Feb 79,1417
501,Jan 79,1413
502,Dec 78,1421
503,Nov 78,1435
504,Oct 78,1449
505,Sep 78,1455
506,Aug 78,1459
507,Jul 78,1459
508,Jun 78,1463
509,May 78,1466
510,Apr 78,1469
511,Mar 78,1474
512,Feb 78,1484
513,Jan 78,1493
514,Dec 77,1499
515,Nov 77,1502
516,Oct 77,1498
517,Sep 77,1493
518,Aug 77,1481
519,Jul 77,1467
520,Jun 77,1452
521,May 77,1441
522,Apr 77,1437
523,Mar 77,1436
524,Feb 77,1436
525,Jan 77,1435
526,Dec 76,1432
527,Nov 76,1431
528,Oct 76,1432
529,Sep 76,1430
530,Aug 76,1425
531,Jul 76,1419
532,Jun 76,1413
533,May 76,1405
534,Apr 76,1392
535,Mar 76,1379
536,Feb 76,1363
537,Jan 76,1343
538,Dec 75,1319
539,Nov 75,1286
540,Oct 75,1252
541,Sep 75,1221
542,Aug 75,1193
543,Jul 75,1162
544,Jun 75,1126
545,May 75,1089
546,Apr 75,1055
547,Mar 75,1029
548,Feb 75,1007
549,Jan 75,989
550,Dec 74,976
551,Nov 74,969
552,Oct 74,965
553,Sep 74,958
554,Aug 74,951
555,Jul 74,941
556,Jun 74,937
557,May 74,933
558,Apr 74,931
559,Mar 74,923
560,Feb 74,904
561,Jan 74,892
562,Dec 73,888
563,Nov 73,901
564,Oct 73,913
565,Sep 73,927
566,Aug 73,943
567,Jul 73,957
568,Jun 73,968
569,May 73,977
570,Apr 73,987
571,Mar 73,1002
572,Feb 73,1024
573,Jan 73,1049
574,Dec 72,1070
575,Nov 72,1085
576,Oct 72,1092
577,Sep 72,1100
578,Aug 72,1107
579,Jul 72,1122
580,Jun 72,1140
581,May 72,1155
582,Apr 72,1161
583,Mar 72,1155
584,Feb 72,1149
585,Jan 72,1143
586,Dec 71,1133
587,Nov 71,1113
588,Oct 71,1090
589,Sep 71,1076
590,Aug 71,1068
591,Jul 71,1062
592,Jun 71,1045
593,May 71,1023
594,Apr 71,998
595,Mar 71,980
