,Month,Index points
245,May 3,3.2
246,May 2,3.0
247,May 1,2.9
248,Apr 30,2.7
249,Apr 29,2.7
250,Apr 28,2.7
251,Apr 27,2.8
252,Apr 26,3.5
253,Apr 25,3.3
254,Apr 24,3.2
255,Apr 23,3.0
256,Apr 22,2.9
257,Apr 21,2.9
258,Apr 20,3.0
259,Apr 19,3.7
260,Apr 18,3.5
261,Apr 17,3.3
262,Apr 16,3.3
263,Apr 15,3.3
264,Apr 14,3.4
265,Apr 13,3.3
266,Apr 12,3.9
267,Apr 11,3.6
268,Apr 10,3.5
269,Apr 9,3.6
270,Apr 8,3.6
271,Apr 7,3.6
272,Apr 6,3.6
273,Apr 5,4.1
274,Apr 4,4.0
275,Apr 3,3.8
276,Apr 2,3.9
277,Apr 1,3.9
278,Mar 31,3.9
279,Mar 30,3.8
280,Mar 29,3.7
281,Mar 28,3.4
282,Mar 27,2.5
283,Mar 26,2.4
284,Mar 25,3.1
285,Mar 24,3.1
286,Mar 23,3.2
287,Mar 22,3.5
288,Mar 21,3.0
289,Mar 20,2.1
290,Mar 19,2.1
291,Mar 18,1.6
292,Mar 17,1.4
293,Mar 16,1.2
294,Mar 15,2.5
295,Mar 14,1.9
296,Mar 13,0.5
297,Mar 12,0.5
298,Mar 11,0.5
299,Mar 10,0.5
300,Mar 9,2.2
301,Mar 8,2.3
302,Mar 7,1.7
303,Mar 6,0.5
304,Mar 5,0.4
305,Mar 4,0.5
