,Month,Daily new cases
196,"Jun 23, 2020",113
197,"Jun 22, 2020",221
198,"Jun 21, 2020",224
199,"Jun 20, 2020",264
200,"Jun 19, 2020",-148
201,"Jun 18, 2020",331
202,"Jun 17, 2020",328
203,"Jun 16, 2020",210
204,"Jun 15, 2020",301
205,"Jun 14, 2020",338
206,"Jun 13, 2020",346
207,"Jun 12, 2020",163
208,"Jun 11, 2020",379
209,"Jun 10, 2020",202
210,"Jun 9, 2020",283
211,"Jun 8, 2020",280
212,"Jun 7, 2020",197
213,"Jun 6, 2020",270
214,"Jun 5, 2020",518
215,"Jun 4, 2020",177
216,"Jun 3, 2020",321
217,"Jun 2, 2020",318
218,"Jun 1, 2020",200
219,"May 31, 2020",333
220,"May 30, 2020",416
221,"May 29, 2020",516
222,"May 28, 2020",593
223,"May 27, 2020",584
224,"May 26, 2020",397
225,"May 25, 2020",300
226,"May 24, 2020",531
227,"May 23, 2020",669
228,"May 22, 2020",652
229,"May 21, 2020",642
230,"May 20, 2020",665
231,"May 19, 2020",813
232,"May 18, 2020",425
233,"May 17, 2020",675
234,"May 16, 2020",875
235,"May 15, 2020",789
236,"May 14, 2020",992
237,"May 13, 2020",888
238,"May 12, 2020",1402
239,"May 11, 2020",744
240,"May 10, 2020",802
241,"May 9, 2020",1083
242,"May 8, 2020",1327
243,"May 7, 2020",1401
244,"May 6, 2020",1444
245,"May 5, 2020",1071
246,"May 4, 2020",1221
247,"May 3, 2020",1389
248,"May 2, 2020",1900
249,"May 1, 2020",1965
250,"Apr 30, 2020",1872
251,"Apr 29, 2020",2086
252,"Apr 28, 2020",2091
253,"Apr 27, 2020",1739
254,"Apr 26, 2020",2324
255,"Apr 25, 2020",2357
256,"Apr 24, 2020",3021
257,"Apr 23, 2020",2646
258,"Apr 22, 2020",3370
259,"Apr 21, 2020",2729
260,"Apr 20, 2020",2256
261,"Apr 19, 2020",3047
262,"Apr 18, 2020",3491
263,"Apr 17, 2020",3493
264,"Apr 16, 2020",3786
265,"Apr 15, 2020",2667
266,"Apr 14, 2020",2972
267,"Apr 13, 2020",3153
268,"Apr 12, 2020",4092
269,"Apr 11, 2020",4694
270,"Apr 10, 2020",3951
271,"Apr 9, 2020",4204
272,"Apr 8, 2020",3836
273,"Apr 7, 2020",3039
274,"Apr 6, 2020",3599
275,"Apr 5, 2020",4316
276,"Apr 4, 2020",4805
277,"Apr 3, 2020",4585
278,"Apr 2, 2020",4668
279,"Apr 1, 2020",4782
280,"Mar 31, 2020",4053
281,"Mar 30, 2020",4050
282,"Mar 29, 2020",5217
283,"Mar 28, 2020",5974
284,"Mar 27, 2020",5909
285,"Mar 26, 2020",6153
286,"Mar 25, 2020",5210
287,"Mar 24, 2020",5249
288,"Mar 23, 2020",4789
289,"Mar 22, 2020",5560
290,"Mar 21, 2020",6557
291,"Mar 20, 2020",5986
292,"Mar 19, 2020",5322
293,"Mar 18, 2020",4207
294,"Mar 17, 2020",3526
295,"Mar 16, 2020",3233
296,"Mar 15, 2020",3590
297,"Mar 14, 2020",3497
298,"Mar 13, 2020",2547
299,"Mar 12, 2020",2651
300,"Mar 11, 2020",2313
301,"Mar 10, 2020",977
302,"Mar 9, 2020",1797
303,"Mar 8, 2020",1429
304,"Mar 7, 2020",1247
305,"Mar 6, 2020",778
306,"Mar 5, 2020",769
307,"Mar 4, 2020",587
308,"Mar 3, 2020",466
309,"Mar 2, 2020",335
310,"Mar 1, 2020",573
311,"Feb 29, 2020",239
312,"Feb 28, 2020",234
313,"Feb 27, 2020",185
314,"Feb 26, 2020",147
315,"Feb 25, 2020",94
316,"Feb 24, 2020",72
317,"Feb 23, 2020",78
318,"Feb 22, 2020",58
