,Year,Cumulative number of positive cases
239,5/11/20,337055
240,5/10/20,335395
241,5/9/20,333122
242,5/8/20,330407
243,5/7/20,327649
244,5/6/20,323978
245,5/5/20,321192
246,5/4/20,318953
247,5/3/20,316415
248,5/2/20,312977
249,5/1/20,308314
250,4/30/20,304372
251,4/29/20,299691
252,4/28/20,295106
253,4/27/20,291996
254,4/26/20,288045
255,4/25/20,282143
256,4/24/20,271590
257,4/23/20,263460
258,4/22/20,257216
259,4/21/20,251690
260,4/20/20,247512
261,4/19/20,242786
262,4/18/20,236732
263,4/17/20,229642
264,4/16/20,222284
265,4/15/20,213779
266,4/14/20,202208
267,4/13/20,195031
268,4/12/20,188694
269,4/11/20,180458
270,4/10/20,170512
271,4/9/20,159937
272,4/8/20,149316
273,4/7/20,138863
274,4/6/20,130689
275,4/5/20,122031
276,4/4/20,113704
277,4/3/20,102863
278,4/2/20,92381
279,4/1/20,83712
280,3/31/20,75795
281,3/30/20,66497
282,3/29/20,59513
283,3/28/20,52318
284,3/27/20,44635
285,3/26/20,37258
286,3/25/20,30811
287,3/24/20,25665
288,3/23/20,20875
289,3/22/20,15168
290,3/21/20,10356
291,3/20/20,7102
292,3/19/20,4152
293,3/18/20,2382
294,3/17/20,1700
295,3/16/20,950
296,3/15/20,729
297,3/14/20,524
298,3/13/20,421
299,3/12/20,216
300,3/11/20,216
301,3/10/20,173
302,3/9/20,142
303,3/8/20,105
304,3/7/20,76
305,3/6/20,33
306,3/5/20,22
307,3/4/20,6
