,NFL Game,Rating,Viewers (in millions)
73,Bears vs. Eagles (FOX) (week 12),8.9,15.36
74,Various (CBS) (week 12),6.5,10.91
75,Texans vs. Ravens (ESPN) (week 12),5.1,8.27
76,Panthers vs. Saints (FOX) (week 13),12,20.22
77,Eagles vs. Seahawks (NBC) (week 13),11.3,19.69
78,"Redskins vs. Cowboys (NBC, NFLN, Amazon) (week 13)",9.4,15.6
79,Various (CBS) (week 13),9.1,15.13
80,Vikings vs. Falcons (FOX) (week 13),6.8,11.17
81,Steelers vs. Bengals (ESPN) (week 13),6.7,10.84
82,Eagles vs. Rams (FOX) (week 14),13.7,23.78
83,Ravens vs. Steelers (NBC) (week 14),10.1,17.2
84,Cowboys vs. Giants (FOX) (week 14),9.1,15.54
85,"Saints vs. Falcons (NBC, NFLN, Amazon) (week 14)",8.9,14.61
86,Various (CBS) (week 14),8.15,13.89
87,Patriots vs. Dolphins (ESPN) (week 14),7.2,11.78
88,Patriots vs. Steelers (CBS) (week 15),15.2,26.88
89,Cowboys vs. Raiders (NBC) (week 15),11.1,19.19
90,Packers vs. Panthers (FOX) (week 15),10.6,18.05
91,"Broncos vs. Colts (NBC, NFLN, Amazon) (week 15)",6.5,10.64
92,Various (CBS) (week 15),6,9.91
93,Falcons vs. Buccaneers (ESPN) (week 15),5.7,9.41
94,Chargers vs. Chiegs (NFLN) (week 15),4,6.99
95,Bears vs. Lions (NFLN) (week 15),3.1,5.18
96,Seahawks vs. Cowboys (FOX) (week 16),12.2,23.03
97,"Steelers vs. Texans (NBC, NFLN, Amazon) (week 16)",8,16.92
98,Patriots vs. Bills (CBS) (week 16),8.9,15.81
99,Vikings vs. Packers (NBC) (week 16),8.4,15.29
100,Falcons vs. Saints (FOX) (week 16),6.9,12.41
101,Raiders vs. Eagles (ESPN) (week 16),5.9,11.74
102,Colts vs. Ravens (NFLN) (week 16),3.1,5.4
103,Panthers vs. Falcons (FOX) (week 17),11.45,20.78
104,Bengals vs. Ravens (CBS) (week 17),8.7,15.6
105,Bears vs. Vikings (FOX) (week 17),7.9,13.59
106,Various (CBS) (week 17),6.6,11.21
107,Panthers vs. Saints (FOX) (Wild Card),17.5,31.15
108,Bills vs. Jaguars (CBS) (Wild Card),15.15,25.3
109,Falcons vs. Rams (NBC) (Wild Card),12.8,22.82
110,"Titans vs. Chiefs (ESPN, ABC) (Wild Card)",13,22.18
111,Saints vs. Vikings (FOX) (Divisional Round),19.3,35.65
112,Jaguars vs. Steelers (CBS) (Divisional Round),18.3,31.45
113,Falcons vs. Eagles (NBC) (Divisional Round),15.5,27.07
114,Titans vs. Patriots (CBS) (Divisional Round),14.5,26.69
115,Jaguars vs. Patriots (CBS) (Conference Championship),24.3,44.08
116,Vikings vs. Eagles (FOX) (Conference Championship),21.7,42.3
117,Eagles vs. Patriots (NBC) (Super Bowl),43.1,103.4
