,Month,Number of active cases
74,"Oct 23, 2020",186002
75,"Oct 22, 2020",169302
76,"Oct 21, 2020",155442
77,"Oct 20, 2020",142739
78,"Oct 19, 2020",134003
79,"Oct 18, 2020",126237
80,"Oct 17, 2020",116935
81,"Oct 16, 2020",107312
82,"Oct 15, 2020",99266
83,"Oct 14, 2020",92445
84,"Oct 13, 2020",87193
85,"Oct 12, 2020",82764
86,"Oct 11, 2020",79075
87,"Oct 10, 2020",74829
88,"Oct 9, 2020",70110
89,"Oct 8, 2020",65952
90,"Oct 7, 2020",62576
91,"Oct 6, 2020",60134
92,"Oct 5, 2020",58903
93,"Oct 4, 2020",57429
94,"Oct 3, 2020",55566
95,"Oct 2, 2020",53997
96,"Oct 1, 2020",52647
97,"Sep 30, 2020",51263
98,"Sep 29, 2020",50630
99,"Sep 28, 2020",50323
100,"Sep 27, 2020",49618
101,"Sep 26, 2020",48593
102,"Sep 25, 2020",47718
103,"Sep 24, 2020",46780
104,"Sep 23, 2020",46114
105,"Sep 22, 2020",45489
106,"Sep 21, 2020",45079
107,"Sep 20, 2020",44098
108,"Sep 19, 2020",43161
109,"Sep 18, 2020",42457
110,"Sep 17, 2020",41413
111,"Sep 16, 2020",40532
112,"Sep 15, 2020",39712
113,"Sep 14, 2020",39187
114,"Sep 13, 2020",38509
115,"Sep 12, 2020",37503
116,"Sep 11, 2020",36767
117,"Sep 10, 2020",35708
118,"Sep 9, 2020",34734
119,"Sep 8, 2020",33789
120,"Sep 7, 2020",32993
121,"Sep 6, 2020",32078
122,"Sep 5, 2020",31194
123,"Sep 4, 2020",30099
124,"Sep 3, 2020",28915
125,"Sep 2, 2020",27817
126,"Sep 1, 2020",26754
127,"Aug 31 , 2020",26078
128,"Aug 30 , 2020",25205
129,"Aug 29 , 2020",24156
130,"Aug 28 , 2020",23035
131,"Aug 27 , 2020",21932
132,"Aug 26 , 2020",20753
133,"Aug 25 , 2020",19714
134,"Aug 24 , 2020",19195
135,"Aug 23 , 2020",18438
136,"Aug 22 , 2020",17503
137,"Aug 21, 2020",16678
138,"Aug 20 , 2020",16014
139,"Aug 19 , 2020",15360
140,"Aug 18 , 2020",15089
141,"Aug 17, 2020",14867
142,"Aug 16, 2020",14733
143,"Aug 15, 2020",14406
144,"Aug 14, 2020",14249
145,"Aug 13, 2020",14081
146,"Aug 12, 2020",13791
147,"Aug 11, 2020",13561
148,"Aug 10, 2020",13368
149,"Aug 9, 2020",13263
150,"Aug 8, 2020",12953
151,"Aug 7, 2020",12924
152,"Aug 6, 2020",12694
153,"Aug 5, 2020",12646
154,"Aug 4, 2020",12482
155,"Aug 3, 2020",12474
156,"Aug 2 , 2020",12456
157,"Aug 1 , 2020",12457
158,"Jul 31 , 2020",12422
159,"Jul 30 , 2020",12230
160,"Jul 29 , 2020",12616
161,"Jul 28 , 2020",12609
162,"Jul 27 , 2020",12581
163,"Jul 26 , 2020",12565
164,"Jul 25 , 2020",12442
165,"Jul 24 , 2020",12301
166,"Jul 23 , 2020",12404
167,"Jul 22 , 2020",12322
168,"Jul 21 , 2020",12248
169,"Jul 20, 2020",12404
170,"Jul 19 , 2020",12440
171,"Jul 18 , 2020",12368
172,"Jul 17 , 2020",12456
173,"Jul 16 , 2020",12473
174,"Jul 15 , 2020",12493
175,"Jul 14 , 2020",12919
176,"Jul 13 , 2020",13157
177,"Jul 12 , 2020",13179
178,"Jul 11 , 2020",13303
179,"Jul 10 , 2020",13428
180,"Jul 9 , 2020",13459
181,"Jul 8, 2020",13595
182,"Jul 7, 2020",14242
183,"Jul 6, 2020",14709
184,"Jul 5, 2020",14642
185,"Jul 4, 2020",14621
186,"Jul 3, 2020",14884
187,"Jul 2, 2020",15060
188,"Jul 1, 2020",15255
189,"Jun 30, 2020",15563
190,"Jun 29, 2020",16496
191,"Jun 28, 2020",16681
192,"Jun 27, 2020",16836
193,"Jun 26, 2020",17638
194,"Jun 25, 2020",18303
195,"Jun 24, 2020",18655
196,"Jun 23, 2020",19573
197,"Jun 22, 2020",20637
198,"Jun 21, 2020",20972
199,"Jun 20, 2020",21212
200,"Jun 19, 2020",21543
201,"Jun 18, 2020",23101
202,"Jun 17, 2020",23925
203,"Jun 16, 2020",24569
204,"Jun 15, 2020",25909
205,"Jun 14, 2020",26274
206,"Jun 13, 2020",27485
207,"Jun 12, 2020",28997
208,"Jun 11, 2020",30637
209,"Jun 10, 2020",31710
210,"Jun 9, 2020",32872
211,"Jun 8, 2020",34730
212,"Jun 7, 2020",35262
213,"Jun 6, 2020",35877
214,"Jun 5, 2020",36976
215,"Jun 4, 2020",38429
216,"Jun 3, 2020",39297
217,"Jun 2, 2020",39893
218,"Jun 1, 2020",41367
219,"May 31, 2020",42097
220,"May 30, 2020",43691
221,"May 29, 2020",46175
222,"May 28, 2020",47986
223,"May 27, 2020",50966
224,"May 26, 2020",52942
225,"May 25, 2020",55300
226,"May 24, 2020",56549
227,"May 23, 2020",57752
228,"May 22, 2020",59322
229,"May 21, 2020",60960
230,"May 20, 2020",62752
231,"May 19, 2020",65129
232,"May 18, 2020",66553
233,"May 17, 2020",68351
234,"May 16, 2020",70187
235,"May 15, 2020",72070
236,"May 14, 2020",76440
237,"May 13, 2020",78457
238,"May 12, 2020",81266
239,"May 11, 2020",82488
240,"May 10, 2020",83324
241,"May 9, 2020",84842
242,"May 8, 2020",87961
243,"May 7, 2020",89624
244,"May 6, 2020",91528
245,"May 5, 2020",98467
246,"May 4, 2020",99980
247,"May 3, 2020",100179
248,"May 2, 2020",100704
249,"May 1, 2020",100943
250,"Apr 30, 2020",101551
251,"Apr 29, 2020",104657
252,"Apr 28, 2020",105205
253,"Apr 27, 2020",105813
254,"Apr 26, 2020",106103
255,"Apr 25, 2020",105847
256,"Apr 24, 2020",106527
257,"Apr 23, 2020",106848
258,"Apr 22, 2020",107699
259,"Apr 21, 2020",107709
260,"Apr 20, 2020",108237
261,"Apr 19, 2020",108257
262,"Apr 18, 2020",107771
263,"Apr 17, 2020",106962
264,"Apr 16, 2020",106607
265,"Apr 15, 2020",105418
266,"Apr 14, 2020",104291
267,"Apr 13, 2020",103616
268,"Apr 12, 2020",102253
269,"Apr 11, 2020",100269
270,"Apr 10, 2020",98273
271,"Apr 9, 2020",96877
272,"Apr 8, 2020",95262
273,"Apr 7, 2020",94067
274,"Apr 6, 2020",93187
275,"Apr 5, 2020",91246
276,"Apr 4, 2020",88274
277,"Apr 3, 2020",85388
278,"Apr 2, 2020",83049
279,"Apr 1, 2020",80572
280,"Mar 31, 2020",77635
281,"Mar 30, 2020",75528
282,"Mar 29, 2020",73880
283,"Mar 28, 2020",70065
284,"Mar 27, 2020",66414
285,"Mar 26, 2020",62031
286,"Mar 25, 2020",57521
287,"Mar 24, 2020",54030
288,"Mar 23, 2020",50418
289,"Mar 22, 2020",46638
290,"Mar 21, 2020",42681
291,"Mar 20, 2020",37860
292,"Mar 19, 2020",33190
293,"Mar 18, 2020",28710
294,"Mar 17, 2020",26062
295,"Mar 16, 2020",23073
296,"Mar 15, 2020",20603
297,"Mar 14, 2020",17750
298,"Mar 13, 2020",14955
299,"Mar 12, 2020",12839
300,"Mar 11, 2020",10590
301,"Mar 10, 2020",8514
302,"Mar 9, 2020",7985
303,"Mar 8, 2020",6387
304,"Mar 7, 2020",5061
305,"Mar 6, 2020",3916
306,"Mar 5, 2020",3296
307,"Mar 4, 2020",2706
308,"Mar 3, 2020",2263
309,"Mar 2, 2020",1835
310,"Mar 1, 2020",1577
311,"Feb 29, 2020",1049
312,"Feb 28, 2020",822
313,"Feb 27, 2020",593
314,"Feb 26, 2020",455
315,"Feb 25, 2020",310
316,"Feb 24, 2020",221
317,"Feb 23, 2020",152
318,"Feb 22, 2020",75
319,"Feb 21, 2020",19
320,"Feb 20, 2020",4
321,"Feb 19, 2020",3
322,"Feb 18, 2020",3
323,"Feb 17, 2020",3
324,"Feb 16, 2020",3
325,"Feb 15, 2020",3
