,Month,Number of tests
120,"Jul 27, 3030",1584
121,"Jul 26, 2020",1334
122,"Jul 25, 2020",1725
123,"Jul 24, 2020",1704
124,"Jul 23, 2020",1645
125,"Jul 22, 2020",2171
126,"Jul 21, 2020",877
127,"Jul 20, 2020",1634
128,"Jul 19, 2020",1229
129,"Jul 18, 2020",1450
130,"Jul 17, 2020",1649
131,"Jul 16, 2020",1167
132,"Jul 15, 2020",2055
133,"Jul 14, 2020",2170
134,"Jul 13, 2020",1964
135,"Jul 12, 2020",2149
136,"Jul 11, 2020",2103
137,"Jul 10, 2020",1467
138,"Jul 09, 2020",2300
139,"Jul 08, 2020",1472
140,"Jul 07, 2020",1909
141,"Jul 06, 2020",1504
142,"Jul 05, 2020",1964
143,"Jul 04, 2020",1951
144,"Jul 03, 2020",1887
145,"Jul 02, 2020",1944
146,"Jul 01, 2020",1003
147,"Jun 30, 2020",2041
148,"Jun 29, 2020",1880
149,"Jun 28, 2020",1615
150,"Jun 27, 2020",1140
151,"Jun 26, 2020",1273
152,"Jun 25, 2020",992
153,"Jun 24, 2020",558
154,"Jun 23, 2020",1499
155,"Jun 22, 2020",887
156,"Jun 21, 2020",779
157,"Jun 20, 2020",1025
158,"Jun 19, 2020",844
159,"Jun 18, 2020",741
160,"Jun 17, 2020",700
161,"Jun 16, 2020",1027
162,"Jun 15, 2020",876
163,"Jun 14, 2020",14
164,"Jun 13, 2020",60
165,"Jun 12, 2020",79
166,"Jun 11, 2020",69
167,"Jun 10, 2020",65
168,"Jun 09, 2020",41
169,"Jun 08, 2020",68
170,"Jun 07, 2020",7
171,"Jun 06, 2020",27
172,"Jun 05, 2020",538
173,"Jun 04, 2020",550
174,"Jun 03, 2020",325
175,"Jun 02, 2020",199
176,"Jun 01, 2020",18
177,"May 31, 2020",16
178,"May 30, 2020",97
179,"May 29, 2020",534
180,"May 28, 2020",350
181,"May 27, 2020",528
182,"May 26, 2020",526
183,"May 25, 2020",231
184,"May 24, 2020",12
185,"May 23, 2020",58
186,"May 22, 2020",491
187,"May 21, 2020",70
188,"May 20, 2020",597
189,"May 19, 2020",441
190,"May 18, 2020",305
191,"May 17, 2020",7
192,"May 16, 2020",133
193,"May 15, 2020",523
194,"May 14, 2020",593
195,"May 13, 2020",551
196,"May 12, 2020",284
197,"May 11, 2020",578
198,"May 10, 2020",18
199,"May 09, 2020",935
200,"May 08, 2020",515
201,"May 07, 2020",462
202,"May 06, 2020",620
203,"May 05, 2020",318
204,"May 04, 2020",868
205,"May 03, 2020",71
206,"May 02, 2020",404
207,"May 01, 2020",867
208,"Apr 30, 2020",722
209,"Apr 29, 2020",840
210,"Apr 28, 2020",508
211,"Apr 27, 2020",688
212,"Apr 26, 2020",25
213,"Apr 25, 2020",381
214,"Apr 24, 2020",685
215,"Apr 23, 2020",193
216,"Apr 22, 2020",625
217,"Apr 21, 2020",637
218,"Apr 20, 2020",688
219,"Apr 19, 2020",381
220,"Apr 18, 2020",1671
221,"Apr 17, 2020",1555
222,"Apr 16, 2020",1332
223,"Apr 15, 2020",818
224,"Apr 14, 2020",1047
225,"Apr 13, 2020",851
226,"Apr 12, 2020",235
227,"Apr 11, 2020",618
228,"Apr 10, 2020",510
229,"Apr 09, 2020",1502
230,"Apr 08, 2020",1676
231,"Apr 07, 2020",1955
232,"Apr 06, 2020",1112
233,"Apr 05, 2020",2486
234,"Apr 04, 2020",1754
235,"Apr 03, 2020",1445
236,"Apr 02, 2020",1265
237,"Apr 01, 2020",1414
238,"Mar 31, 2020",1612
239,"Mar 30, 2020",1420
240,"Mar 29, 2020",1000
241,"Mar 28, 2020",849
242,"Mar 27, 2020",1022
243,"Mar 26, 2020",998
244,"Mar 25, 2020",888
245,"Mar 24, 2020",967
246,"Mar 23, 2020",459
247,"Mar 22, 2020",183
248,"Mar 21, 2020",350
249,"Mar 20, 2020",579
250,"Mar 19, 2020",1311
251,"Mar 18, 2020",1828
252,"Mar 17, 2020",1400
253,"Mar 16, 2020",1707
254,"Mar 15, 2020",1075
255,"Mar 14, 2020",323
256,"Mar 13, 2020",357
257,"Mar 12, 2020",253
258,"Mar 11, 2020",149
259,"Mar 10, 2020",169
260,"Mar 09, 2020",98
261,"Mar 08, 2020",37
262,"Mar 07, 2020",58
263,"Mar 06, 2020",57
264,"Mar 05, 2020",62
265,"Mar 04, 2020",81
266,"Mar 03, 2020",45
267,"Mar 02, 2020",48
268,"Mar 01, 2020",22
269,"Feb 29, 2020",32
270,"Feb 28, 2020",13
271,"Feb 27, 2020",23
