,Month,Number of daily confirmed cases
236,May 12,15874
237,May 11,15787
238,May 10,15777
239,May 9,15735
240,May 8,15673
241,May 7,15651
242,May 6,15586
243,May 5,15569
244,May 4,15538
245,May 3,15470
246,May 2,15458
247,May 1,15424
248,Apr 30,15364
249,Apr 29,15314
250,Apr 28,15256
251,Apr 27,15189
252,Apr 26,15134
253,Apr 25,15068
254,Apr 24,14985
255,Apr 23,14924
256,Apr 22,14833
257,Apr 21,14783
258,Apr 20,14710
259,Apr 19,14662
260,Apr 18,14603
261,Apr 17,14448
262,Apr 16,14370
263,Apr 15,14234
264,Apr 14,14043
265,Apr 13,13937
266,Apr 12,13807
267,Apr 11,13560
268,Apr 10,13248
269,Apr 9,12969
270,Apr 8,12640
271,Apr 7,12297
272,Apr 6,11983
273,Apr 5,11766
274,Apr 4,11525
275,Apr 3,11129
276,Apr 2,10711
277,Apr 1,10182
278,Mar 31,9618
279,Mar 30,8813
280,Mar 29,8291
281,Mar 28,7697
282,Mar 27,7029
283,Mar 26,5888
284,Mar 25,5282
285,Mar 24,4486
286,Mar 23,3631
287,Mar 22,3024
288,Mar 21,2649
289,Mar 20,1843
290,Mar 19,1646
291,Mar 18,1471
292,Mar 17,1132
293,Mar 16,959
294,Mar 15,800
295,Mar 14,504
296,Mar 13,504
297,Mar 12,302
298,Mar 11,182
299,Mar 10,131
300,Mar 9,112
301,Mar 8,102
302,Mar 7,74
303,Mar 6,47
304,Mar 5,37
305,Mar 4,27
306,Mar 3,18
307,Mar 2,10
308,Mar 1,10
309,Feb 29,10
310,Feb 28,5
311,Feb 27,4
312,Feb 26,2
313,Feb 25,2
