,Month,Cumulative number of hospitalizations
95,Sep 16,353
96,Sep 15,315
97,Sep 14,318
98,Sep 13,293
99,Sep 12,260
100,Sep 11,254
101,Sep 10,249
102,Sep 9,250
103,Sep 8,260
104,Sep 7,235
105,Sep 6,223
106,Sep 5,215
107,Sep 4,215
108,Sep 3,209
109,Sep 2,221
110,Sep 1,226
111,Aug 31,243
112,Aug 30,233
113,Aug 29,230
114,Aug 28,252
115,Aug 27,257
116,Aug 26,260
117,Aug 25,282
118,Aug 24,320
119,Aug 23,312
120,Aug 22,310
121,Aug 21,314
122,Aug 20,303
123,Aug 19,314
124,Aug 18,334
125,Aug 17,335
126,Aug 16,341
127,Aug 15,337
128,Aug 14,309
129,Aug 13,312
130,Aug 12,309
131,Aug 11,301
132,Aug 10,307
133,Aug 9,312
134,Aug 8,287
135,Aug 7,285
136,Aug 6,278
137,Aug 5,293
138,Aug 4,265
139,Aug 3,290
140,Aug 2,271
141,Aug 1,259
142,Jul 31,253
143,Jul 30,267
144,Jul 29,263
145,Jul 28,232
146,Jul 27,222
147,Jul 26,211
148,Jul 25,210
149,Jul 24,218
150,Jul 23,203
151,Jul 22,191
152,Jul 21,172
153,Jul 20,180
154,Jul 19,168
155,Jul 18,161
156,Jul 17,145
157,Jul 16,147
158,Jul 15,150
159,Jul 14,147
160,Jul 13,138
161,Jul 12,130
162,Jul 11,132
163,Jul 10,143
164,Jul 9,160
165,Jul 8,165
166,Jul 7,178
167,Jul 6,169
168,Jul 5,170
169,Jul 4,170
170,Jul 3,168
171,Jul 2,187
172,Jul 1,203
173,Jun 30,222
174,Jun 29,244
175,Jun 28,237
176,Jun 27,237
177,Jun 26,247
178,Jun 25,256
179,Jun 24,268
180,Jun 23,281
181,Jun 22,293
182,Jun 21,295
183,Jun 20,292
184,Jun 19,308
185,Jun 18,340
186,Jun 17,344
187,Jun 16,371
188,Jun 15,397
189,Jun 14,395
190,Jun 13,425
191,Jun 12,477
192,Jun 11,482
193,Jun 10,525
194,Jun 9,573
195,Jun 8,573
196,Jun 7,571
197,Jun 6,645
198,Jun 5,700
199,Jun 4,733
200,Jun 3,819
201,Jun 2,819
202,Jun 1,807
203,May 31,821
204,May 30,890
205,May 29,937
206,May 28,1060
207,May 27,1128
208,May 26,1302
209,May 25,1334
210,May 24,1324
211,May 23,1388
212,May 22,1415
213,May 21,1448
214,May 20,1527
215,May 19,1630
216,May 18,1614
217,May 17,1622
218,May 16,1750
219,May 15,1862
220,May 14,1966
221,May 13,2014
222,May 12,2230
223,May 11,2222
224,May 10,2222
225,May 9,2381
226,May 8,2555
227,May 7,2688
228,May 6,2849
229,May 5,3082
230,May 4,3044
231,May 3,3056
232,May 2,3111
233,May 1,3386
234,Apr 30,3609
235,Apr 29,4050
236,Apr 28,3976
237,Apr 27,3968
238,Apr 26,3959
239,Apr 25,4195
240,Apr 24,4355
241,Apr 23,4527
242,Apr 22,4765
243,Apr 21,4976
244,Apr 20,4920
245,Apr 19,4871
246,Apr 18,5069
247,Apr 17,5161
248,Apr 16,5309
249,Apr 15,5524
250,Apr 14,5536
251,Apr 13,5393
252,Apr 12,5353
253,Apr 11,5635
254,Apr 10,5610
255,Apr 9,5590
256,Apr 8,5688
257,Apr 7,6012
258,Apr 6,5840
259,Apr 5,5735
260,Apr 4,5678
261,Apr 3,5552
262,Apr 2,5376
263,Apr 1,4995
264,Mar 31,4920
265,Mar 30,4524
266,Mar 29,4138
267,Mar 28,3717
268,Mar 27,3042
269,Mar 26,2652
270,Mar 25,2152
271,Mar 24,1859
272,Mar 23,1643
273,Mar 22,1380
274,Mar 21,1089
275,Mar 20,837
