,Month,Exchange rate
148,Jul 2008,67.51
149,Jun 2008,66.56
150,May 2008,65.56
151,Apr 2008,62.99
152,Mar 2008,62.4
153,Feb 2008,58.51
154,Jan 2008,57.8
155,Dec 2007,57.36
156,Nov 2007,57.8
157,Oct 2007,56.06
158,Sep 2007,55.9
159,Aug 2007,55.48
160,Jul 2007,55.33
161,Jun 2007,54.6
162,May 2007,54.95
163,Apr 2007,56.64
164,Mar 2007,57.99
165,Feb 2007,57.6
166,Jan 2007,57.51
167,Dec 2006,58.86
168,Nov 2006,57.69
169,Oct 2006,57.26
170,Sep 2006,58.62
171,Aug 2006,59.58
172,Jul 2006,58.88
173,Jun 2006,58.14
174,May 2006,57.91
175,Apr 2006,55.09
176,Mar 2006,53.38
177,Feb 2006,52.86
178,Jan 2006,53.65
179,Dec 2005,54.09
180,Nov 2005,53.84
181,Oct 2005,53.87
182,Sep 2005,53.8
183,Aug 2005,53.61
184,Jul 2005,52.37
185,Jun 2005,52.99
186,May 2005,55.2
187,Apr 2005,56.54
188,Mar 2005,57.62
189,Feb 2005,56.83
190,Jan 2005,57.36
191,Dec 2004,58.88
192,Nov 2004,58.56
193,Oct 2004,57.12
194,Sep 2004,56.24
195,Aug 2004,56.37
196,Jul 2004,56.45
197,Jun 2004,55.21
198,May 2004,54.22
199,Apr 2004,52.63
200,Mar 2004,55.1
201,Feb 2004,57.23
202,Jan 2004,57.27
203,Dec 2003,55.92
204,Nov 2003,53.27
205,Oct 2003,53.05
206,Sep 2003,51.39
207,Aug 2003,51.13
208,Jul 2003,52.53
209,Jun 2003,54.43
210,May 2003,54.51
211,Apr 2003,51.38
212,Mar 2003,51.45
213,Feb 2003,51.4
214,Jan 2003,50.88
215,Dec 2002,49.0
216,Nov 2002,48.3
217,Oct 2002,47.42
218,Sep 2002,47.49
219,Aug 2002,47.48
220,Jul 2002,48.36
221,Jun 2002,46.77
222,May 2002,44.9
223,Apr 2002,43.32
224,Mar 2002,42.66
225,Feb 2002,42.33
226,Jan 2002,42.67
227,Dec 2001,42.72
228,Nov 2001,42.63
229,Oct 2001,43.49
230,Sep 2001,43.4
231,Aug 2001,42.44
232,Jul 2001,40.56
233,Jun 2001,40.1
234,May 2001,41.03
235,Apr 2001,41.69
236,Mar 2001,42.4
237,Feb 2001,42.87
238,Jan 2001,43.66
239,Dec 2000,41.94
240,Nov 2000,40.05
241,Oct 2000,39.64
242,Sep 2000,40.0
243,Aug 2000,41.32
244,Jul 2000,42.09
245,Jun 2000,42.41
246,May 2000,39.9
247,Apr 2000,41.33
248,Mar 2000,42.03
249,Feb 2000,42.89
