,Year,Purcashing power of one U.S dollar
319,1701,60.53
320,1700,63.48
321,1699,61.97
322,1698,68.49
323,1697,65.07
324,1696,65.07
325,1695,76.55
326,1694,72.3
327,1693,76.55
328,1692,72.3
329,1691,66.74
330,1690,70.35
331,1689,72.3
332,1688,74.37
333,1687,68.49
334,1686,68.49
335,1685,63.48
336,1684,70.35
337,1683,70.35
338,1682,70.35
339,1681,59.15
340,1680,61.97
341,1679,72.3
342,1678,72.3
343,1677,68.49
344,1676,70.35
345,1675,72.3
346,1674,63.48
347,1673,66.74
348,1672,65.07
349,1671,65.07
350,1670,65.07
351,1669,65.07
352,1668,60.53
353,1667,63.48
354,1666,68.49
355,1665,68.49
356,1664,57.84
357,1663,57.84
358,1662,57.84
359,1661,61.97
360,1660,52.06
361,1659,59.15
362,1658,66.74
363,1657,43.38
364,1656,35.17
365,1655,34.7
366,1654,33.37
367,1653,33.37
368,1652,43.38
369,1651,34.25
370,1650,45.66
371,1649,24.33
372,1648,35.65
373,1647,63.48
374,1646,47.32
375,1645,29.58
376,1644,26.03
377,1643,18.73
378,1642,27.11
379,1641,27.11
380,1640,27.11
381,1639,23.66
382,1638,38.85
383,1637,20.33
384,1636,17.47
385,1635,31.63
