,Month,Number of patients
74,"Sep 13, 2020",1
75,"Sep 12, 2020",2
76,"Sep 11, 2020",3
77,"Sep 10, 2020",4
78,"Sep 9, 2020",4
79,"Sep 8, 2020",3
80,"Sep 7, 2020",4
81,"Sep 6, 2020",2
82,"Sep 5, 2020",0
83,"Sep 4, 2020",2
84,"Sep 3, 2020",2
85,"Sep 2, 2020",2
86,"Sep 1, 2020",1
87,"Aug 31, 2020",1
88,"Aug 30, 2020",0
89,"Aug 29, 2020",1
90,"Aug 28, 2020",2
91,"Aug 27, 2020",3
92,"Aug 26, 2020",2
93,"Aug 25, 2020",1
94,"Aug 24, 2020",3
95,"Aug 23, 2020",1
96,"Aug 22, 2020",2
97,"Aug 21, 2020",3
98,"Aug 20, 2020",3
99,"Aug 19, 2020",1
100,"Aug 18, 2020",1
101,"Aug 17, 2020",1
102,"Aug 16, 2020",2
103,"Aug 15, 2020",3
104,"Aug 14, 2020",1
105,"Aug 13, 2020",0
106,"Aug 12, 2020",0
107,"Aug 11, 2020",1
108,"Aug 10, 2020",3
109,"Aug 9, 2020",2
110,"Aug 8, 2020",3
111,"Aug 7, 2020",1
112,"Aug 6, 2020",1
113,"Aug 5, 2020",5
114,"Aug 4, 2020",1
115,"Aug 3, 2020",2
116,"Aug 2, 2020",1
117,"Aug 1, 2020",1
118,"Jul 31, 2020",5
119,"Jul 30, 2020",2
120,"Jul 29, 2020",0
121,"Jul 28, 2020",0
122,"Jul 27, 2020",1
123,"Jul 26, 2020",1
124,"Jul 25, 2020",0
125,"Jul 24, 2020",2
126,"Jul 23, 2020",0
127,"Jul 22, 2020",0
128,"Jul 21, 2020",0
129,"Jul 20, 2020",0
130,"Jul 19, 2020",0
131,"Jul 18, 2020",2
132,"Jul 17, 2020",1
133,"Jul 16, 2020",2
134,"Jul 15, 2020",1
135,"Jul 14, 2020",0
136,"Jul 13, 2020",2
137,"Jul 12, 2020",0
138,"Jul 11, 2020",1
139,"Jul 10, 2020",0
140,"Jul 09, 2020",0
141,"Jul 08, 2020",1
142,"Jul 07, 2020",0
143,"Jul 06, 2020",0
144,"Jul 05, 2020",1
145,"Jul 04, 2020",0
146,"Jul 03, 2020",1
147,"Jul 02, 2020",2
148,"Jul 01, 2020",0
149,"Jun 30, 2020",2
150,"Jun 29, 2020",0
151,"Jun 28, 2020",2
152,"Jun 27, 2020",2
153,"Jun 26, 2020",3
154,"Jun 25, 2020",1
155,"Jun 24, 2020",2
156,"Jun 23, 2020",1
157,"Jun 22, 2020",2
158,"Jun 21, 2020",0
159,"Jun 20, 2020",0
160,"Jun 19, 2020",1
161,"Jun 18, 2020",1
162,"Jun 17, 2020",3
163,"Jun 16, 2020",1
164,"Jun 15, 2020",1
165,"Jun 14, 2020",1
166,"Jun 13, 2020",0
167,"Jun 12, 2020",1
168,"Jun 11, 2020",2
169,"Jun 10, 2020",1
170,"Jun 09, 2020",2
171,"Jun 08, 2020",1
172,"Jun 07, 2020",0
173,"Jun 06, 2020",0
174,"Jun 05, 2020",1
175,"Jun 04, 2020",0
176,"Jun 03, 2020",0
177,"Jun 02, 2020",0
178,"Jun 01, 2020",1
179,"May 31, 2020",2
180,"May 30, 2020",0
181,"May 29, 2020",1
182,"May 28, 2020",2
183,"May 27, 2020",4
184,"May 26, 2020",1
185,"May 25, 2020",0
186,"May 24, 2020",0
187,"May 23, 2020",0
188,"May 22, 2020",1
189,"May 21, 2020",2
190,"May 20, 2020",1
191,"May 19, 2020",1
192,"May 18, 2020",4
193,"May 17, 2020",0
194,"May 16, 2020",0
195,"May 15, 2020",0
196,"May 14, 2020",2
197,"May 13, 2020",3
198,"May 12, 2020",3
199,"May 11, 2020",2
200,"May 10, 2020",1
201,"May 09, 2020",1
202,"May 08, 2020",2
203,"May 07, 2020",2
204,"May 06, 2020",4
205,"May 05, 2020",3
206,"May 04, 2020",2
207,"May 03, 2020",1
208,"May 02, 2020",2
209,"May 01, 2020",2
210,"Apr 30, 2020",2
211,"Apr 29, 2020",0
212,"Apr 28, 2020",7
213,"Apr 27, 2020",2
214,"Apr 26, 2020",6
215,"Apr 25, 2020",4
216,"Apr 24, 2020",8
217,"Apr 23, 2020",5
218,"Apr 22, 2020",8
219,"Apr 21, 2020",4
220,"Apr 20, 2020",5
221,"Apr 19, 2020",5
222,"Apr 18, 2020",9
223,"Apr 17, 2020",15
224,"Apr 16, 2020",4
225,"Apr 15, 2020",12
226,"Apr 14, 2020",11
227,"Apr 13, 2020",10
228,"Apr 12, 2020",9
229,"Apr 11, 2020",11
230,"Apr 10, 2020",6
231,"Apr 09, 2020",10
232,"Apr 08, 2020",22
233,"Apr 07, 2020",14
234,"Apr 06, 2020",19
235,"Apr 05, 2020",14
236,"Apr 04, 2020",27
237,"Apr 03, 2020",22
238,"Apr 02, 2020",37
239,"Apr 01, 2020",27
240,"Mar 31, 2020",38
241,"Mar 30, 2020",33
242,"Mar 29, 2020",24
243,"Mar 28, 2020",31
244,"Mar 27, 2020",35
245,"Mar 26, 2020",43
246,"Mar 25, 2020",57
247,"Mar 24, 2020",42
248,"Mar 23, 2020",37
249,"Mar 22, 2020",27
250,"Mar 21, 2020",23
251,"Mar 20, 2020",28
252,"Mar 19, 2020",30
253,"Mar 18, 2020",23
254,"Mar 17, 2020",13
255,"Mar 16, 2020",17
256,"Mar 15, 2020",8
257,"Mar 14, 2020",10
258,"Mar 13, 2020",7
259,"Mar 12, 2020",3
260,"Mar 11, 2020",5
261,"Mar 10, 2020",7
262,"Mar 09, 2020",3
