,Month,Number of COVID-19 patients in ICU
272,"Apr 9 , 2020",3605
273,"Apr 8 , 2020",3693
274,"Apr 7 , 2020",3792
275,"Apr 6 , 2020",3898
276,"Apr 5 , 2020",3977
277,"Apr 4 , 2020",3994
278,"Apr 3 , 2020",4068
279,"Apr 2 , 2020",4053
280,"Apr 1 , 2020",4035
281,"Mar 31 , 2020",4023
282,"Mar 30 , 2020",3981
283,"Mar 29 , 2020",3906
284,"Mar 28 , 2020",3856
285,"Mar 27 , 2020",3732
286,"Mar 26 , 2020",3612
287,"Mar 25 , 2020",3489
288,"Mar 24 , 2020",3396
289,"Mar 23 , 2020",3204
290,"Mar 22 , 2020",3009
291,"Mar 21 , 2020",2857
292,"Mar 20 , 2020",2655
293,"Mar 19 , 2020",2498
294,"Mar 18 , 2020",2257
295,"Mar 17 , 2020",2060
296,"Mar 16 , 2020",1851
297,"Mar 15 , 2020",1672
298,"Mar 14 , 2020",1518
299,"Mar 13 , 2020",1328
300,"Mar 12 , 2020",1153
301,"Mar 11 , 2020",1028
302,"Mar 10 , 2020",877
303,"Mar 9 , 2020",733
304,"Mar 8, 2020",650
305,"Mar 7 , 2020",567
306,"Mar 6 , 2020",462
307,"Mar 5 , 2020",351
308,"Mar 4 , 2020",295
309,"Mar 3 , 2020",229
310,"Mar 2 , 2020",166
311,"Mar 1 , 2020",140
312,"Feb 29 , 2020",105
313,"Feb 28 , 2020",64
314,"Feb 27 , 2020",56
315,"Feb 26, 2020",36
316,"Feb 25 , 2020",35
317,"Feb 24 , 2020",26
