,Month,RPI rate
241,Oct 00,3.1%
242,Sep 00,3.3%
243,Aug 00,3%
244,Jul 00,3.3%
245,Jun 00,3.3%
246,May 00,3.1%
247,Apr 00,3%
248,Mar 00,2.6%
249,Feb 00,2.3%
250,Jan 00,2%
251,Dec 99,1.8%
252,Nov 99,1.4%
253,Oct 99,1.2%
254,Sep 99,1.1%
255,Aug 99,1.1%
256,Jul 99,1.3%
257,Jun 99,1.3%
258,May 99,1.3%
259,Apr 99,1.6%
260,Mar 99,2.1%
261,Feb 99,2.1%
262,Jan 99,2.4%
263,Dec 98,2.8%
264,Nov 98,3%
265,Oct 98,3.1%
266,Sep 98,3.2%
267,Aug 98,3.3%
268,Jul 98,3.5%
269,Jun 98,3.7%
270,May 98,4.2%
271,Apr 98,4%
272,Mar 98,3.5%
273,Feb 98,3.4%
274,Jan 98,3.3%
275,Dec 97,3.6%
276,Nov 97,3.7%
277,Oct 97,3.7%
278,Sep 97,3.6%
279,Aug 97,3.5%
280,Jul 97,3.3%
281,Jun 97,2.9%
282,May 97,2.6%
283,Apr 97,2.4%
284,Mar 97,2.6%
285,Feb 97,2.7%
286,Jan 97,2.8%
287,Dec 96,2.5%
288,Nov 96,2.7%
289,Oct 96,2.7%
290,Sep 96,2.1%
291,Aug 96,2.1%
292,Jul 96,2.2%
293,Jun 96,2.1%
294,May 96,2.2%
295,Apr 96,2.4%
296,Mar 96,2.7%
297,Feb 96,2.7%
298,Jan 96,2.9%
299,Dec 95,3.2%
300,Nov 95,3.1%
301,Oct 95,3.2%
302,Sep 95,3.9%
303,Aug 95,3.6%
304,Jul 95,3.5%
305,Jun 95,3.5%
306,May 95,3.4%
307,Apr 95,3.3%
308,Mar 95,3.5%
309,Feb 95,3.4%
310,Jan 95,3.3%
311,Dec 94,2.9%
312,Nov 94,2.6%
313,Oct 94,2.4%
314,Sep 94,2.2%
315,Aug 94,2.4%
316,Jul 94,2.3%
317,Jun 94,2.6%
318,May 94,2.6%
319,Apr 94,2.6%
320,Mar 94,2.3%
321,Feb 94,2.4%
322,Jan 94,2.5%
323,Dec 93,1.9%
324,Nov 93,1.4%
325,Oct 93,1.4%
326,Sep 93,1.8%
327,Aug 93,1.7%
328,Jul 93,1.4%
329,Jun 93,1.2%
330,May 93,1.3%
331,Apr 93,1.3%
332,Mar 93,1.9%
333,Feb 93,1.8%
334,Jan 93,1.7%
335,Dec 92,2.6%
336,Nov 92,3%
337,Oct 92,3.6%
338,Sep 92,3.6%
339,Aug 92,3.6%
340,Jul 92,3.7%
341,Jun 92,3.9%
342,May 92,4.3%
343,Apr 92,4.3%
344,Mar 92,4%
345,Feb 92,4.1%
346,Jan 92,4.1%
347,Dec 91,4.5%
348,Nov 91,4.3%
349,Oct 91,3.7%
350,Sep 91,4.1%
351,Aug 91,4.7%
352,Jul 91,5.5%
353,Jun 91,5.8%
354,May 91,5.8%
355,Apr 91,6.4%
356,Mar 91,8.2%
357,Feb 91,8.9%
358,Jan 91,9%
359,Dec 90,9.3%
360,Nov 90,9.7%
361,Oct 90,10.9%
362,Sep 90,10.9%
363,Aug 90,10.6%
364,Jul 90,9.8%
365,Jun 90,9.8%
366,May 90,9.7%
367,Apr 90,9.4%
368,Mar 90,8.1%
369,Feb 90,7.5%
370,Jan 90,7.7%
371,Dec 89,7.7%
372,Nov 89,7.7%
373,Oct 89,7.3%
374,Sep 89,7.6%
375,Aug 89,7.3%
376,Jul 89,8.2%
377,Jun 89,8.3%
378,May 89,8.3%
379,Apr 89,8%
380,Mar 89,7.9%
381,Feb 89,7.8%
382,Jan 89,7.5%
383,Dec 88,6.8%
384,Nov 88,6.4%
385,Oct 88,6.4%
386,Sep 88,5.9%
387,Aug 88,5.7%
388,Jul 88,4.8%
389,Jun 88,4.6%
390,May 88,4.2%
391,Apr 88,3.9%
392,Mar 88,3.5%
393,Feb 88,3.3%
394,Jan 88,3.3%
395,Dec 87,3.7%
396,Nov 87,4.1%
397,Oct 87,4.5%
398,Sep 87,4.2%
399,Aug 87,4.4%
400,Jul 87,4.4%
401,Jun 87,4.2%
402,May 87,4.1%
403,Apr 87,4.2%
404,Mar 87,4%
405,Feb 87,3.9%
406,Jan 87,3.9%
407,Dec 86,3.7%
408,Nov 86,3.5%
409,Oct 86,3%
410,Sep 86,3%
411,Aug 86,2.4%
412,Jul 86,2.4%
413,Jun 86,2.5%
414,May 86,2.8%
415,Apr 86,3%
416,Mar 86,4.2%
417,Feb 86,5.1%
418,Jan 86,5.5%
419,Dec 85,5.7%
420,Nov 85,5.5%
421,Oct 85,5.4%
422,Sep 85,5.9%
423,Aug 85,6.2%
424,Jul 85,6.9%
425,Jun 85,7%
426,May 85,7%
427,Apr 85,6.9%
428,Mar 85,6.1%
429,Feb 85,5.4%
430,Jan 85,5%
431,Dec 84,4.6%
432,Nov 84,4.9%
433,Oct 84,5%
434,Sep 84,4.7%
435,Aug 84,5%
436,Jul 84,4.5%
437,Jun 84,5.1%
438,May 84,5.1%
439,Apr 84,5.2%
440,Mar 84,5.2%
441,Feb 84,5.1%
442,Jan 84,5.1%
443,Dec 83,5.3%
444,Nov 83,4.8%
445,Oct 83,5%
446,Sep 83,5.1%
447,Aug 83,4.6%
448,Jul 83,4.2%
449,Jun 83,3.7%
450,May 83,3.7%
451,Apr 83,4%
452,Mar 83,4.6%
453,Feb 83,5.3%
454,Jan 83,4.9%
455,Dec 82,5.4%
456,Nov 82,6.3%
457,Oct 82,6.8%
458,Sep 82,7.3%
459,Aug 82,8%
460,Jul 82,8.7%
461,Jun 82,9.2%
462,May 82,9.5%
463,Apr 82,9.4%
464,Mar 82,10.4%
465,Feb 82,11%
466,Jan 82,12%
467,Dec 81,12%
468,Nov 81,12%
469,Oct 81,11.7%
470,Sep 81,11.4%
471,Aug 81,11.5%
472,Jul 81,10.9%
473,Jun 81,11.3%
474,May 81,11.7%
475,Apr 81,12%
476,Mar 81,12.6%
477,Feb 81,12.5%
478,Jan 81,13%
479,Dec 80,15.1%
480,Nov 80,15.3%
481,Oct 80,15.4%
482,Sep 80,15.9%
483,Aug 80,16.3%
484,Jul 80,16.9%
485,Jun 80,21%
486,May 80,21.9%
487,Apr 80,21.8%
488,Mar 80,19.8%
489,Feb 80,19.1%
490,Jan 80,18.4%
491,Dec 79,17.2%
492,Nov 79,17.4%
493,Oct 79,17.2%
494,Sep 79,16.5%
495,Aug 79,15.8%
496,Jul 79,15.6%
497,Jun 79,11.4%
498,May 79,10.3%
499,Apr 79,10.1%
500,Mar 79,9.8%
501,Feb 79,9.6%
502,Jan 79,9.3%
503,Dec 78,8.4%
504,Nov 78,8.1%
505,Oct 78,7.8%
506,Sep 78,7.8%
507,Aug 78,8%
508,Jul 78,7.8%
509,Jun 78,7.4%
510,May 78,7.7%
511,Apr 78,7.9%
512,Mar 78,9.1%
513,Feb 78,9.5%
514,Jan 78,9.9%
515,Dec 77,12.1%
516,Nov 77,13%
517,Oct 77,14.1%
518,Sep 77,15.6%
519,Aug 77,16.5%
520,Jul 77,17.6%
521,Jun 77,17.7%
522,May 77,17.1%
523,Apr 77,17.5%
524,Mar 77,16.7%
525,Feb 77,16.2%
526,Jan 77,16.6%
527,Dec 76,15.1%
528,Nov 76,15%
529,Oct 76,14.7%
530,Sep 76,14.3%
531,Aug 76,13.8%
532,Jul 76,12.9%
533,Jun 76,13.8%
534,May 76,15.4%
535,Apr 76,18.9%
536,Mar 76,21.2%
537,Feb 76,22.9%
538,Jan 76,23.4%
539,Dec 75,24.9%
540,Nov 75,25.2%
541,Oct 75,25.9%
542,Sep 75,26.6%
543,Aug 75,26.9%
544,Jul 75,26.3%
545,Jun 75,26.1%
546,May 75,25%
547,Apr 75,21.7%
548,Mar 75,21.2%
549,Feb 75,19.9%
550,Jan 75,19.9%
551,Dec 74,19.1%
552,Nov 74,18.3%
553,Oct 74,17.1%
554,Sep 74,17.1%
555,Aug 74,16.9%
556,Jul 74,17.1%
557,Jun 74,16.5%
558,May 74,16%
559,Apr 74,15.2%
560,Mar 74,13.5%
561,Feb 74,13.2%
562,Jan 74,12%
563,Dec 73,10.6%
564,Nov 73,10.3%
565,Oct 73,9.9%
566,Sep 73,9.3%
567,Aug 73,8.9%
568,Jul 73,9.4%
569,Jun 73,9.3%
570,May 73,9.5%
571,Apr 73,9.2%
572,Mar 73,8.2%
573,Feb 73,7.9%
574,Jan 73,7.7%
575,Dec 72,7.7%
576,Nov 72,7.6%
577,Oct 72,7.9%
578,Sep 72,7%
579,Aug 72,6.6%
580,Jul 72,5.8%
581,Jun 72,6.1%
582,May 72,6.1%
583,Apr 72,6.3%
584,Mar 72,7.6%
585,Feb 72,8.1%
586,Jan 72,8.2%
587,Dec 71,9%
588,Nov 71,9.2%
589,Oct 71,9.4%
590,Sep 71,9.9%
591,Aug 71,10.3%
592,Jul 71,10.1%
593,Jun 71,10.3%
594,May 71,9.8%
595,Apr 71,9.4%
596,Mar 71,8.8%
597,Feb 71,8.5%
598,Jan 71,8.5%
599,Dec 70,7.9%
600,Nov 70,7.9%
601,Oct 70,7.4%
602,Sep 70,7%
603,Aug 70,6.8%
604,Jul 70,6.7%
605,Jun 70,5.9%
606,May 70,6.1%
607,Apr 70,5.6%
608,Mar 70,5.1%
609,Feb 70,4.9%
610,Jan 70,5%
611,Dec 69,4.7%
612,Nov 69,5.4%
613,Oct 69,5.4%
614,Sep 69,5.1%
615,Aug 69,4.9%
616,Jul 69,5.3%
617,Jun 69,5.3%
618,May 69,5.3%
619,Apr 69,5.5%
620,Mar 69,6.3%
621,Feb 69,6.2%
622,Jan 69,6.2%
623,Dec 68,5.9%
624,Nov 68,5.2%
625,Oct 68,5.6%
626,Sep 68,5.9%
627,Aug 68,5.7%
628,Jul 68,5.3%
629,Jun 68,4.6%
630,May 68,4.6%
631,Apr 68,4.4%
632,Mar 68,3.4%
633,Feb 68,3%
634,Jan 68,2.6%
635,Dec 67,2.5%
636,Nov 67,1.9%
637,Oct 67,2%
638,Sep 67,1.5%
639,Aug 67,1.4%
640,Jul 67,2.2%
641,Jun 67,2.4%
642,May 67,2.2%
643,Apr 67,3%
644,Mar 67,3.5%
645,Feb 67,3.7%
646,Jan 67,3.7%
647,Dec 66,3.7%
648,Nov 66,4%
649,Oct 66,3.8%
650,Sep 66,3.6%
651,Aug 66,3.9%
652,Jul 66,3.5%
653,Jun 66,3.9%
654,May 66,3.9%
655,Apr 66,3.6%
656,Mar 66,4.3%
657,Feb 66,4.5%
658,Jan 66,4.4%
659,Dec 65,4.5%
660,Nov 65,4.4%
661,Oct 65,4.8%
662,Sep 65,4.8%
663,Aug 65,4.7%
664,Jul 65,4.9%
665,Jun 65,4.9%
666,May 65,5%
667,Apr 65,5.6%
668,Mar 65,4.5%
669,Feb 65,4.5%
670,Jan 65,4.6%
671,Dec 64,4.8%
672,Nov 64,4.6%
673,Oct 64,4.1%
674,Sep 64,4.4%
675,Aug 64,4.7%
676,Jul 64,4%
677,Jun 64,3.4%
678,May 64,3%
679,Apr 64,2%
680,Mar 64,1.4%
681,Feb 64,1.2%
682,Jan 64,1.9%
683,Dec 63,1.9%
684,Nov 63,2.2%
685,Oct 63,2.3%
686,Sep 63,1.8%
687,Aug 63,1.4%
688,Jul 63,0.8%
689,Jun 63,1%
690,May 63,1.7%
691,Apr 63,2.1%
692,Mar 63,3.2%
693,Feb 63,3.5%
694,Jan 63,2.7%
695,Dec 62,2.6%
696,Nov 62,2.3%
697,Oct 62,2.9%
698,Sep 62,3.3%
699,Aug 62,3.2%
700,Jul 62,5.1%
701,Jun 62,5.5%
702,May 62,5.7%
703,Apr 62,5.6%
704,Mar 62,4.8%
705,Feb 62,4.7%
706,Jan 62,4.6%
707,Dec 61,4.4%
708,Nov 61,4.5%
709,Oct 61,3.9%
710,Sep 61,4.5%
711,Aug 61,4.8%
712,Jul 61,3.2%
713,Jun 61,3.3%
714,May 61,3%
715,Apr 61,2.7%
716,Mar 61,2.7%
717,Feb 61,2.2%
718,Jan 61,2.2%
719,Dec 60,1.8%
720,Nov 60,1.7%
721,Oct 60,2%
722,Sep 60,1.7%
723,Aug 60,1%
724,Jul 60,1.9%
725,Jun 60,1.5%
726,May 60,1.1%
727,Apr 60,0.7%
728,Mar 60,-0.5%
729,Feb 60,-0.4%
730,Jan 60,-0.5%
731,Dec 59,0%
732,Nov 59,0.2%
733,Oct 59,-0.2%
734,Sep 59,0.3%
735,Aug 59,0.9%
736,Jul 59,0.5%
737,Jun 59,-0.8%
738,May 59,-0.1%
739,Apr 59,-0.1%
740,Mar 59,1.8%
741,Feb 59,2.5%
742,Jan 59,2.1%
743,Dec 58,1.8%
744,Nov 58,1.9%
745,Oct 58,2.1%
746,Sep 58,2.2%
747,Aug 58,1.8%
748,Jul 58,1.8%
749,Jun 58,4.3%
750,May 58,4.4%
751,Apr 58,4.9%
752,Mar 58,4.1%
753,Feb 58,3.2%
754,Jan 58,3.5%
755,Dec 57,4.6%
756,Nov 57,4.5%
757,Oct 57,4.3%
758,Sep 57,3.9%
759,Aug 57,4%
760,Jul 57,4.5%
761,Jun 57,3.2%
762,May 57,2%
763,Apr 57,1.8%
764,Mar 57,2.8%
765,Feb 57,4.3%
766,Jan 57,4.4%
767,Dec 56,3%
768,Nov 56,2.7%
769,Oct 56,3.9%
770,Sep 56,4.4%
771,Aug 56,5.2%
772,Jul 56,4.3%
773,Jun 56,5%
774,May 56,7.3%
775,Apr 56,7.3%
776,Mar 56,6.4%
777,Feb 56,5.1%
778,Jan 56,5.1%
779,Dec 55,5.8%
780,Nov 55,6.4%
781,Oct 55,5.2%
782,Sep 55,4.6%
783,Aug 55,3.8%
784,Jul 55,3.8%
785,Jun 55,5.2%
786,May 55,3.7%
787,Apr 55,3.6%
788,Mar 55,3.4%
789,Feb 55,4.4%
790,Jan 55,4.2%
791,Dec 54,4%
792,Nov 54,3%
793,Oct 54,2.8%
794,Sep 54,2.4%
795,Aug 54,2.4%
796,Jul 54,2.3%
797,Jun 54,0.7%
798,May 54,0.7%
799,Apr 54,0.6%
800,Mar 54,1.1%
801,Feb 54,0.9%
802,Jan 54,1.3%
803,Dec 53,1.1%
804,Nov 53,2.1%
805,Oct 53,1.7%
806,Sep 53,2.6%
807,Aug 53,2.6%
808,Jul 53,2.7%
809,Jun 53,2.6%
810,May 53,3.7%
811,Apr 53,4.1%
812,Mar 53,4.8%
813,Feb 53,4.6%
814,Jan 53,4.4%
815,Dec 52,6.4%
816,Nov 52,6.3%
817,Oct 52,6.9%
818,Sep 52,6.7%
819,Aug 52,7.6%
820,Jul 52,8.8%
821,Jun 52,10.6%
822,May 52,9.1%
823,Apr 52,11.8%
824,Mar 52,11.8%
825,Feb 52,12%
826,Jan 52,13%
827,Dec 51,12%
828,Nov 51,11.9%
829,Oct 51,11.9%
830,Sep 51,12.3%
831,Aug 51,12.2%
832,Jul 51,11.3%
833,Jun 51,9.6%
834,May 51,8.7%
835,Apr 51,6.3%
836,Mar 51,5%
837,Feb 51,4.6%
838,Jan 51,3.9%
839,Dec 50,3.2%
840,Nov 50,2.9%
841,Oct 50,2.5%
842,Sep 50,2%
843,Aug 50,1.7%
844,Jul 50,2.2%
845,Jun 50,2.3%
846,May 50,3.3%
847,Apr 50,4.9%
848,Mar 50,4.2%
849,Feb 50,3.7%
850,Jan 50,3.6%
851,Dec 49,3.5%
852,Nov 49,3.3%
853,Oct 49,3.6%
854,Sep 49,3.2%
855,Aug 49,3.1%
856,Jul 49,3%
857,Jun 49,1.3%
858,May 49,2.6%
859,Apr 49,0.6%
860,Mar 49,2.3%
861,Feb 49,2.9%
862,Jan 49,4.6%
863,Dec 48,4.9%
864,Nov 48,5.1%
865,Oct 48,7%
866,Sep 48,7.6%
867,Aug 48,7.9%
868,Jul 48,7.2%
869,Jun 48,9.7%
