,Month,Cumulative number of cases
228,May 1,39791
229,Apr 30,39316
230,Apr 29,38802
231,Apr 28,38416
232,Apr 27,38245
233,Apr 26,37845
234,Apr 25,37190
235,Apr 24,36535
236,Apr 23,35729
237,Apr 22,34842
238,Apr 21,34134
239,Apr 20,33405
240,Apr19,32655
241,Apr 18,31589
242,Apr 17,30449
243,Apr 16,29214
244,Apr 15,28153
245,April 14,27419
246,Apr 13,26551
247,Apr 12,25587
248,Apr 11,24413
249,Apr 10,23097
250,Apr 9,21762
251,Apr 8,20549
252,Apr 7,19580
253,Apr 6,18803
254,Apr 5,17851
255,Apr 4,16627
256,Apr 3,15723
257,Apr 2,14697
258,Apr 1,13614
259,Mar 31,12595
260,Mar 30,11750
261,Mar 29,10866
262,Mar 28,9762
263,Mar 27,8603
264,Mar 26,7431
265,Mar 25,6412
266,Mar 24,5560
267,Mar 23,4749
268,Mar 22,4204
269,Mar 21,3631
270,Mar 20,2994
271,Mar 19,2460
272,Mar 18,2051
273,Mar 17,1705
274,Mar 16,1413
275,Mar 15,1135
276,Mar 14,959
277,Mar 13,804
278,Mar 12,614
279,Mar 11,503
280,Mar 10,382
281,Mar 9,321
282,Mar 8,265
283,Mar 7,188
284,Mar 6,128
285,Mar 5,82
286,Mar 3,38
287,Mar 2,23
288,Mar 1,9
289,Feb 29,6
290,Feb 28,2
291,Feb 27,1
