,Year,Number of new reported cases
267,3/26/20,921
268,3/25/20,982
269,3/24/20,953
270,3/23/20,1073
271,3/22/20,872
272,3/21/20,881
273,3/20/20,1039
274,3/19/20,803
275,3/18/20,956
276,3/17/20,882
277,3/16/20,831
278,3/15/20,602
279,3/14/20,470
280,3/13/20,460
281,3/12/20,390
282,3/11/20,301
283,3/10/20,262
284,3/9/20,220
285,3/8/20,134
286,3/7/20,89
287,3/6/20,83
288,3/5/20,65
289,3/4/20,53
290,3/3/20,52
291,3/2/20,49
292,3/1/20,54
293,2/29/20,27
294,2/28/20,35
295,2/27/20,25
296,2/26/20,12
297,2/25/20,16
298,2/24/20,15
299,2/23/20,19
300,2/22/20,7
301,2/21/20,2
302,2/20/20,8
303,2/19/20,3
304,2/18/20,2
305,2/17/20,2
306,2/16/20,1
307,2/15/20,2
308,2/14/20,4
309,2/13/20,1
310,2/12/20,5
311,2/11/20,1
312,2/10/20,2
313,2/9/20,2
314,2/8/20,1
315,2/7/20,1
316,2/6/20,0
317,2/5/20,2
318,2/4/20,2
319,2/3/20,1
320,2/2/20,3
321,2/1/20,4
322,1/31/20,2
323,1/30/20,0
324,1/29/20,0
325,1/28/20,2
326,1/27/20,2
327,1/26/20,1
328,1/25/20,0
329,1/24/20,2
330,1/23/20,0
331,1/22/20,2
332,1/21/20,1
333,1/20/20,0
334,1/19/20,0
335,1/18/20,0
336,1/17/20,0
337,1/16/20,2
338,1/15/20,1
