,Year,Number of new cases
228,05/21/20,8849
229,05/20/20,8764
230,05/19/20,9263
231,05/18/20,8926
232,05/17/20,9709
233,05/16/20,9200
234,05/15/20,10598
235,05/14/20,9974
236,05/13/20,10028
237,05/12/20,10899
238,05/11/20,11656
239,05/10/20,11012
240,05/09/20,10817
241,05/08/20,10699
242,05/07/20,11231
243,05/06/20,10559
244,05/05/20,10102
245,05/04/20,10581
246,05/03/20,10633
247,05/02/20,9623
248,05/01/20,7933
249,04/30/20,7099
250,04/29/20,5841
251,04/28/20,6411
252,04/27/20,6198
253,04/26/20,6361
254,04/25/20,5966
255,04/24/20,5849
256,04/23/20,4774
257,04/22/20,5236
258,04/21/20,5642
259,04/20/20,4268
260,04/19/20,6060
261,04/18/20,4785
262,04/17/20,4070
263,04/16/20,3448
264,04/15/20,3388
265,04/14/20,2774
266,04/13/20,2558
267,04/12/20,2186
268,04/11/20,1667
269,04/10/20,1786
270,04/09/20,1459
271,04/08/20,1175
272,04/07/20,1154
273,04/06/20,954
274,04/05/20,658
275,04/04/20,582
276,04/03/20,601
277,04/02/20,771
278,04/01/20,440
279,03/31/20,500
280,03/30/20,303
281,03/29/20,270
282,03/28/20,228
283,03/27/20,196
284,03/26/20,182
285,03/25/20,163
286,03/24/20,57
287,03/23/20,71
288,03/22/20,61
289,03/21/20,53
290,03/20/20,54
291,03/19/20,52
292,03/18/20,33
293,03/17/20,21
294,03/16/20,30
295,03/15/20,4
296,03/14/20,14
297,03/13/20,11
298,03/12/20,6
299,03/11/20,8
300,03/09/20,3
301,03/08/20,3
302,03/07/20,4
303,03/06/20,6
304,03/05/20,1
305,02/03/20,1
306,01/31/20,2
