,Month,Number of recoveries
70,"Oct 27, 2020",271988
71,"Oct 26, 2020",268626
72,"Oct 25, 2020",266203
73,"Oct 24, 2020",264117
74,"Oct 23, 2020",261808
75,"Oct 22, 2020",259456
76,"Oct 21, 2020",257374
77,"Oct 20, 2020",255005
78,"Oct 19, 2020",252959
79,"Oct 18, 2020",251461
80,"Oct 17, 2020",249127
81,"Oct 16, 2020",247872
82,"Oct 15, 2020",245964
83,"Oct 14, 2020",244065
84,"Oct 13, 2020",242028
85,"Oct 12, 2020",240600
86,"Oct 11, 2020",239709
87,"Oct 10, 2020",238525
88,"Oct 9, 2020",237549
89,"Oct 8, 2020",236363
90,"Oct 7, 2020",235303
91,"Oct 6, 2020",234099
92,"Oct 5, 2020",232681
93,"Oct 4, 2020",231914
94,"Oct 3, 2020",231217
95,"Oct 2, 2020",229970
96,"Oct 1, 2020",228844
97,"Sep 30, 2020",227704
98,"Sep 29, 2020",226506
99,"Sep 28, 2020",225190
100,"Sep 27, 2020",224417
101,"Sep 26, 2020",223693
102,"Sep 25, 2020",222716
103,"Sep 24, 2020",221762
104,"Sep 23, 2020",220665
105,"Sep 22, 2020",219670
106,"Sep 21, 2020",218703
107,"Sep 20, 2020",218351
108,"Sep 19, 2020",217716
109,"Sep 18, 2020",216807
110,"Sep 17, 2020",215954
111,"Sep 16, 2020",215265
112,"Seo 15, 2020",214645
113,"Sep 14, 2020",213950
114,"Sep 13, 2020",213634
115,"Sep 12, 2020",213191
116,"Sep 11, 2020",212432
117,"Sep 10, 2020",211885
118,"Sep 9, 2020",211272
119,"Sep 8, 2020",210801
120,"Sep 7, 2020",210238
121,"Sep 6, 2020",210015
122,"Sep 5, 2020",209610
123,"Sep 4, 2020",209027
124,"Sep 3, 2020",208490
125,"Sep 2, 2020",208201
126,"Sep 1, 2020",207944
127,"Aug 31 , 2020",207653
128,"Aug 30 , 2020",207536
129,"Aug 29 , 2020",207224
130,"Aug 28 , 2020",206902
131,"Aug 27 , 2020",206554
132,"Aug 26 , 2020",206329
133,"Aug 25 , 2020",206015
134,"Aug 24 , 2020",205662
135,"Aug 23 , 2020",205470
136,"Aug 22 , 2020",205203
137,"Aug 21 , 2020",204960
138,"Aug 20 , 2020",204686
139,"Aug 19 , 2020",204506
140,"Aug 18 , 2020",204142
141,"Aug 17, 2020",203968
142,"Aug 16, 2020",203786
143,"Aug 15, 2020",203540
144,"Aug 14, 2020",203326
145,"Aug 13, 2020",202923
146,"Aug 12, 2020",202697
147,"Aug 11, 2020",202461
148,"Aug 10, 2020",202248
149,"Aug 9, 2020",202098
150,"Aug 8, 2020",201947
151,"Aug 7, 2020",201642
152,"Aug 6, 2020",201323
153,"Aug 5, 2020",200976
154,"Aug 4, 2020",200766
155,"Aug 3, 2020",200589
156,"Aug 2 , 2020",200460
157,"Aug 1 , 2020",200229
158,"Jul 31 , 2020",199974
159,"Jul 30 , 2020",199796
160,"Jul 29 , 2020",199031
161,"Jul 28 , 2020",198756
162,"Jul 27 , 2020",198593
163,"Jul 26 , 2020",198466
164,"Jul 25 , 2020",198520
165,"Jul 24 , 2020",198192
166,"Jul 23 , 2020",197842
167,"Jul 22 , 2020",197628
168,"Jul 21 , 2020",197431
169,"Jul 20, 2020",197162
170,"Jul 19 , 2020",196949
171,"Jul 18 , 2020",196806
172,"Jul 17 , 2020",196483
173,"Jul 16 , 2020",196246
174,"Jul 15, 2020",196016
175,"Jul 14 , 2020",195441
176,"Jul 13 , 2020",195106
177,"Jul 12 , 2020",194928
178,"Jul 11 , 2020",194579
179,"Jul 10 , 2020",194273
180,"Jul 9 , 2020",193978
181,"Jul 8, 2020",193640
182,"Jul 7, 2020",192815
183,"Jul 6, 2020",192241
184,"Jul 5, 2020",192108
185,"Jul 4, 2020",191944
186,"Jul 3, 2020",191467
187,"Jul 2, 2020",191983
188,"Jul 1, 2020",190717
189,"Jun 30, 2020",190248
190,"Jun 29, 2020",189196
191,"Jun 28, 2020",188891
192,"Jun 27, 2020",188584
193,"Jun 26, 2020",187615
194,"Jun 25, 2020",186725
195,"Jun 24, 2020",186111
196,"Jun 23, 2020",184585
197,"Jun 22, 2020",183426
198,"Jun 21, 2020",182893
199,"Jun 20, 2020",182453
200,"Jun 19, 2020",181907
201,"Jun 18, 2020",180544
202,"Jun 17, 2020",179455
203,"Jun 16, 2020",178526
204,"Jun 15, 2020",177010
205,"Jun 14, 2020",176370
206,"Jun 13, 2020",174865
207,"Jun 12, 2020",173085
208,"Jun 11, 2020",171338
209,"Jun 10, 2020",169939
210,"Jun 9, 2020",168646
211,"Jun 8, 2020",166584
212,"Jun 7, 2020",165837
213,"Jun 6, 2020",165078
214,"Jun 5, 2020",163781
215,"Jun 4, 2020",161895
216,"Jun 3, 2020",160938
217,"Jun 2, 2020",160092
218,"Jun 1, 2020",158355
219,"May 31, 2020",157507
220,"May 30, 2020",155633
221,"May 29, 2020",152844
222,"May 28, 2020",150604
223,"May 27, 2020",147101
224,"May 26, 2020",144658
225,"May 25, 2020",141981
226,"May 24, 2020",140479
227,"May 23, 2020",138840
228,"May 22, 2020",136720
229,"May 21, 2020",134560
230,"May 20, 2020",132282
231,"May 19, 2020",129401
232,"May 18, 2020",127326
233,"May 17, 2020",125176
234,"May 16, 2020",122810
235,"May 15, 2020",120205
236,"May 14, 2020",115284
237,"May 13, 2020",112541
238,"May 12, 2020",109039
239,"May 11, 2020",106587
240,"May 10, 2020",105176
241,"May 9, 2020",103031
242,"May 8, 2020",99023
243,"May 7, 2020",96276
244,"May 6, 2020",93245
245,"May 5, 2020",85231
246,"May 4, 2020",82879
247,"May 3, 2020",81654
248,"May 2, 2020",79914
249,"May 1, 2020",78294
250,"Apr 30, 2020",75945
251,"Apr 29, 2020",71252
252,"Apr 28, 2020",68941
253,"Apr 27, 2020",66624
254,"Apr 26, 2020",64928
255,"Apr 25, 2020",63120
256,"Apr 24, 2020",60498
257,"Apr 23, 2020",57576
258,"Apr 22, 2020",54543
259,"Apr 21, 2020",51600
260,"Apr 20, 2020",48877
261,"Apr 19, 2020",47055
262,"Apr 18, 2020",44927
263,"Apr 17, 2020",42727
264,"Apr 16, 2020",40164
265,"Apr 15, 2020",38092
266,"Apr 14, 2020",37130
267,"Apr 13, 2020",35435
268,"Apr 12, 2020",34211
269,"Apr 11, 2020",32534
270,"Apr 10, 2020",30455
271,"Apr 9, 2020",28470
272,"Apr 8, 2020",26491
273,"Apr 7, 2020",24392
274,"Apr 6, 2020",22837
275,"Apr 5, 2020",21815
276,"Apr 4, 2020",20996
277,"Apr 3, 2020",19758
278,"Apr 2, 2020",18278
279,"Apr 1, 2020",16847
280,"Mar 31, 2020",15729
281,"Mar 30, 2020",14620
282,"Mar 29, 2020",13030
283,"Mar 28, 2020",12384
284,"Mar 27, 2020",10950
285,"Mar 26, 2020",10361
286,"Mar 25, 2020",9362
287,"Mar 24, 2020",8326
288,"Mar 23, 2020",7432
289,"Mar 22, 2020",7024
290,"Mar 21, 2020",6072
291,"Mar 20, 2020",5129
292,"Mar 19, 2020",4440
293,"Mar 18, 2020",4025
294,"Mar 17, 2020",2941
295,"Mar 16, 2020",2749
296,"Mar 15, 2020",2335
297,"Mar 14, 2020",1966
298,"Mar 13, 2020",1429
299,"Mar 12, 2020",1258
300,"Mar 11, 2020",1045
301,"Mar 10, 2020",1004
302,"Mar 9, 2020",724
303,"Mar 8, 2020",622
304,"Mar 7, 2020",589
305,"Mar 6, 2020",523
306,"Mar 5, 2020",414
307,"Mar 4, 2020",276
308,"Mar 3, 2020",160
309,"Mar 2, 2020",149
310,"Mar 1, 2020",46
311,"Feb 29, 2020",50
312,"Feb 28, 2020",45
313,"Feb 27, 2020",45
314,"Feb 26, 2020",3
315,"Feb 25, 2020",1
316,"Feb 24, 2020",1
