,Month,Employment rate
152,Feb 08,73%
153,Jan 08,72.9%
154,Dec 07,72.9%
155,Nov 07,72.8%
156,Oct 07,72.8%
157,Sep 07,72.7%
158,Aug 07,72.6%
159,Jul 07,72.6%
160,Jun 07,72.7%
161,May 07,72.7%
162,Apr 07,72.5%
163,Mar 07,72.5%
164,Feb 07,72.5%
165,Jan 07,72.6%
166,Dec 06,72.7%
167,Nov 06,72.7%
168,Oct 06,72.8%
169,Sep 06,72.8%
170,Aug 06,73%
171,Jul 06,72.9%
172,Jun 06,72.8%
173,May 06,72.8%
174,Apr 06,72.9%
175,Mar 06,72.9%
176,Feb 06,72.8%
177,Jan 06,72.8%
178,Dec 05,72.7%
179,Nov 05,72.8%
180,Oct 05,72.9%
181,Sep 05,73%
182,Aug 05,73%
183,Jul 05,73%
184,Jun 05,72.9%
185,May 05,72.9%
186,Apr 05,72.9%
187,Mar 05,73.1%
188,Feb 05,73.2%
189,Jan 05,73.1%
190,Dec 04,73%
191,Nov 04,73%
192,Oct 04,72.9%
193,Sep 04,72.9%
194,Aug 04,72.8%
195,Jul 04,72.8%
196,Jun 04,72.9%
197,May 04,72.9%
198,Apr 04,73%
199,Mar 04,73%
200,Feb 04,73%
201,Jan 04,73%
202,Dec 03,72.8%
203,Nov 03,72.8%
204,Oct 03,72.8%
205,Sep 03,72.8%
206,Aug 03,72.8%
207,Jul 03,72.8%
208,Jun 03,72.9%
209,May 03,72.8%
210,Apr 03,72.7%
211,Mar 03,72.7%
212,Feb 03,72.6%
213,Jan 03,72.8%
214,Dec 02,72.9%
215,Nov 02,72.8%
216,Oct 02,72.7%
217,Sep 02,72.6%
218,Aug 02,72.7%
219,Jul 02,72.6%
220,Jun 02,72.7%
221,May 02,72.6%
222,Apr 02,72.6%
223,Mar 02,72.5%
224,Feb 02,72.5%
225,Jan 02,72.5%
226,Dec 01,72.6%
227,Nov 01,72.6%
228,Oct 01,72.5%
229,Sep 01,72.5%
230,Aug 01,72.6%
231,Jul 01,72.6%
232,Jun 01,72.7%
233,May 01,72.7%
234,Apr 01,72.7%
235,Mar 01,72.6%
236,Feb 01,72.6%
237,Jan 01,72.7%
238,Dec 00,72.5%
239,Nov 00,72.4%
240,Oct 00,72.5%
241,Sep 00,72.6%
242,Aug 00,72.7%
243,Jul 00,72.6%
244,Jun 00,72.5%
245,May 00,72.4%
246,Apr 00,72.3%
247,Mar 00,72.3%
248,Feb 00,72.2%
249,Jan 00,72.2%
250,Dec 99,72.3%
251,Nov 99,72.2%
252,Oct 99,72.1%
253,Sep 99,72.1%
254,Aug 99,72%
255,Jul 99,71.9%
256,Jun 99,71.9%
257,May 99,71.8%
258,Apr 99,71.8%
259,Mar 99,71.9%
260,Feb 99,71.9%
261,Jan 99,71.9%
262,Dec 98,71.8%
263,Nov 98,71.8%
264,Oct 98,71.6%
265,Sep 98,71.6%
266,Aug 98,71.6%
267,Jul 98,71.4%
268,Jun 98,71.3%
269,May 98,71.3%
270,Apr 98,71.3%
271,Mar 98,71.3%
272,Feb 98,71.2%
273,Jan 98,71.2%
274,Dec 97,71.2%
275,Nov 97,71.2%
276,Oct 97,71.1%
277,Sep 97,71.1%
278,Aug 97,70.9%
279,Jul 97,70.9%
280,Jun 97,71%
281,May 97,70.9%
282,Apr 97,70.9%
283,Mar 97,70.8%
284,Feb 97,70.6%
285,Jan 97,70.5%
286,Dec 96,70.3%
287,Nov 96,70.3%
288,Oct 96,70.1%
289,Sep 96,70%
290,Aug 96,70%
291,Jul 96,69.9%
292,Jun 96,69.9%
293,May 96,69.9%
294,Apr 96,69.9%
295,Mar 96,69.9%
296,Feb 96,69.9%
297,Jan 96,70%
298,Dec 95,69.9%
299,Nov 95,69.7%
300,Oct 95,69.7%
301,Sep 95,69.6%
302,Aug 95,69.6%
303,Jul 95,69.5%
304,Jun 95,69.4%
305,May 95,69.4%
306,Apr 95,69.3%
307,Mar 95,69.2%
308,Feb 95,69.1%
309,Jan 95,69%
310,Dec 94,69.1%
311,Nov 94,69.1%
312,Oct 94,69%
313,Sep 94,69%
314,Aug 94,69%
315,Jul 94,69%
316,Jun 94,68.8%
317,May 94,68.8%
318,Apr 94,68.8%
319,Mar 94,68.7%
320,Feb 94,68.6%
321,Jan 94,68.5%
322,Dec 93,68.5%
323,Nov 93,68.5%
324,Oct 93,68.5%
325,Sep 93,68.5%
326,Aug 93,68.4%
327,Jul 93,68.4%
328,Jun 93,68.4%
329,May 93,68.4%
330,Apr 93,68.3%
331,Mar 93,68.4%
332,Feb 93,68.3%
333,Jan 93,68.4%
334,Dec 92,68.5%
335,Nov 92,68.7%
336,Oct 92,68.8%
337,Sep 92,68.9%
338,Aug 92,68.9%
339,Jul 92,69%
340,Jun 92,69.1%
341,May 92,69.2%
342,Apr 92,69.3%
343,Mar 92,69.4%
344,Feb 92,69.5%
345,Jan 92,69.6%
346,Dec 91,69.8%
347,Nov 91,69.9%
348,Oct 91,70.1%
349,Sep 91,70.3%
350,Aug 91,70.5%
351,Jul 91,70.7%
352,Jun 91,71%
353,May 91,71.2%
354,Apr 91,71.5%
355,Mar 91,71.7%
356,Feb 91,71.9%
357,Jan 91,72.1%
358,Dec 90,72.3%
359,Nov 90,72.4%
360,Oct 90,72.6%
361,Sep 90,72.7%
362,Aug 90,72.8%
363,Jul 90,72.8%
364,Jun 90,72.8%
365,May 90,72.8%
366,Apr 90,72.8%
367,Mar 90,72.8%
368,Feb 90,72.8%
369,Jan 90,72.8%
370,Dec 89,72.8%
371,Nov 89,72.7%
372,Oct 89,72.6%
373,Sep 89,72.6%
374,Aug 89,72.5%
375,Jul 89,72.5%
376,Jun 89,72.4%
377,May 89,72.4%
378,Apr 89,72.3%
379,Mar 89,72.1%
380,Feb 89,71.9%
381,Jan 89,71.7%
382,Dec 88,71.5%
383,Nov 88,71.4%
384,Oct 88,71.3%
385,Sep 88,71.1%
386,Aug 88,70.9%
387,Jul 88,70.8%
388,Jun 88,70.7%
389,May 88,70.5%
390,Apr 88,70.4%
391,Mar 88,70.2%
392,Feb 88,70%
393,Jan 88,69.9%
394,Dec 87,69.7%
395,Nov 87,69.5%
396,Oct 87,69.3%
397,Sep 87,69.1%
398,Aug 87,68.9%
399,Jul 87,68.7%
400,Jun 87,68.5%
401,May 87,68.3%
402,Apr 87,68.2%
403,Mar 87,68.1%
404,Feb 87,68%
405,Jan 87,68%
406,Dec 86,67.9%
407,Nov 86,67.9%
408,Oct 86,67.8%
409,Sep 86,67.8%
410,Aug 86,67.7%
411,Jul 86,67.6%
412,Jun 86,67.6%
413,May 86,67.6%
414,Apr 86,67.6%
415,Mar 86,67.6%
416,Feb 86,67.6%
417,Jan 86,67.5%
418,Dec 85,67.5%
419,Nov 85,67.5%
420,Oct 85,67.5%
421,Sep 85,67.5%
422,Aug 85,67.4%
423,Jul 85,67.4%
424,Jun 85,67.4%
425,May 85,67.3%
426,Apr 85,67.3%
427,Mar 85,67.3%
428,Feb 85,67.2%
429,Jan 85,67.1%
430,Dec 84,67.1%
431,Nov 84,67%
432,Oct 84,66.9%
433,Sep 84,66.8%
434,Aug 84,66.8%
435,Jul 84,66.7%
436,Jun 84,66.7%
437,May 84,66.6%
438,Apr 84,66.6%
439,Mar 84,66.5%
440,Feb 84,66.4%
441,Jan 84,66.4%
442,Dec 83,66.3%
443,Nov 83,66.2%
444,Oct 83,66%
445,Sep 83,65.9%
446,Aug 83,65.7%
447,Jul 83,65.6%
448,Jun 83,65.6%
449,May 83,65.6%
450,Apr 83,65.6%
451,Mar 83,65.7%
452,Feb 83,65.8%
453,Jan 83,65.9%
454,Dec 82,66.1%
455,Nov 82,66.3%
456,Oct 82,66.5%
457,Sep 82,66.6%
458,Aug 82,66.8%
459,Jul 82,66.9%
460,Jun 82,67.1%
461,May 82,67.2%
462,Apr 82,67.3%
463,Mar 82,67.4%
464,Feb 82,67.5%
465,Jan 82,67.6%
466,Dec 81,67.7%
467,Nov 81,67.9%
468,Oct 81,68.1%
469,Sep 81,68.2%
470,Aug 81,68.4%
471,Jul 81,68.5%
472,Jun 81,68.7%
473,May 81,68.9%
474,Apr 81,69.1%
475,Mar 81,69.3%
476,Feb 81,69.5%
477,Jan 81,69.7%
478,Dec 80,69.9%
479,Nov 80,70.2%
480,Oct 80,70.4%
481,Sep 80,70.7%
482,Aug 80,70.9%
483,Jul 80,71.1%
484,Jun 80,71.2%
485,May 80,71.3%
486,Apr 80,71.4%
487,Mar 80,71.5%
488,Feb 80,71.6%
489,Jan 80,71.7%
490,Dec 79,71.7%
491,Nov 79,71.8%
492,Oct 79,71.8%
493,Sep 79,71.8%
494,Aug 79,71.8%
495,Jul 79,71.8%
496,Jun 79,71.7%
497,May 79,71.7%
498,Apr 79,71.7%
499,Mar 79,71.8%
500,Feb 79,71.8%
501,Jan 79,71.8%
502,Dec 78,71.7%
503,Nov 78,71.6%
504,Oct 78,71.6%
505,Sep 78,71.5%
506,Aug 78,71.5%
507,Jul 78,71.5%
508,Jun 78,71.5%
509,May 78,71.5%
510,Apr 78,71.5%
511,Mar 78,71.5%
512,Feb 78,71.5%
513,Jan 78,71.5%
514,Dec 77,71.5%
515,Nov 77,71.5%
516,Oct 77,71.6%
517,Sep 77,71.6%
518,Aug 77,71.6%
519,Jul 77,71.6%
520,Jun 77,71.6%
521,May 77,71.7%
522,Apr 77,71.7%
523,Mar 77,71.8%
524,Feb 77,71.8%
525,Jan 77,71.8%
526,Dec 76,71.8%
527,Nov 76,71.8%
528,Oct 76,71.8%
529,Sep 76,71.9%
530,Aug 76,71.9%
531,Jul 76,71.9%
532,Jun 76,72%
533,May 76,72%
534,Apr 76,72%
535,Mar 76,72.1%
536,Feb 76,72.2%
537,Jan 76,72.3%
538,Dec 75,72.3%
539,Nov 75,72.4%
540,Oct 75,72.5%
541,Sep 75,72.6%
542,Aug 75,72.6%
543,Jul 75,72.7%
544,Jun 75,72.7%
545,May 75,72.7%
546,Apr 75,72.8%
547,Mar 75,72.9%
548,Feb 75,72.9%
549,Jan 75,73%
550,Dec 74,73.1%
551,Nov 74,73.1%
552,Oct 74,73.1%
553,Sep 74,73.1%
554,Aug 74,73.1%
555,Jul 74,73%
556,Jun 74,73%
557,May 74,72.9%
558,Apr 74,72.9%
559,Mar 74,72.9%
560,Feb 74,73%
561,Jan 74,73%
562,Dec 73,73%
563,Nov 73,73%
564,Oct 73,72.9%
565,Sep 73,72.9%
566,Aug 73,72.9%
567,Jul 73,72.9%
568,Jun 73,73%
569,May 73,73%
570,Apr 73,72.9%
571,Mar 73,72.8%
572,Feb 73,72.6%
573,Jan 73,72.4%
574,Dec 72,72.2%
575,Nov 72,72.1%
576,Oct 72,72%
577,Sep 72,72%
578,Aug 72,71.9%
579,Jul 72,71.9%
580,Jun 72,71.9%
581,May 72,71.9%
582,Apr 72,71.9%
583,Mar 72,71.8%
584,Feb 72,71.6%
585,Jan 72,71.5%
586,Dec 71,71.5%
587,Nov 71,71.5%
588,Oct 71,71.6%
589,Sep 71,71.7%
590,Aug 71,71.8%
591,Jul 71,71.9%
592,Jun 71,72%
593,May 71,72%
594,Apr 71,72.1%
595,Mar 71,72.2%
