,Year,Number of persons tested
94,30 Apr,7396
95,May 1,4413
96,May 2,3880
97,May 3,3881
98,May 4,7627
99,May 5,9447
100,May 6,8083
101,May 7,7582
102,May 8,4557
103,May 9,3782
104,May 10,4051
105,May 11,7805
106,May 12,8709
107,May 13,7687
108,May 14,6887
109,May 15,6703
110,May 16,4258
111,May 17,3494
112,May 18,7398
113,May 19,8325
114,May 20,7508
115,May 21,7287
116,May 22,7729
117,May 23,5046
118,May 24,3610
119,May 25,7420
120,May 26,7230
121,May 27,6872
122,May 28,6011
123,May 29,6098
124,May 30,3547
125,May 31,2141
126,Jun 1,5721
127,Jun 2,6478
128,Jun 3,5313
129,Jun 4,5011
130,Jun 5,4173
131,Jun 6,2150
132,Jun 7,2127
133,Jun 8,4684
134,Jun 9,4552
135,Jun 10,4069
136,Jun 11,3738
137,Jun 12,3730
138,Jun 13,1664
139,Jun 14,1121
140,Jun 15,3673
141,Jun 16,4023
142,Jun 17,4036
143,Jun 18,4386
144,Jun 19,3555
145,Jun 20,1677
146,Jun 21,1313
147,Jun 22,3910
148,Jun 23,4567
149,Jun 24,4287
150,Jun 25,4047
151,Jun 26,4533
152,Jun 27,2554
153,Jun 28,2423
154,Jun 29,4485
155,Jun 30,4412
156,Jul 1,4593
157,Jul 2,4665
158,Jul 3,5109
159,Jul 4,1687
160,Jul 9,4682
161,Jul 10,5333
162,Jul 11,2321
163,Jul 12,1787
164,Jul 13,4424
165,Jul 14,4802
166,Jul 15,4694
167,Jul 16,4730
168,Jul 17,4727
169,Jul 18,2334
170,Jul 19,1830
171,Jul 20,5785
172,Jul 21,6089
173,Jul 22,6609
174,Jul 23,5557
175,Jul 24,6238
176,Jul 25,3337
177,Jul 26,1772
178,Jul 27,6516
179,Jul 28,7817
180,Jul 29,7300
181,Jul 30,7528
182,Jul 31,8137
183,Aug 1,4686
184,Aug 2,2645
185,Aug 3,7672
186,Aug 4,8332
187,Aug 5,6870
188,Aug 6,7298
189,Aug 7,9136
190,Aug 8,5456
191,Aug 9,2856
192,Aug 10,6305
193,Aug 11,8290
194,Aug 12,7741
195,Aug 13,7170
196,Aug 14,7762
197,Aug 15,4776
198,Aug 16,2872
199,Aug 17,7174
200,Aug 18,7578
201,Aug 19,7516
202,Aug 20,8137
203,Aug 21,9658
204,Aug 22,5012
205,Aug 23,2397
206,Aug 28,10764
207,Aug 29,6566
208,Aug 30,3944
209,Aug 31,9341
210,Sep 1,11099
211,Sep 2,11708
212,Sep 3,11041
213,Sep 4,13593
214,Sep 5,7466
215,Sep 10,16297
216,Sep 15,20300
217,Sep 20,10179
218,Sep 25,23112
219,Sep 30,21077
220,Oct 1,23897
221,Oct 2,23629
222,Oct 3,15201
223,Oct 4,7752
224,Oct 5,17714
225,Oct 6,22984
226,Oct 7,23962
227,Oct 8,25052
228,Oct 9,27724
229,Oct 10,18069
230,Oct 11,11502
231,Oct 12,22029
232,Oct 13,31563
233,Oct 14,34786
234,Oct 15,34776
235,Oct 16,38719
236,Oct 17,29276
237,Oct 18,17239
238,Oct 19,31115
239,Oct 20,40554
240,Oct 21,45182
241,Oct 22,46391
242,Oct 23,45229
243,Oct 24,39190
244,Oct 25,21563
245,Oct 26,35401
246,Oct 27,47469
247,Oct 28,40074
248,Oct 29,42529
249,Oct 30,46796
250,Oct 31,36287
251,Nov 1,20638
252,Nov 2,32710
253,Nov 3,43310
254,Nov 4,45470
255,Nov 5,43210
256,Nov 6,40312
257,Nov 7,26223
258,Nov 8,13726
259,Nov 9,30459
260,Nov 10,37169
261,Nov 11,32932
262,Nov 12,31062
263,Nov 13,31217
264,Nov 14,16190
265,Nov 15,9014
266,Nov 16,26000
267,Nov 17,17453
268,Nov 18,22275
