,Month,Stock price in euros
280,"Dec 3, 2019",53.37
281,"Dec 2, 2019",53.26
282,"Nov 29, 2019",53.8
283,"Nov 28, 2019",53.51
284,"Nov 27, 2019",53.39
285,"Nov 26, 2019",53.22
286,"Nov 25, 2019",52.49
287,"Nov 22, 2019",52.65
288,"Nov 21, 2019",52.71
289,"Nov 20, 2019",53.23
290,"Nov 19, 2019",53.54
291,"Nov 18, 2019",53.67
292,"Nov 15, 2019",53.48
293,"Nov 14, 2019",53.7
294,"Nov 13, 2019",54.15
295,"Nov 12, 2019",53.93
296,"Nov 11, 2019",54.04
297,"Nov 8, 2019",54.36
298,"Nov 7, 2019",53.91
299,"Nov 6, 2019",54.2
300,"Nov 5, 2019",52.99
301,"Nov 4, 2019",52.5
302,"Nov 1, 2019",52.7
303,"Oct 31, 2019",52.95
304,"Oct 30, 2019",52.95
305,"Oct 29, 2019",52.49
306,"Oct 28, 2019",52.19
307,"Oct 25, 2019",53.24
308,"Oct 24, 2019",53.0
309,"Oct 23, 2019",53.14
310,"Oct 22, 2019",53.71
311,"Oct 21, 2019",53.51
312,"Oct 18, 2019",54.07
313,"Oct 17, 2019",54.45
314,"Oct 16, 2019",54.01
315,"Oct 15, 2019",53.07
316,"Oct 14, 2019",53.4
317,"Oct 11, 2019",53.61
318,"Oct 10, 2019",54.11
319,"Oct 9, 2019",54.25
320,"Oct 8, 2019",54.14
321,"Oct 7, 2019",54.75
322,"Oct 4, 2019",54.23
323,"Oct 3, 2019",54.1
324,"Oct 2, 2019",54.1
325,"Oct 1, 2019",55.19
326,"Sep 30, 2019",55.15
327,"Sep 27, 2019",55.04
328,"Sep 26, 2019",55.02
329,"Sep 25, 2019",54.39
330,"Sep 24, 2019",54.69
331,"Sep 23, 2019",54.35
332,"Sep 20, 2019",53.8
333,"Sep 19, 2019",54.47
334,"Sep 18, 2019",54.64
335,"Sep 17, 2019",54.71
336,"Sep 16, 2019",53.96
337,"Sep 13, 2019",54.43
338,"Sep 12, 2019",55.0
339,"Sep 11, 2019",54.69
340,"Sep 10, 2019",54.48
341,"Sep 9, 2019",55.48
342,"Sep 6, 2019",56.78
343,"Sep 5, 2019",56.89
344,"Sep 4, 2019",57.56
345,"Sep 3, 2019",57.39
346,"Sep 2, 2019",56.93
347,"Aug 30, 2019",56.44
348,"Aug 29, 2019",55.63
349,"Aug 28, 2019",55.36
350,"Aug 27, 2019",55.14
351,"Aug 26, 2019",54.34
352,"Aug 23, 2019",54.14
353,"Aug 22, 2019",54.39
354,"Aug 21, 2019",54.94
355,"Aug 20, 2019",54.4
356,"Aug 19, 2019",54.35
357,"Aug 16, 2019",53.34
358,"Aug 15, 2019",52.57
359,"Aug 14, 2019",52.18
360,"Aug 13, 2019",51.27
361,"Aug 12, 2019",51.3
362,"Aug 9, 2019",50.8
363,"Aug 8, 2019",50.83
364,"Aug 7, 2019",50.75
365,"Aug 6, 2019",50.47
366,"Aug 5, 2019",50.92
367,"Aug 2, 2019",51.91
368,"Aug 1, 2019",52.78
