,Month,Month-on-month CPI change
131,Aug 09,0.3%
132,Jul 09,-1.1%
133,Jun 09,-0.4%
134,May 09,0.1%
135,Apr 09,0.2%
136,Mar 09,1%
137,Feb 09,0.7%
138,Jan 09,0.3%
139,Dec 08,-0.7%
140,Nov 08,-0.4%
141,Oct 08,-0.2%
142,Sep 08,0.4%
143,Aug 08,0.2%
144,Jul 08,0.2%
145,Jun 08,-0.2%
146,May 08,0.4%
147,Apr 08,0.4%
148,Mar 08,1%
149,Feb 08,0.7%
150,Jan 08,0.3%
151,Dec 07,-0.4%
152,Nov 07,0.1%
153,Oct 07,0%
154,Sep 07,0.6%
155,Aug 07,0.2%
156,Jul 07,-0.5%
157,Jun 07,-0.4%
158,May 07,0.1%
159,Apr 07,0.5%
160,Mar 07,1.1%
161,Feb 07,0.5%
162,Jan 07,0.1%
163,Dec 06,-0.4%
164,Nov 06,-0.2%
165,Oct 06,-0.3%
166,Sep 06,0.4%
167,Aug 06,0.5%
168,Jul 06,-0.2%
169,Jun 06,-0.4%
170,May 06,0.1%
171,Apr 06,0.5%
172,Mar 06,0.8%
173,Feb 06,0.4%
174,Jan 06,-0.4%
175,Dec 05,-0.5%
176,Nov 05,-0.3%
177,Oct 05,-0.1%
178,Sep 05,0.9%
179,Aug 05,0.5%
180,Jul 05,-0.2%
181,Jun 05,-0.3%
182,May 05,-0.1%
183,Apr 05,0.2%
184,Mar 05,0.9%
185,Feb 05,0.6%
186,Jan 05,0.4%
187,Dec 04,-0.9%
188,Nov 04,-0.3%
189,Oct 04,0%
190,Sep 04,0.9%
191,Aug 04,0.3%
192,Jul 04,-0.1%
193,Jun 04,-0.6%
194,May 04,0.2%
195,Apr 04,0.3%
196,Mar 04,0.9%
197,Feb 04,0.4%
198,Jan 04,0%
199,Dec 03,-0.6%
200,Nov 03,-0.3%
201,Oct 03,-0.3%
202,Sep 03,1%
203,Aug 03,0.3%
204,Jul 03,0.1%
205,Jun 03,-0.5%
206,May 03,-0.1%
207,Apr 03,0.1%
208,Mar 03,1%
209,Feb 03,0.6%
210,Jan 03,0.3%
211,Dec 02,-0.3%
212,Nov 02,-0.3%
213,Oct 02,-0.2%
214,Sep 02,1.1%
215,Aug 02,0.3%
216,Jul 02,-0.1%
217,Jun 02,-0.3%
218,May 02,0%
219,Apr 02,0.5%
220,Mar 02,0.9%
221,Feb 02,0.5%
222,Jan 02,0.7%
223,Dec 01,-0.3%
224,Nov 01,-0.1%
225,Oct 01,-0.1%
226,Sep 01,1.2%
227,Aug 01,0.4%
228,Jul 01,-0.1%
229,Jun 01,-0.4%
230,May 01,0.3%
231,Apr 01,0.6%
232,Mar 01,0.9%
233,Feb 01,0.9%
234,Jan 01,0.9%
235,Dec 00,-0.6%
236,Nov 00,0%
237,Oct 00,0.2%
238,Sep 00,1.2%
239,Aug 00,0.4%
240,Jul 00,-0.3%
241,Jun 00,-0.1%
242,May 00,0.3%
243,Apr 00,0.2%
244,Mar 00,0.9%
245,Feb 00,0.6%
246,Jan 00,-0.2%
247,Dec 99,-0.3%
248,Nov 99,0.1%
249,Oct 99,0.1%
250,Sep 99,0.5%
251,Aug 99,0.5%
252,Jul 99,-0.1%
253,Jun 99,-0.4%
254,May 99,0%
255,Apr 99,0.2%
256,Mar 99,0.9%
257,Feb 99,0.5%
258,Jan 99,0.1%
259,Dec 98,-0.3%
260,Nov 98,0%
261,Oct 98,0.2%
262,Sep 98,0.8%
263,Aug 98,0%
264,Jul 98,0.2%
265,Jun 98,-0.4%
266,May 98,-0.1%
267,Apr 98,0.3%
268,Mar 98,0.8%
269,Feb 98,0.6%
270,Jan 98,-0.3%
271,Dec 97,-0.3%
272,Nov 97,0%
273,Oct 97,0.1%
274,Sep 97,0.9%
275,Aug 97,0.3%
276,Jul 97,0.3%
277,Jun 97,-0.5%
278,May 97,0.2%
279,Apr 97,0.1%
280,Mar 97,0.8%
281,Feb 97,0.2%
282,Jan 97,0.1%
283,Dec 96,-0.1%
284,Nov 96,-0.1%
285,Oct 96,0.2%
286,Sep 96,0.9%
287,Aug 96,-0.1%
288,Jul 96,0.2%
289,Jun 96,-0.4%
290,May 96,-0.2%
291,Apr 96,0.3%
292,Mar 96,0.9%
293,Feb 96,0.4%
294,Jan 96,0%
