,Month,"Number of people employed (in 1,000s)"
267,Jul 98,26330
268,Jun 98,26270
269,May 98,26266
270,Apr 98,26265
271,Mar 98,26245
272,Feb 98,26226
273,Jan 98,26192
274,Dec 97,26192
275,Nov 97,26172
276,Oct 97,26154
277,Sep 97,26121
278,Aug 97,26062
279,Jul 97,26050
280,Jun 97,26078
281,May 97,26020
282,Apr 97,26005
283,Mar 97,25960
284,Feb 97,25902
285,Jan 97,25836
286,Dec 96,25781
287,Nov 96,25757
288,Oct 96,25693
289,Sep 96,25640
290,Aug 96,25634
291,Jul 96,25584
292,Jun 96,25589
293,May 96,25582
294,Apr 96,25558
295,Mar 96,25555
296,Feb 96,25558
297,Jan 96,25562
298,Dec 95,25549
299,Nov 95,25454
300,Oct 95,25432
301,Sep 95,25413
302,Aug 95,25399
303,Jul 95,25347
304,Jun 95,25317
305,May 95,25288
306,Apr 95,25254
307,Mar 95,25220
308,Feb 95,25183
309,Jan 95,25136
310,Dec 94,25149
311,Nov 94,25147
312,Oct 94,25126
313,Sep 94,25128
314,Aug 94,25088
315,Jul 94,25086
316,Jun 94,25028
317,May 94,25030
318,Apr 94,25031
319,Mar 94,24997
320,Feb 94,24948
321,Jan 94,24903
322,Dec 93,24899
323,Nov 93,24900
324,Oct 93,24893
325,Sep 93,24893
326,Aug 93,24854
327,Jul 93,24872
328,Jun 93,24872
329,May 93,24860
330,Apr 93,24824
331,Mar 93,24847
332,Feb 93,24839
333,Jan 93,24869
334,Dec 92,24905
335,Nov 92,24963
336,Oct 92,25000
337,Sep 92,25051
338,Aug 92,25061
339,Jul 92,25071
340,Jun 92,25122
341,May 92,25158
342,Apr 92,25208
343,Mar 92,25243
344,Feb 92,25274
345,Jan 92,25315
346,Dec 91,25370
347,Nov 91,25430
348,Oct 91,25501
349,Sep 91,25572
350,Aug 91,25647
351,Jul 91,25723
352,Jun 91,25803
353,May 91,25897
354,Apr 91,25977
355,Mar 91,26056
356,Feb 91,26135
357,Jan 91,26199
358,Dec 90,26263
359,Nov 90,26317
360,Oct 90,26361
361,Sep 90,26405
362,Aug 90,26439
363,Jul 90,26448
364,Jun 90,26447
365,May 90,26434
366,Apr 90,26421
367,Mar 90,26411
368,Feb 90,26410
369,Jan 90,26400
370,Dec 89,26390
371,Nov 89,26365
372,Oct 89,26334
373,Sep 89,26309
374,Aug 89,26284
375,Jul 89,26269
376,Jun 89,26248
377,May 89,26225
378,Apr 89,26180
379,Mar 89,26117
380,Feb 89,26038
381,Jan 89,25965
382,Dec 88,25897
383,Nov 88,25838
384,Oct 88,25780
385,Sep 88,25722
386,Aug 88,25653
387,Jul 88,25595
388,Jun 88,25541
389,May 88,25484
390,Apr 88,25428
391,Mar 88,25368
392,Feb 88,25302
393,Jan 88,25232
394,Dec 87,25157
395,Nov 87,25081
396,Oct 87,25006
397,Sep 87,24936
398,Aug 87,24855
399,Jul 87,24780
400,Jun 87,24695
401,May 87,24622
402,Apr 87,24560
403,Mar 87,24516
404,Feb 87,24496
405,Jan 87,24472
406,Dec 86,24447
407,Nov 86,24423
408,Oct 86,24388
409,Sep 86,24369
410,Aug 86,24340
411,Jul 86,24310
412,Jun 86,24291
413,May 86,24280
414,Apr 86,24272
415,Mar 86,24262
416,Feb 86,24257
417,Jan 86,24247
418,Dec 85,24242
419,Nov 85,24235
420,Oct 85,24221
421,Sep 85,24201
422,Aug 85,24182
423,Jul 85,24162
424,Jun 85,24147
425,May 85,24125
426,Apr 85,24111
427,Mar 85,24084
428,Feb 85,24058
429,Jan 85,24031
430,Dec 84,24007
431,Nov 84,23972
432,Oct 84,23939
433,Sep 84,23901
434,Aug 84,23875
435,Jul 84,23849
436,Jun 84,23815
437,May 84,23777
438,Apr 84,23734
439,Mar 84,23693
440,Feb 84,23652
441,Jan 84,23608
442,Dec 83,23558
443,Nov 83,23505
444,Oct 83,23446
445,Sep 83,23376
446,Aug 83,23307
447,Jul 83,23243
448,Jun 83,23212
449,May 83,23187
450,Apr 83,23190
451,Mar 83,23206
452,Feb 83,23225
453,Jan 83,23256
454,Dec 82,23294
455,Nov 82,23338
456,Oct 82,23386
457,Sep 82,23430
458,Aug 82,23468
459,Jul 82,23510
460,Jun 82,23546
461,May 82,23581
462,Apr 82,23600
463,Mar 82,23624
464,Feb 82,23642
465,Jan 82,23672
466,Dec 81,23713
467,Nov 81,23758
468,Oct 81,23798
469,Sep 81,23842
470,Aug 81,23881
471,Jul 81,23920
472,Jun 81,23971
473,May 81,24022
474,Apr 81,24076
475,Mar 81,24135
476,Feb 81,24193
477,Jan 81,24257
478,Dec 80,24316
479,Nov 80,24385
480,Oct 80,24449
481,Sep 80,24518
482,Aug 80,24583
483,Jul 80,24629
484,Jun 80,24659
485,May 80,24687
486,Apr 80,24706
487,Mar 80,24730
488,Feb 80,24744
489,Jan 80,24756
490,Dec 79,24759
491,Nov 79,24754
492,Oct 79,24739
493,Sep 79,24726
494,Aug 79,24713
495,Jul 79,24694
496,Jun 79,24674
497,May 79,24655
498,Apr 79,24638
499,Mar 79,24637
500,Feb 79,24631
501,Jan 79,24618
502,Dec 78,24586
503,Nov 78,24551
504,Oct 78,24516
505,Sep 78,24488
506,Aug 78,24467
507,Jul 78,24453
508,Jun 78,24444
509,May 78,24439
510,Apr 78,24429
511,Mar 78,24418
512,Feb 78,24408
513,Jan 78,24393
514,Dec 77,24384
515,Nov 77,24381
516,Oct 77,24379
517,Sep 77,24381
518,Aug 77,24373
519,Jul 77,24371
520,Jun 77,24374
521,May 77,24377
522,Apr 77,24375
523,Mar 77,24378
524,Feb 77,24382
525,Jan 77,24374
526,Dec 76,24367
527,Nov 76,24359
528,Oct 76,24357
529,Sep 76,24355
530,Aug 76,24359
531,Jul 76,24359
532,Jun 76,24364
533,May 76,24373
534,Apr 76,24378
535,Mar 76,24395
536,Feb 76,24412
537,Jan 76,24429
538,Dec 75,24446
539,Nov 75,24463
540,Oct 75,24484
541,Sep 75,24496
542,Aug 75,24513
543,Jul 75,24524
544,Jun 75,24534
545,May 75,24544
546,Apr 75,24555
547,Mar 75,24576
548,Feb 75,24592
549,Jan 75,24613
550,Dec 74,24635
551,Nov 74,24644
552,Oct 74,24647
553,Sep 74,24636
554,Aug 74,24620
555,Jul 74,24592
556,Jun 74,24575
557,May 74,24564
558,Apr 74,24563
559,Mar 74,24563
560,Feb 74,24569
561,Jan 74,24575
562,Dec 73,24580
563,Nov 73,24573
564,Oct 73,24561
565,Sep 73,24554
566,Aug 73,24548
567,Jul 73,24552
568,Jun 73,24564
569,May 73,24565
570,Apr 73,24541
571,Mar 73,24488
572,Feb 73,24412
573,Jan 73,24346
574,Dec 72,24288
575,Nov 72,24253
576,Oct 72,24220
577,Sep 72,24192
578,Aug 72,24164
579,Jul 72,24154
580,Jun 72,24155
581,May 72,24158
582,Apr 72,24148
583,Mar 72,24115
584,Feb 72,24071
585,Jan 72,24032
586,Dec 71,24017
587,Nov 71,24015
588,Oct 71,24046
589,Sep 71,24085
590,Aug 71,24125
591,Jul 71,24153
592,Jun 71,24168
593,May 71,24171
594,Apr 71,24187
595,Mar 71,24219
