,Month,Index score (2015=100)
267,Aug 98,71.2
268,Jul 98,71.0
269,Jun 98,71.3
270,May 98,71.4
271,Apr 98,71.1
272,Mar 98,70.7
273,Feb 98,70.5
274,Jan 98,70.3
275,Dec 97,70.7
276,Nov 97,70.6
277,Oct 97,70.6
278,Sep 97,70.6
279,Aug 97,70.3
280,Jul 97,69.9
281,Jun 97,70.2
282,May 97,70.0
283,Apr 97,69.8
284,Mar 97,69.5
285,Feb 97,69.4
286,Jan 97,69.2
287,Dec 96,69.5
288,Nov 96,69.3
289,Oct 96,69.3
290,Sep 96,69.3
291,Aug 96,68.9
292,Jul 96,68.6
293,Jun 96,69.0
294,May 96,68.9
295,Apr 96,68.7
296,Mar 96,68.4
297,Feb 96,68.1
298,Jan 96,67.8
299,Dec 95,68.0
300,Nov 95,67.6
301,Oct 95,67.6
302,Sep 95,67.7
303,Aug 95,67.4
304,Jul 95,67.1
305,Jun 95,67.4
306,May 95,67.4
307,Apr 95,67.0
308,Mar 95,66.7
309,Feb 95,66.3
310,Jan 95,66.0
311,Dec 94,66.0
312,Nov 94,65.7
313,Oct 94,65.7
314,Sep 94,65.8
315,Aug 94,65.7
316,Jul 94,65.4
317,Jun 94,65.8
318,May 94,65.8
319,Apr 94,65.5
320,Mar 94,65.0
321,Feb 94,64.8
322,Jan 94,64.5
323,Dec 93,64.7
324,Nov 93,64.6
325,Oct 93,64.7
326,Sep 93,64.8
327,Aug 93,64.5
328,Jul 93,64.2
329,Jun 93,64.5
330,May 93,64.5
331,Apr 93,64.3
332,Mar 93,63.6
333,Feb 93,63.2
334,Jan 93,62.8
335,Dec 92,63.2
336,Nov 92,63.1
337,Oct 92,63.1
338,Sep 92,62.9
339,Aug 92,62.7
340,Jul 92,62.6
341,Jun 92,62.9
342,May 92,62.9
343,Apr 92,62.7
344,Mar 92,62.0
345,Feb 92,61.7
346,Jan 92,61.4
347,Dec 91,61.6
348,Nov 91,61.5
349,Oct 91,61.3
350,Sep 91,61.1
351,Aug 91,60.9
352,Jul 91,60.5
353,Jun 91,60.6
354,May 91,60.3
355,Apr 91,59.9
356,Mar 91,57.9
357,Feb 91,57.7
358,Jan 91,57.4
359,Dec 90,57.5
360,Nov 90,57.5
361,Oct 90,57.4
362,Sep 90,57.0
363,Aug 90,56.4
364,Jul 90,55.8
365,Jun 90,55.9
366,May 90,55.7
367,Apr 90,55.2
368,Mar 90,54.2
369,Feb 90,54.0
370,Jan 90,53.6
371,Dec 89,53.4
372,Nov 89,53.3
373,Oct 89,53.1
374,Sep 89,52.7
375,Aug 89,52.4
376,Jul 89,52.3
377,Jun 89,52.3
378,May 89,52.2
379,Apr 89,51.9
380,Mar 89,51.2
381,Feb 89,51.0
382,Jan 89,50.8
383,Dec 88,50.6
384,Nov 88,50.5
385,Oct 88,50.3
386,Sep 88,50.1
387,Aug 88,49.9
388,Jul 88,49.7
389,Jun 88,49.7
390,May 88,49.5
391,Apr 88,49.3
392,Mar 88,48.7
393,Feb 88,48.6
394,Jan 88,48.4
