,Month,Number of new cases
259,Mar 31,845
260,Mar 30,884
261,Mar 29,1104
262,Mar 28,1159
263,Mar 27,1172
264,Mar 26,1019
265,Mar 25,852
266,Mar 24,811
267,Mar 23,545
268,Mar 22,573
269,Mar 21,637
270,Mar 20,534
271,Mar 19,409
272,Mar 18,346
273,Mar 17,292
274,Mar 16,278
275,Mar 15,176
276,Mar 14,155
277,Mar 13,190
278,Mar 12,111
279,Mar 11,121
280,Mar 10,56
281,Mar 9,61
282,Mar 8,77
283,Mar 7,60
284,Mar 6,46
285,Mar 5,44
286,Mar 3,15
287,Mar 2,14
288,Mar 1,3
289,Feb 29,5
290,Feb 28,1
291,Feb 27,1
